"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","-1","InterSD","InterSK","IntraSD","playerid"
"César Hernández","WSN","132","571","511","132","23","2","14","72","56","52","115","5","3","1","",".258",".330",".395",".725",".317","95","","1.7","","434.8","","3.54","-0.20","0.43","10556"
"Adam Duvall","ATL","129","512","467","107","19","2","32","66","84","36","149","6","3","1","",".230",".291",".484",".775",".326","101","","1.7","","218.3","","3.20","-1.10","1.18","10950"
"Jorge Soler","MIA","137","585","508","120","24","0","30","74","79","65","154","8","1","0","",".237",".330",".464",".794",".340","116","","1.6","","193.4","","3.61","-1.25","1.06","14221"
"Alex Kirilloff","MIN","123","509","470","128","25","2","20","59","67","32","107","4","4","2","",".272",".322",".460",".782",".333","111","","1.6","","185.9","","3.82","-0.89","0.55","20325"
"Ryan Jeffers","MIN","96","352","317","70","13","1","15","38","43","29","115","5","0","1","",".221",".297",".413",".710",".307","94","","1.6","","504.6","","2.78","-0.59","0.54","24618"
"Brendan Rodgers","COL","128","531","493","137","29","3","18","67","66","28","110","8","2","1","",".278",".325",".458",".783",".335","96","","1.6","","167.3","","2.45","-0.30","0.71","17907"
"Isiah Kiner-Falefa","NYY","130","546","506","135","22","3","7","60","45","29","78","8","15","5","",".268",".316",".363",".679",".298","86","","1.6","","292.8","","2.97","-1.45","1.29","16512"
"Tony Kemp","OAK","132","466","397","99","18","3","7","54","39","52","64","7","9","3","",".250",".343",".367",".710",".314","102","","1.6","","455.8","","2.38","0.08","0.91","14894"
"Ryan Mountcastle","BAL","145","611","559","146","28","2","30","77","87","40","155","5","4","2","",".261",".313",".478",".791",".335","111","","1.6","","124.3","","1.49","0.14","0.68","18373"
"Akil Baddoo","DET","139","562","500","122","24","7","18","74","61","55","145","3","20","5","",".245",".321",".426",".747",".322","103","","1.6","","153.1","","2.81","0.55","1.23","22168"
"Aaron Hicks","NYY","106","429","363","83","16","1","16","54","50","58","96","4","3","1","",".228",".338",".409",".746",".325","104","","1.6","","530.3","","3.83","-0.74","0.32","5297"
"Yan Gomes","CHC","83","319","291","73","14","1","12","37","40","20","69","5","1","0","",".249",".304",".425",".729",".312","95","","1.5","","488.1","","3.93","0.17","0.71","9627"
"Ha-Seong Kim","SDP","114","399","356","87","17","2","12","49","47","33","83","4","9","2","",".244",".314",".401",".715",".310","94","","1.5","","361.0","","4.15","-0.47","0.73","27506"
"Josh Rojas","ARI","131","547","482","120","27","3","11","70","50","56","127","3","11","4","",".249",".326",".387",".714",".312","92","","1.5","","262.1","","3.38","0.11","0.81","19734"
"Andy Ibáñez","TEX","95","375","342","90","18","1","13","42","40","26","58","3","2","1","",".263",".319",".437",".756",".324","106","","1.5","","557.3","","3.96","-1.84","0.81","18819"
"Ramón Urías","BAL","115","430","384","96","21","1","11","47","46","36","105","8","3","1","",".250",".326",".396",".723",".316","98","","1.5","","546.4","","1.70","-0.92","0.46","18795"
"Gavin Lux","LAD","97","379","339","87","16","3","11","50","45","37","84","2","5","1","",".258",".333",".421",".754",".326","105","","1.5","","275.0","","4.11","-0.71","0.63","19955"
"Lorenzo Cain","MIL","106","427","382","101","18","1","8","50","42","39","73","4","12","4","",".263",".336",".381",".717",".313","93","","1.5","","495.6","","4.51","-0.16","1.12","9077"
"Luis Arraez","MIN","114","471","424","127","23","3","4","57","42","40","45","2","3","2","",".299",".359",".396",".754",".329","109","","1.5","","370.0","","2.99","-0.03","1.59","18568"
"Brad Miller","TEX","110","376","330","77","14","2","18","49","49","42","107","3","3","1","",".235",".325",".451",".776",".332","112","","1.5","","544.1","","2.43","-0.38","0.40","12775"
"Jarred Kelenic","SEA","133","552","495","115","23","3","22","69","68","50","139","4","12","4","",".232",".306",".423",".730",".314","103","","1.4","","147.5","","4.94","0.80","0.89","22558"
"Evan Longoria","SFG","104","417","374","94","19","1","16","52","55","35","92","4","1","1","",".252",".319",".438",".757",".321","102","","1.4","","509.4","","4.30","-0.86","0.35","9368"
"Austin Nola","SDP","96","361","322","83","17","1","9","37","42","30","59","6","1","1","",".259",".331",".403",".734",".319","100","","1.4","","377.3","","1.78","0.38","0.82","15941"
"Trey Mancini","BAL","143","613","552","145","28","2","24","77","75","51","139","8","0","0","",".263",".332",".451",".783",".336","112","","1.4","","216.1","","3.19","-0.91","0.63","15149"
"Spencer Torkelson","DET","109","447","391","96","20","1","19","57","60","47","103","6","3","1","",".245",".332",".448",".780",".335","112","","1.4","","239.5","","5.24","0.30","0.24","sa3014504"
"Nico Hoerner","CHC","96","364","328","89","17","2","4","39","35","28","58","5","9","3","",".272",".336",".369",".705",".309","94","","1.4","","537.4","","3.68","-0.59","1.37","21479"
"Austin Meadows","TBR","136","578","512","126","28","3","26","76","86","55","129","6","6","3","",".247",".323",".467",".791",".336","111","","1.4","","155.4","","1.82","0.44","0.70","15672"
"Edmundo Sosa","STL","97","349","317","83","14","3","7","40","35","19","71","10","7","2","",".262",".323",".391",".714",".312","95","","1.4","","538.5","","4.64","-0.60","1.09","17022"
"Cavan Biggio","TOR","115","464","394","90","19","2","14","57","49","63","122","4","7","2","",".228",".337",".392",".729",".321","99","","1.4","","334.7","","2.40","0.82","0.58","19252"
"Travis d'Arnaud","ATL","101","394","357","90","17","0","14","44","51","31","93","3","1","0","",".251",".314",".417",".731",".315","94","","1.4","","227.6","","2.49","-0.47","0.50","7739"
"David Fletcher","LAA","143","606","561","152","28","3","4","66","46","37","59","2","11","3","",".271",".317",".351",".667",".293","84","","1.4","","440.8","","3.03","-0.88","1.26","17992"
"Nelson Cruz","WSN","127","538","476","125","21","1","29","71","84","50","126","7","1","1","",".262",".338",".492",".830",".350","117","","1.4","","166.5","","4.30","0.45","0.77","2434"
"Joey Wendle","MIA","125","489","449","114","24","4","9","60","47","27","102","10","9","4","",".255",".309",".386",".696",".301","91","","1.4","","441.2","","2.70","0.14","0.76","13853"
"Abraham Toro","SEA","89","357","318","79","16","1","11","43","41","30","61","7","5","2","",".247",".325",".410",".735",".320","107","","1.4","","393.6","","7.37","-0.48","0.69","19844"
"James McCann","NYM","107","402","365","87","14","1","13","41","45","28","110","5","2","1","",".238",".298",".385",".683",".297","85","","1.4","","383.0","","3.62","-0.33","0.46","12859"
"Yuli Gurriel","HOU","133","553","498","139","28","1","15","67","69","42","66","4","2","1","",".278",".334",".430",".764",".329","111","","1.4","","210.4","","4.15","-0.30","0.77","19198"
"Lourdes Gurriel Jr.","TOR","136","553","511","137","28","2","23","69","78","32","113","4","3","2","",".268",".314",".462",".776",".330","105","","1.4","","142.5","","3.61","0.55","0.50","19238"
"Gio Urshela","MIN","106","421","390","103","21","1","13","48","52","24","87","3","1","0","",".265",".309",".424",".734",".314","99","","1.4","","332.4","","3.44","0.02","0.65","10681"
"Elias Díaz","COL","106","385","352","91","18","1","14","47","46","29","65","2","0","0","",".260",".319",".434",".753",".324","89","","1.3","","225.9","","2.54","0.12","0.62","11680"
"Wilmer Flores","SFG","110","408","370","99","19","1","15","50","52","32","55","4","1","1","",".268",".330",".451",".781",".335","110","","1.3","","453.9","","2.58","0.47","0.67","5827"
"Roberto Pérez","PIT","103","395","346","71","12","1","11","35","40","40","122","4","2","1","",".206",".295",".342",".637",".282","75","","1.3","","562.2","","2.55","-0.70","0.61","2900"
"Alec Bohm","PHI","121","481","434","115","21","1","13","57","56","39","112","3","4","2","",".264",".326",".408",".734",".318","96","","1.3","","368.1","","1.48","0.55","0.50","21618"
"Luke Voit","SDP","116","475","418","104","18","1","24","61","71","47","131","9","0","0","",".249",".336",".469",".806",".346","118","","1.3","","224.5","","2.46","-0.68","0.60","14811"
"Josh Harrison","CHW","116","465","421","112","23","2","9","51","48","27","68","12","8","3","",".266",".324",".396",".720",".312","96","","1.3","","398.3","","4.43","0.50","0.85","8202"
"Anthony Santander","BAL","125","527","488","122","28","1","25","64","71","30","110","5","2","1","",".250",".298",".463",".760",".322","102","","1.3","","325.2","","0.92","0.93","0.52","14551"
"Tucker Barnhart","DET","109","390","350","79","16","1","8","36","39","34","93","4","0","0","",".226",".300",".348",".648",".281","76","","1.3","","502.6","","2.32","0.13","0.44","10200"
"Adolis García","TEX","132","554","517","118","24","2","25","69","74","28","176","6","12","4","",".229",".274",".427",".702",".299","89","","1.2","","169.4","","2.11","1.00","1.05","19287"
"Francisco Mejía","TBR","78","278","254","62","13","2","8","30","32","16","55","5","0","0","",".243",".301",".407",".708",".305","91","","1.2","","524.8","","1.93","0.92","0.89","16403"
"Patrick Wisdom","CHC","119","467","417","91","16","1","25","58","65","40","165","5","5","2","",".219",".295",".442",".737",".315","98","","1.2","","368.3","","3.82","0.75","0.91","13602"
"Tom Murphy","SEA","76","278","247","54","10","1","11","29","32","27","87","2","1","0","",".216",".296",".398",".693",".300","94","","1.2","","551.4","","1.21","0.16","0.75","13499"
"Kevin Kiermaier","TBR","114","422","380","89","17","5","7","49","41","35","104","5","11","4","",".234",".305",".360",".665",".291","82","","1.2","","589.3","","2.21","0.20","1.02","11038"
"Manny Piña","ATL","70","237","213","50","9","0","10","27","30","19","51","5","0","0","",".233",".307",".411",".718",".311","91","","1.2","","580.1","","1.53","-0.27","0.93","2829"
"Kyle Lewis","SEA","89","375","332","81","14","1","15","45","44","39","105","2","4","1","",".244",".325",".429",".754",".326","111","","1.2","","465.7","","5.90","0.59","0.58","19508"
"Yadier Molina","STL","108","418","388","97","17","0","10","40","49","21","67","5","2","1","",".249",".293",".370",".663",".287","79","","1.2","","332.0","","2.54","1.21","0.60","7007"
"Tommy La Stella","SFG","99","389","350","93","18","2","10","48","41","33","41","3","1","0","",".266",".333",".415",".748",".324","104","","1.2","","566.7","","3.85","-0.78","0.77","12371"
"Michael A. Taylor","KCR","132","479","438","104","21","2","13","52","50","32","134","4","12","4","",".238",".294",".384",".678",".291","82","","1.2","","541.9","","2.96","0.08","0.91","11489"
"José Iglesias","COL","124","492","464","134","29","3","8","57","54","20","67","6","5","2","",".289",".324",".417",".741",".320","86","","1.2","","542.2","","2.70","-2.07","1.20","10231"
"Martín Maldonado","HOU","111","411","360","70","13","1","12","41","40","42","118","6","0","0","",".195",".288",".335",".623",".276","75","","1.2","","575.0","","1.34","-0.44","0.67","6887"
"Jonathan Villar","CHC","107","432","387","96","16","2","12","52","41","38","110","3","16","5","",".249",".318",".395",".713",".310","94","","1.2","","238.0","","5.16","0.48","1.23","10071"
"Taylor Walls","TBR","88","346","302","68","16","2","6","39","33","39","92","2","9","4","",".226",".318",".354",".672",".298","86","","1.2","","594.9","","3.18","-0.27","1.07","22458"
"Jose Barrero","CIN","78","302","275","70","15","1","9","36","36","20","77","6","7","2","",".255",".318",".418",".736",".318","93","","1.2","","543.0","","7.27","0.52","1.06","23378"
"Jake Meyers","HOU","90","352","318","77","16","1","11","42","42","24","93","5","7","2","",".243",".304",".405",".709",".306","96","","1.1","","596.5","","3.78","-0.46","0.79","20308"
"Chas McCormick","HOU","88","325","288","70","12","1","12","41","41","29","85","4","5","2","",".243",".315",".414",".728",".314","101","","1.1","","527.2","","4.89","-0.36","0.73","19599"
"Wil Myers","SDP","138","528","469","114","24","2","20","63","66","53","150","3","8","4","",".244",".323",".430",".753",".325","104","","1.1","","298.8","","2.36","0.09","0.39","10047"
"Garrett Cooper","MIA","107","430","381","101","18","1","15","53","54","42","110","6","2","1","",".264",".344",".435",".779",".338","115","","1.1","","533.8","","4.37","-0.13","0.53","15279"
"Jesús Aguilar","MIA","130","516","454","116","21","0","21","59","76","50","101","4","0","0","",".255",".329",".440",".770",".330","110","","1.1","","306.8","","3.55","1.57","0.60","11342"
"Kyle Farmer","CIN","118","422","390","99","20","1","12","46","49","20","84","10","3","1","",".255",".306",".406",".712",".308","86","","1.1","","539.1","","3.79","0.08","0.53","14813"
"David Peralta","ARI","128","517","470","126","25","5","12","57","62","41","96","4","2","1","",".269",".330",".417",".747",".322","99","","1.1","","518.7","","1.56","0.28","0.65","2136"
"Brandon Marsh","LAA","108","422","377","93","19","3","9","51","40","39","129","3","10","2","",".248",".322",".383",".705",".308","94","","1.1","","429.5","","4.11","-0.01","0.90","20202"
"Kole Calhoun","TEX","109","445","392","90","17","1","19","54","54","44","103","5","3","1","",".230",".312",".423",".735",".316","101","","1.1","","545.0","","2.48","1.97","0.41","11200"
"Gary Sánchez","MIN","103","403","352","73","14","1","21","51","57","44","113","6","0","0","",".208",".305",".435",".741",".319","102","","1.1","","244.4","","3.23","-0.49","0.78","11442"
"Nick Ahmed","ARI","129","507","463","111","26","3","10","54","52","37","106","3","7","2","",".239",".298",".372",".670",".291","78","","1.1","","592.8","","2.37","-0.25","0.52","12147"
"Manuel Margot","TBR","115","439","398","101","20","3","11","53","47","35","74","2","14","6","",".255",".316",".397",".713",".309","94","","1.1","","424.6","","3.05","-0.33","1.07","14712"
"Andrelton Simmons","CHC","112","434","400","100","17","1","4","41","36","28","58","3","3","1","",".250",".304",".332",".636",".280","74","","1.0","","591.9","","2.27","0.11","0.81","10847"
"Tyrone Taylor","MIL","81","289","262","64","13","2","12","35","39","20","63","5","5","1","",".245",".310",".441",".751",".323","99","","1.0","","544.8","","2.68","-1.05","0.87","13675"
"Andrew Vaughn","CHW","130","533","471","119","25","1","20","63","64","50","110","7","2","1","",".252",".330",".437",".767",".331","108","","1.0","","285.6","","3.87","-0.77","0.28","26197"
"Lane Thomas","WSN","114","432","383","92","20","3","14","55","51","44","114","4","10","4","",".240",".323",".414",".737",".320","98","","1.0","","291.1","","2.30","-0.84","0.64","16939"
"Kyle Higashioka","NYY","88","304","282","61","12","0","15","33","43","19","81","2","0","0","",".217",".269",".422",".691",".294","84","","1.0","","520.1","","1.64","-0.42","0.65","5517"
"Austin Slater","SFG","88","296","260","65","12","1","9","38","30","30","77","5","12","3","",".251",".338",".416",".754",".329","107","","1.0","","582.4","","4.95","1.53","1.34","16153"
"Victor Robles","WSN","116","439","388","91","22","2","9","50","38","32","106","13","12","5","",".234",".312",".369",".681",".299","84","","1.0","","498.8","","3.57","-0.36","1.09","18363"
"Ben Rortvedt","NYY","78","274","246","54","10","1","8","28","30","20","75","4","1","0","",".218",".284",".368",".652",".284","77","","1.0","","999.0","","1.78","2.12","0.76","20287"
"Nick Senzel","CIN","100","379","341","89","21","2","9","48","40","32","72","2","9","4","",".261",".326",".416",".742",".321","94","","1.0","","384.6","","5.00","-0.62","0.98","19293"
"LaMonte Wade Jr.","SFG","109","427","372","90","17","3","15","54","50","45","91","6","6","2","",".242",".333",".424",".756",".328","106","","1.0","","420.6","","2.81","-0.35","0.41","18126"
"Odúbel Herrera","PHI","97","395","361","94","20","2","11","47","44","26","70","4","5","2","",".262",".317",".420",".737",".317","96","","1.0","","590.2","","4.59","0.01","0.74","11476"
"Bryson Stott","PHI","79","324","290","71","14","1","8","37","32","30","79","2","5","1","",".246",".319",".391",".710",".309","90","","1.0","","459.3","","2.66","-0.64","0.93","sa3011443"
"Kevin Smith","OAK","83","304","276","63","14","1","12","34","35","23","87","3","6","2","",".227",".293",".412",".705",".303","95","","1.0","","529.4","","4.64","-2.20","0.89","20242"
"Eddie Rosario","ATL","120","501","464","122","23","2","22","64","73","30","76","1","9","3","",".264",".307",".465",".773",".327","101","","0.9","","181.4","","4.13","0.95","0.33","12155"
"Joey Bart","SFG","94","356","331","80","15","1","9","37","38","19","111","6","1","1","",".241",".293",".370",".663",".289","80","","0.9","","270.0","","1.27","-0.14","0.61","21524"
"Darin Ruf","SFG","101","346","299","75","14","1","15","44","45","42","91","4","2","1","",".251",".349",".458",".806",".348","119","","0.9","","469.0","","5.39","1.13","0.60","9929"
"Jose Miranda","","75","308","285","78","16","1","11","37","38","17","44","4","1","1","",".274",".323",".447",".770",".328","108","","0.9","","487.7","","4.43","1.33","1.06","sa917952"
"Mike Moustakas","CIN","128","502","446","107","23","1","24","59","70","44","101","6","1","1","",".241",".313",".455",".768",".326","98","","0.9","","403.8","","3.24","-0.38","0.61","4892"
"Ben Gamel","PIT","143","542","471","116","26","3","13","60","51","62","141","5","6","3","",".246",".338",".396",".734",".321","101","","0.9","","585.3","","4.65","-0.35","0.37","12160"
"Alek Thomas","ARI","67","270","245","65","13","3","6","34","28","21","62","2","5","2","",".265",".327",".420",".746",".322","98","","0.9","","576.9","","6.08","-0.16","1.25","sa3006892"
"Didi Gregorius","PHI","104","421","384","93","18","2","14","47","55","26","65","6","3","1","",".242",".296",".411",".707",".303","87","","0.9","","533.4","","2.11","-0.92","0.36","6012"
"Aledmys Díaz","HOU","78","307","281","71","15","0","9","34","39","19","55","5","1","0","",".252",".310",".412",".722",".311","99","","0.9","","582.7","","4.99","-0.51","0.84","15937"
"Elvis Andrus","OAK","113","449","415","102","20","2","6","46","37","27","69","4","10","3","",".247",".296",".347",".644",".282","80","","0.9","","572.7","","2.54","-1.06","1.05","8709"
"Pedro Severino","MIL","80","298","267","64","11","1","10","27","34","25","73","2","0","0","",".239",".309",".399",".708",".307","89","","0.9","","542.8","","2.66","0.11","0.89","14523"
"Jason Heyward","CHC","83","324","288","70","12","2","9","37","33","31","62","3","4","1","",".243",".321",".387",".708",".308","93","","0.9","","596.3","","2.19","-0.22","0.85","4940"
"Jonah Heim","TEX","52","193","177","41","9","0","6","19","22","13","36","2","1","0","",".234",".290",".389",".679",".293","85","","0.9","","564.9","","3.19","-0.87","1.24","16930"
"Joc Pederson","SFG","119","447","397","93","19","2","19","56","57","39","104","9","2","2","",".236",".316",".441",".757",".324","104","","0.9","","507.9","","2.81","-0.36","0.33","11899"
"Curt Casali","SFG","78","264","233","51","10","0","8","25","27","26","74","4","0","0","",".221",".309",".365",".674",".296","85","","0.9","","592.3","","2.34","0.05","0.87","12510"
"J.D. Davis","NYM","85","311","272","70","14","1","11","36","35","32","86","5","1","1","",".257",".343",".429",".772",".335","111","","0.9","","537.5","","2.42","1.03","0.90","16219"
"Andrew McCutchen","MIL","116","485","415","100","20","1","21","63","62","62","108","4","5","1","",".241",".343",".442",".785",".337","109","","0.9","","321.7","","2.85","-1.09","0.30","9847"
"Rafael Ortega","CHC","111","432","387","97","19","3","11","54","42","40","88","2","13","4","",".251",".323",".399",".722",".315","97","","0.9","","394.5","","3.87","-0.10","1.05","10323"
"Jason Castro","HOU","48","168","145","31","6","0","7","19","19","20","53","2","0","0","",".215",".319",".397",".716",".313","100","","0.8","","599.9","","1.69","-0.58","1.17","8722"
"Vidal Bruján","","67","271","246","61","13","2","5","34","26","22","50","2","13","4","",".246",".314",".376",".690",".302","89","","0.8","","462.8","","5.00","-0.25","1.58","20536"
"Jake Fraley","CIN","90","347","297","72","15","2","12","43","44","43","93","5","12","3","",".241",".344",".422",".766",".334","103","","0.8","","530.1","","6.97","-0.35","1.03","19260"
"Jordan Luplow","ARI","84","327","282","67","15","1","14","41","42","39","82","4","3","2","",".236",".335",".444",".779",".337","108","","0.8","","600.6","","3.71","-1.46","0.58","16424"
"Cristian Pache","OAK","113","431","396","91","19","2","10","44","40","26","123","3","5","3","",".230",".282",".366",".648",".282","80","","0.8","","566.8","","2.66","-0.45","0.59","19948"
"Rowdy Tellez","MIL","110","414","372","94","19","1","20","50","59","33","87","6","1","1","",".253",".320",".467",".787",".335","107","","0.8","","363.3","","4.52","-0.67","0.49","15679"
"Austin Barnes","LAD","60","214","188","42","8","0","5","25","23","21","52","4","2","1","",".226",".312",".358",".670",".296","85","","0.8","","591.8","","1.55","0.41","1.06","12158"
"Carter Kieboom","WSN","85","346","301","72","13","1","9","40","36","37","82","6","1","1","",".240",".333",".377",".710",".313","93","","0.8","","576.2","","5.63","0.63","0.62","19958"
"Riley Adams","WSN","67","239","209","47","10","1","7","27","26","23","80","6","1","0","",".225",".319",".376",".696",".308","89","","0.8","","591.7","","3.61","-0.02","0.92","19864"
"Miguel Sanó","MIN","138","560","493","111","23","1","33","76","82","61","200","4","1","1","",".224",".314",".475",".790",".336","113","","0.8","","278.9","","2.51","0.39","1.38","12164"
"Frank Schwindel","CHC","128","536","501","132","26","1","20","67","71","29","96","4","2","1","",".263",".309",".441",".750",".321","102","","0.8","","243.0","","4.03","0.74","0.38","15351"
"Santiago Espinal","TOR","88","314","284","75","15","1","4","36","30","24","48","2","6","2","",".264",".323",".362",".685",".301","86","","0.8","","575.9","","2.49","-0.65","1.28","19997"
"Cal Raleigh","SEA","61","226","209","47","11","0","8","22","27","14","61","2","1","1","",".224",".277",".396",".673",".289","86","","0.8","","580.9","","2.93","-0.84","1.01","21534"
"Robinson Chirinos","BAL","66","232","202","44","9","1","8","25","27","22","70","6","0","0","",".216",".308",".390",".698",".305","91","","0.7","","595.2","","3.23","0.11","0.91","3142"
"Kevin Plawecki","BOS","64","227","206","53","11","1","5","23","25","16","40","4","0","0","",".255",".321",".386",".707",".307","89","","0.7","","587.0","","1.93","-0.75","1.23","13807"
"Tyler Naquin","CIN","120","475","434","113","23","2","18","58","63","31","114","4","5","2","",".261",".315",".447",".762",".325","97","","0.7","","383.5","","3.25","-0.09","0.32","13359"
"Steven Kwan","CLE","68","274","248","68","13","2","6","33","28","21","35","2","4","1","",".273",".332",".416",".748",".323","104","","0.7","","538.4","","4.92","-0.24","1.28","sa3008536"
"Carlos Santana","KCR","126","533","453","106","19","1","18","61","61","74","86","3","2","1","",".233",".342",".395",".737",".322","102","","0.7","","537.8","","4.80","0.70","0.38","2396"
"Leury García","CHW","101","404","368","97","16","2","6","48","37","25","84","4","7","2","",".263",".315",".370",".686",".300","87","","0.7","","560.0","","2.82","-1.13","1.01","5913"
"Christian Walker","ARI","124","510","457","114","25","2","17","63","63","44","122","5","2","1","",".250",".321",".427",".748",".322","99","","0.7","","524.8","","1.69","-0.86","0.21","13419"
"Nolan Gorman","STL","57","235","217","54","11","1","8","27","28","14","57","2","2","0","",".248",".298",".417",".715",".306","92","","0.7","","547.0","","6.08","0.45","1.09","sa3007017"
"Seth Brown","OAK","128","460","423","95","20","2","21","55","60","32","138","3","5","2","",".225",".284",".433",".717",".306","97","","0.7","","518.3","","4.37","-0.13","0.65","18171"
"Thairo Estrada","SFG","65","229","211","55","10","1","7","29","26","14","45","3","3","1","",".261",".316",".419",".735",".318","99","","0.7","","599.3","","3.41","-0.83","1.22","16426"
"Gavin Sheets","CHW","110","418","377","95","17","1","18","50","59","36","95","3","1","1","",".252",".320",".446",".766",".329","107","","0.7","","538.7","","2.64","0.67","0.45","19901"
"Connor Joe","COL","94","371","320","85","18","1","13","47","47","42","79","5","2","1","",".265",".357",".450",".807",".349","105","","0.7","","349.2","","3.07","-0.39","0.69","16572"
"Luis Torrens","SEA","72","273","248","59","12","1","10","28","33","22","67","2","0","0","",".238",".302",".412",".714",".305","97","","0.7","","471.9","","5.33","0.22","0.88","15905"
"Ji-Man Choi","TBR","109","431","365","85","19","1","14","50","53","58","114","4","1","1","",".232",".340",".407",".747",".327","105","","0.7","","584.1","","2.83","0.73","0.22","5452"
"Victor Caratini","SDP","56","191","169","41","7","0","4","19","21","18","43","3","1","0","",".241",".320",".362",".682",".300","87","","0.7","","588.8","","2.78","-0.10","1.28","14968"
"Bryan De La Cruz","","67","263","241","65","12","1","6","29","27","18","61","2","2","1","",".268",".322",".407",".729",".316","100","","0.7","","566.9","","5.48","-0.03","1.27","19600"
"Luis García","WSN","91","352","332","88","17","2","10","42","38","18","62","1","2","1","",".264",".303",".416",".720",".309","90","","0.7","","583.5","","4.18","-0.96","0.87","20391"
"Pavin Smith","ARI","123","502","447","118","24","3","12","58","53","43","89","3","2","1","",".264",".327",".413",".741",".319","96","","0.7","","507.1","","2.25","0.28","0.52","19892"
"Steven Duggar","SFG","93","338","306","72","16","3","7","39","33","28","100","2","8","2","",".235",".304",".375",".679",".296","85","","0.7","","599.2","","4.09","-0.23","0.96","17719"
"Rougned Odor","BAL","105","416","376","80","17","1","20","48","55","30","116","7","3","2","",".213",".282",".418",".700",".299","86","","0.6","","532.3","","4.64","-0.30","0.73","12282"
"Nick Solak","TEX","90","371","333","85","15","1","9","42","38","28","76","7","5","2","",".256",".323",".392",".715",".312","98","","0.6","","522.9","","5.14","-0.11","0.86","19294"
"Austin Allen","OAK","46","162","151","35","8","0","6","16","18","9","44","2","0","0","",".234",".282",".400",".682",".293","88","","0.6","","600.0","","3.34","1.39","1.32","18083"
"Charlie Blackmon","COL","124","543","483","134","26","4","16","74","68","46","91","8","3","1","",".278",".348",".449",".797",".343","101","","0.6","","238.1","","2.46","0.66","0.68","7859"
"Niko Goodrum","HOU","70","282","251","55","11","1","9","33","28","26","91","2","10","3","",".219",".294",".380",".674",".293","87","","0.6","","580.1","","5.15","0.25","1.21","12092"
"Randal Grichuk","COL","132","532","494","129","28","2","25","67","77","30","114","4","1","1","",".260",".306",".476",".782",".331","93","","0.6","","306.3","","4.81","-3.33","0.58","10243"
"Hunter Dozier","KCR","122","493","441","104","22","4","17","56","55","45","135","5","5","2","",".237",".311",".421",".732",".315","98","","0.6","","471.6","","3.44","-0.01","0.33","15117"
"Adam Engel","CHW","76","287","262","62","13","2","10","35","31","18","73","6","10","2","",".236",".298",".409",".707",".306","91","","0.6","","598.6","","3.43","-1.03","1.18","15082"
"Leody Taveras","","56","221","199","45","9","2","6","26","21","19","61","1","9","2","",".225",".296",".368",".664",".290","83","","0.6","","588.5","","4.70","0.72","1.44","18900"
"Bradley Zimmer","CLE","90","340","296","66","12","1","9","40","33","30","118","10","13","3","",".223",".312",".363",".676",".297","87","","0.6","","536.6","","4.63","-0.54","1.31","16221"
"Matt Duffy","LAA","69","268","240","63","10","1","4","31","25","22","49","4","5","2","",".265",".336",".358",".694",".308","94","","0.6","","586.5","","5.70","0.99","1.33","13836"
"Matt Vierling","PHI","66","234","211","53","10","1","6","26","25","17","55","3","5","1","",".251",".311",".397",".708",".306","89","","0.6","","575.2","","5.16","0.06","1.30","21558"
"Jo Adell","LAA","127","505","465","112","22","3","19","60","66","32","148","5","7","2","",".241",".296",".427",".722",".310","95","","0.6","","210.8","","3.04","-2.54","0.45","20220"
"Andrew Knizner","STL","56","201","179","42","7","0","4","20","19","16","40","3","1","0","",".233",".302",".347",".650",".285","78","","0.6","","598.2","","1.52","2.51","1.23","19514"
"Oscar Mercado","CLE","78","301","270","64","14","1","7","35","29","23","59","3","9","3","",".238",".305",".382",".687",".299","88","","0.6","","594.0","","5.68","0.16","1.20","16375"
"Kevin Newman","PIT","115","453","420","109","20","3","5","44","39","24","44","3","6","2","",".260",".303",".357",".660",".287","79","","0.6","","595.9","","3.42","-2.03","1.00","17696"
"Kyle Isbel","KCR","78","298","271","67","14","2","7","35","30","22","70","3","8","2","",".247",".311",".392",".703",".305","91","","0.6","","559.6","","4.35","0.62","1.17","21614"
"Chad Pinder","OAK","108","385","353","82","18","1","13","43","44","26","95","4","2","1","",".233",".291",".401",".693",".299","92","","0.6","","578.7","","4.93","-0.16","0.40","15191"
"Zack Collins","TOR","40","147","126","27","6","0","5","17","17","19","46","1","1","0","",".216",".325",".386",".711",".314","97","","0.6","","599.6","","2.84","-0.09","1.27","19181"
"Dominic Smith","NYM","110","416","374","97","21","1","16","47","56","31","93","6","1","1","",".259",".323",".444",".767",".328","106","","0.5","","458.2","","1.85","-0.12","0.55","15653"
"Josh Naylor","CLE","97","375","344","90","19","1","12","43","43","27","65","3","2","1","",".261",".319",".423",".742",".320","102","","0.5","","584.7","","7.45","-0.59","0.75","18839"
"Daniel Vogelbach","PIT","90","338","283","64","12","0","14","40","40","52","78","2","0","0","",".226",".348",".416",".764",".335","110","","0.5","","587.8","","2.24","-1.08","0.49","14130"
"Victor Reyes","DET","63","238","224","59","10","3","4","29","22","11","53","1","6","2","",".263",".301",".390",".692",".299","88","","0.5","","593.5","","5.05","0.97","1.43","15487"
