"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","-1","InterSD","InterSK","IntraSD","playerid"
"Jose Altuve","HOU","140","626","562","155","29","2","25","97","76","55","92","5","6","3","",".276",".344",".466",".810",".347","123","","3.8","","74.8","","2.29","-1.29","0.69","5417"
"J.T. Realmuto","PHI","140","579","518","136","26","3","22","77","76","47","135","10","11","3","",".262",".333",".451",".784",".336","108","","3.8","","50.2","","2.65","-0.56","0.28","11739"
"Salvador Perez","KCR","139","587","547","144","25","1","34","74","98","26","140","10","1","1","",".263",".307",".500",".807",".339","113","","3.7","","32.3","","1.97","0.03","1.13","7304"
"Ketel Marte","ARI","142","608","552","161","35","4","22","82","77","47","90","5","5","2","",".293",".351",".490",".841",".358","122","","3.7","","78.4","","2.35","-1.75","0.92","13613"
"Nolan Arenado","STL","152","645","580","150","29","2","31","81","96","52","93","4","2","1","",".258",".319",".476",".795",".333","109","","3.7","","70.1","","1.99","-0.52","0.98","9777"
"Matt Chapman","TOR","144","601","523","119","25","3","31","82","83","66","180","6","2","1","",".228",".319",".463",".782",".334","108","","3.6","","170.6","","2.12","-0.18","1.30","16505"
"Joey Gallo","NYY","142","591","486","102","18","1","38","87","89","96","207","7","5","1","",".209",".346",".486",".832",".355","124","","3.5","","181.6","","2.96","0.19","1.91","14128"
"Pete Alonso","NYM","152","649","566","147","27","2","40","89","107","65","143","14","2","1","",".259",".348",".527",".875",".370","134","","3.5","","45.8","","2.73","-0.24","1.37","19251"
"Paul Goldschmidt","STL","151","659","576","159","29","2","30","95","88","75","138","4","8","2","",".276",".361",".490",".852",".360","127","","3.5","","47.4","","3.42","-1.14","0.52","9218"
"Fernando Tatis Jr.","SDP","77","331","291","83","16","1","23","58","56","35","87","3","13","4","",".284",".366",".587",".953",".398","152","","3.4","","62.8","","6.73","2.61","0.90","19709"
"Jake Cronenworth","SDP","143","601","535","146","31","5","17","81","69","53","90","8","6","3","",".273",".345",".444",".789",".340","114","","3.4","","128.3","","1.40","0.32","0.55","18036"
"Yoán Moncada","CHW","143","617","534","139","29","3","19","82","69","72","163","7","7","2","",".260",".353",".430",".783",".341","114","","3.4","","158.5","","1.39","0.46","0.36","17232"
"Willy Adames","MIL","144","596","533","136","28","2","26","80","73","58","168","2","6","3","",".255",".331",".460",".791",".339","110","","3.3","","124.9","","2.48","-0.44","0.41","15986"
"Jesse Winker","SEA","135","559","483","133","26","1","25","79","72","64","98","10","2","1","",".274",".370",".493",".862",".370","141","","3.3","","120.3","","2.00","1.39","0.66","13590"
"Josh Donaldson","NYY","127","533","448","111","21","0","28","75","72","74","120","5","1","1","",".248",".358",".483",".841",".360","127","","3.3","","181.1","","2.16","-0.26","0.74","5038"
"Ke'Bryan Hayes","PIT","141","604","546","145","32","4","16","77","64","51","126","4","12","3","",".265",".332",".423",".755",".327","104","","3.3","","151.9","","3.05","-2.16","0.60","18577"
"Cedric Mullins","BAL","148","636","566","147","30","5","23","85","61","51","120","7","26","7","",".260",".326",".448",".775",".332","109","","3.2","","33.6","","2.99","-0.08","1.47","17929"
"Max Muncy","LAD","125","525","440","110","20","1","30","81","84","74","117","8","2","1","",".251",".367",".509",".876",".373","136","","3.2","","121.9","","3.57","0.39","0.84","13301"
"Jeimer Candelario","DET","144","607","535","137","32","3","20","72","69","64","135","6","1","1","",".257",".342",".439",".781",".338","115","","3.2","","245.0","","2.06","0.20","0.43","13621"
"Tim Anderson","CHW","141","624","592","174","32","2","20","98","69","26","133","4","19","6","",".295",".327",".458",".785",".336","111","","3.2","","30.0","","2.34","-0.07","1.18","15172"
"Trent Grisham","SDP","138","580","503","123","26","4","19","78","65","65","132","6","15","4","",".245",".336",".426",".762",".330","107","","3.1","","146.9","","2.68","0.70","0.85","18564"
"Cody Bellinger","LAD","141","570","501","122","24","3","27","79","81","63","127","3","9","3","",".243",".330",".468",".797",".338","113","","3.1","","113.1","","4.95","-0.94","0.70","15998"
"Austin Riley","ATL","146","607","546","149","29","2","30","84","93","47","156","9","0","1","",".272",".336",".498",".834",".354","119","","3.1","","52.4","","2.37","0.49","1.00","18360"
"Jorge Polanco","MIN","145","632","574","154","32","3","25","90","81","47","110","5","9","4","",".268",".325",".465",".790",".337","114","","3.1","","79.3","","1.60","1.75","0.32","13152"
"Rhys Hoskins","PHI","135","584","491","118","27","1","35","86","89","81","138","9","3","2","",".241",".357",".512",".869",".370","130","","3.0","","119.6","","4.80","-0.12","1.18","16472"
