"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","WAR","-1","ADP","playerid"
"Jonathan Villar","CHC","107","432","386","97","16","2","13","55","43","38","112","3","18","5","",".252",".322",".406",".728",".316","95","","1.4","","238.0","10071"
"Odúbel Herrera","PHI","97","395","358","96","19","2","11","50","44","29","71","5","5","1","",".268",".330",".426",".756",".326","102","","1.4","","590.2","11476"
"Alex Kirilloff","MIN","123","509","465","126","26","3","17","64","61","35","108","4","4","1","",".270",".324",".446",".769",".328","108","","1.4","","185.9","20325"
"Trey Mancini","BAL","143","613","549","145","26","2","22","73","72","52","138","8","1","0","",".263",".334",".439",".772",".332","109","","1.4","","216.1","15149"
"Tucker Barnhart","DET","109","390","347","76","15","1","8","36","36","36","95","4","0","0","",".219",".297",".338",".635",".280","75","","1.3","","502.6","10200"
"David Fletcher","LAA","143","606","560","152","28","2","3","65","51","37","60","3","11","3","",".271",".318",".346",".664",".292","83","","1.3","","440.8","17992"
"Jarred Kelenic","SEA","133","552","495","112","22","2","21","66","62","50","142","4","12","3","",".226",".300",".404",".704",".304","96","","1.3","","147.5","22558"
"Joey Wendle","MIA","125","489","446","112","23","4","10","56","47","30","105","9","12","3","",".251",".310",".385",".695",".300","90","","1.3","","441.2","13853"
"Kyle Farmer","CIN","118","422","389","99","21","1","13","48","50","21","83","8","3","1","",".254",".304",".416",".721",".310","87","","1.3","","539.1","14813"
"Abraham Toro","SEA","89","357","317","78","16","1","11","41","39","31","63","6","5","1","",".245",".321",".404",".725",".315","103","","1.3","","393.6","19844"
"Andrés Giménez","CLE","116","425","388","94","19","3","10","50","40","22","105","10","15","4","",".242",".299",".384",".682",".296","86","","1.3","","291.1","19950"
"Tommy La Stella","SFG","99","389","344","89","18","2","9","44","41","35","44","3","1","0","",".258",".330",".395",".725",".316","100","","1.3","","566.7","12371"
"Ben Gamel","PIT","143","542","473","120","26","3","11","63","52","60","133","5","8","3","",".253",".341",".390",".731",".320","100","","1.3","","585.3","12160"
"Nelson Cruz","WSN","127","538","490","127","23","1","32","70","85","35","128","8","2","0","",".260",".317",".505",".822",".345","113","","1.3","","166.5","2434"
"Austin Hedges","CLE","97","352","321","64","11","0","13","33","39","22","100","4","2","1","",".201",".259",".358",".617",".266","66","","1.3","","587.9","12976"
"Austin Nola","SDP","96","361","324","81","16","1","7","38","36","29","61","5","1","0","",".248",".317",".371",".688",".301","90","","1.3","","377.3","15941"
"Adam Duvall","ATL","129","512","464","107","20","2","33","70","78","37","149","7","2","1","",".231",".294",".492",".787",".331","104","","1.3","","218.3","10950"
"Jonah Heim","TEX","52","193","177","39","8","0","5","19","20","13","39","1","1","0","",".222",".279",".366",".644",".279","76","","1.3","","564.9","16930"
"Miguel Sanó","MIN","138","560","490","110","22","1","32","77","81","63","196","5","1","1","",".225",".318",".472",".790",".336","113","","1.3","","278.9","12164"
"Ramón Urías","BAL","115","430","383","92","20","1","10","47","42","34","109","9","3","1","",".241",".318",".382",".700",".306","91","","1.3","","546.4","18795"
"Jesús Aguilar","MIA","130","516","456","116","20","1","23","61","68","49","102","5","0","0","",".254",".331",".450",".781",".334","112","","1.2","","306.8","11342"
"Adalberto Mondesi","KCR","118","482","450","103","20","5","16","66","46","25","146","2","39","6","",".229",".271",".400",".671",".286","78","","1.2","","57.2","13769"
"Yadier Molina","STL","108","418","380","96","19","1","10","45","46","22","70","4","3","1","",".254",".300",".390",".689",".298","88","","1.2","","332.0","7007"
"Curt Casali","SFG","78","264","232","51","10","0","8","28","29","26","73","3","1","0","",".220",".307",".370",".677",".295","86","","1.2","","592.3","12510"
"Gavin Lux","LAD","97","379","339","86","17","3","9","49","42","35","85","2","5","1","",".254",".326",".401",".727",".315","98","","1.2","","275.0","19955"
"Luke Voit","SDP","116","475","418","103","18","1","22","60","66","45","131","9","0","0","",".246",".330",".454",".783",".337","114","","1.2","","224.5","14811"
"Garrett Cooper","MIA","107","430","381","101","17","1","15","53","51","41","107","5","1","0","",".264",".342",".434",".776",".336","113","","1.2","","533.8","15279"
"Kevin Plawecki","BOS","64","227","205","50","10","1","5","24","22","16","41","4","1","0","",".243",".308",".366",".674",".295","81","","1.2","","587.0","13807"
"Vidal Bruján","","67","271","245","62","14","2","5","33","26","22","48","2","12","3","",".254",".318",".387",".706",".307","99","","1.2","","462.8","20536"
"Oneil Cruz","","111","452","413","102","21","3","13","53","50","33","125","2","9","3","",".247",".306",".408",".714",".307","91","","1.1","","218.0","21711"
"Cal Raleigh","SEA","61","226","208","44","10","1","8","23","25","15","58","2","1","0","",".213",".272",".376",".648",".279","79","","1.1","","580.9","21534"
"José Iglesias","COL","124","492","461","133","29","2","8","59","53","20","68","5","5","2","",".288",".323",".414",".738",".318","84","","1.1","","542.2","10231"
"Austin Slater","SFG","88","296","260","68","12","1","9","40","31","29","77","5","9","3","",".260",".343",".423",".766",".333","110","","1.1","","582.4","16153"
"Nick Madrigal","CHC","114","448","413","119","19","3","3","49","39","24","38","6","9","3","",".287",".333",".371",".705",".307","90","","1.1","","385.2","20521"
"Robinson Chirinos","BAL","66","232","199","43","8","1","9","26","26","23","72","6","1","0","",".215",".313",".395",".708",".309","93","","1.1","","595.2","3142"
"Michael A. Taylor","KCR","132","479","438","102","22","2","12","53","49","33","134","3","12","3","",".233",".290",".377",".667",".289","79","","1.0","","541.9","11489"
"Francisco Mejía","TBR","78","278","254","60","13","1","7","28","31","17","58","5","1","0","",".237",".295",".385",".680",".294","90","","1.0","","524.8","16403"
"Taylor Walls","TBR","88","346","305","69","16","2","7","38","32","36","90","2","8","3","",".225",".309",".356",".664",".292","89","","1.0","","594.9","22458"
"Yuli Gurriel","HOU","133","553","505","135","29","2","13","64","61","37","69","5","3","1","",".268",".321",".409",".730",".315","101","","1.0","","210.4","19198"
"Gio Urshela","MIN","106","421","390","99","20","1","11","46","46","25","88","3","1","0","",".254",".302",".394",".696",".301","89","","1.0","","332.4","10681"
"Martín Maldonado","HOU","111","411","358","72","12","1","12","43","42","39","118","7","1","0","",".202",".292",".342",".634",".281","79","","1.0","","575.0","6887"
"Kyle Lewis","SEA","89","375","332","80","15","1","14","45","44","38","103","2","3","1","",".242",".321",".419",".740",".320","107","","1.0","","465.7","19508"
"Rougned Odor","BAL","105","416","374","80","16","1","20","48","53","31","115","7","4","2","",".214",".285",".423",".708",".302","89","","1.0","","532.3","12282"
"Jason Castro","HOU","48","168","143","31","6","1","6","20","20","20","53","2","0","0","",".216",".320",".398",".718",".313","100","","1.0","","599.9","8722"
"Tyler Naquin","CIN","120","475","432","113","22","2","19","61","60","35","114","4","5","2","",".262",".321",".455",".775",".331","101","","1.0","","383.5","13359"
"Nicky Lopez","KCR","136","536","483","124","21","4","2","56","38","42","77","3","12","4","",".256",".319",".329",".648",".288","79","","1.0","","256.5","19339"
"Joey Bart","SFG","94","356","329","75","15","1","9","37","36","20","107","5","1","0","",".228",".281",".363",".644",".280","76","","1.0","","270.0","21524"
"Riley Greene","DET","109","458","412","97","18","4","11","51","44","38","133","5","5","2","",".236",".306",".378",".685",".298","87","","1.0","","301.0","sa3010694"
"Jake Meyers","HOU","90","352","319","75","16","1","10","41","37","25","92","5","6","2","",".235",".298",".386",".684",".297","89","","1.0","","596.5","20308"
"Ji-Man Choi","TBR","109","431","366","84","19","1","15","51","50","57","115","5","1","0","",".228",".337",".405",".741",".324","110","","1.0","","584.1","5452"
"Randal Grichuk","COL","132","532","492","128","30","3","24","69","73","30","111","5","2","1","",".259",".307",".476",".782",".331","93","","0.9","","306.3","10243"
"Adolis García","TEX","132","554","514","116","24","2","25","67","68","29","175","6","11","3","",".225",".273",".424",".697",".297","88","","0.9","","169.4","19287"
"Cavan Biggio","TOR","115","464","398","88","19","2","14","56","48","58","125","4","5","2","",".220",".323",".379",".702",".308","91","","0.9","","334.7","19252"
"Jake Fraley","CIN","90","347","303","74","16","2","12","47","38","36","87","5","10","3","",".243",".330",".429",".759",".327","99","","0.9","","530.1","19260"
"Kole Calhoun","TEX","109","445","388","89","17","1","18","53","53","48","101","5","1","0","",".230",".321",".419",".741",".320","104","","0.9","","545.0","11200"
"Andy Ibáñez","TEX","95","375","342","84","18","1","10","40","39","26","62","3","2","1","",".247",".304",".390",".693",".299","90","","0.9","","557.3","18819"
"Victor Robles","WSN","116","439","388","92","20","2","9","53","39","33","105","14","14","4","",".238",".318",".373",".691",".303","86","","0.9","","498.8","18363"
"Roberto Pérez","PIT","103","395","348","71","12","1","12","39","41","38","122","3","1","0","",".205",".288",".350",".638",".281","74","","0.9","","562.2","2900"
"Lourdes Gurriel Jr.","TOR","136","553","511","132","26","1","21","67","69","32","113","5","4","2","",".257",".305",".435",".740",".316","96","","0.9","","142.5","19238"
"Aledmys Díaz","HOU","78","307","280","70","15","1","9","35","36","20","57","4","1","0","",".249",".307",".408",".715",".307","96","","0.9","","582.7","15937"
"LaMonte Wade Jr.","SFG","109","427","369","87","18","2","13","52","45","47","87","6","5","1","",".235",".329",".404",".732",".319","101","","0.9","","420.6","18126"
"J.D. Davis","NYM","85","311","273","68","13","0","10","38","37","31","84","4","1","0","",".248",".332",".413",".745",".323","107","","0.9","","537.5","16219"
"Alec Bohm","PHI","121","481","436","112","21","1","12","57","51","38","114","4","4","1","",".257",".319",".395",".715",".310","91","","0.9","","368.1","21618"
"Joc Pederson","SFG","119","447","392","91","20","2","18","56","54","43","102","9","3","1","",".232",".319",".430",".749",".323","104","","0.9","","507.9","11899"
"Andrew Vaughn","CHW","130","533","474","118","25","1","17","63","63","48","110","7","2","1","",".250",".325",".417",".742",".321","104","","0.9","","285.6","26197"
"David Peralta","ARI","128","517","467","126","25","4","10","60","55","42","93","4","2","1","",".269",".332",".405",".737",".319","96","","0.9","","518.7","2136"
"Alek Thomas","ARI","67","270","246","66","14","2","5","33","28","19","58","2","5","1","",".268",".327",".410",".736",".318","96","","0.9","","576.9","sa3006892"
"Steven Duggar","SFG","93","338","304","71","17","2","6","38","31","29","99","2","6","2","",".235",".305",".370",".674",".293","85","","0.8","","599.2","17719"
"Nick Ahmed","ARI","129","507","461","110","24","3","10","53","50","36","108","3","7","2","",".238",".295",".363",".658",".286","75","","0.8","","592.8","12147"
"Cristian Pache","OAK","113","431","399","90","18","2","9","42","38","27","122","2","6","2","",".227",".278",".356",".634",".275","76","","0.8","","566.8","19948"
"Charlie Blackmon","COL","124","543","484","136","27","5","16","71","64","46","91","8","2","1","",".281",".350",".456",".806",".346","103","","0.8","","238.1","7859"
"Jordan Luplow","ARI","84","327","285","68","15","2","14","43","42","36","81","4","4","1","",".240",".331",".446",".777",".334","106","","0.8","","600.6","16424"
"Luis García","WSN","91","352","329","87","16","2","9","40","39","18","64","2","4","1","",".265",".305",".407",".712",".306","88","","0.8","","583.5","20391"
"Chas McCormick","HOU","88","325","291","68","13","1","10","39","36","29","82","3","5","1","",".233",".307",".393",".700",".304","94","","0.8","","527.2","19599"
"Lane Thomas","WSN","114","432","384","89","20","2","14","54","46","41","119","4","8","3","",".233",".311",".404",".715",".310","91","","0.8","","291.1","16939"
"Edmundo Sosa","STL","97","349","322","80","15","2","7","38","33","17","76","7","4","2","",".248",".299",".367",".666",".289","83","","0.8","","538.5","17022"
"Nico Hoerner","CHC","96","364","331","86","17","2","3","38","30","26","62","5","8","3","",".261",".321",".353",".674",".295","82","","0.8","","537.4","21479"
"Justin Upton","LAA","91","358","313","73","14","1","17","47","47","38","102","4","4","1","",".234",".323",".444",".767",".330","108","","0.8","","567.1","5222"
"Matt Duffy","LAA","69","268","240","63","10","1","4","30","24","23","48","3","4","1","",".262",".331",".357",".687",".304","91","","0.7","","586.5","13836"
"Elvis Andrus","OAK","113","449","410","100","20","2","5","44","35","27","74","3","11","3","",".244",".294",".335",".629",".275","76","","0.7","","572.7","8709"
"Jose Barrero","CIN","78","302","278","68","15","1","8","35","33","17","78","5","5","2","",".244",".299",".395",".694",".299","81","","0.7","","543.0","23378"
"Asdrúbal Cabrera","CIN","62","244","215","53","12","1","8","28","29","23","53","2","1","0","",".246",".322",".417",".739",".319","100","","0.7","","600.2","4962"
"Hunter Dozier","KCR","122","493","442","103","22","4","16","57","56","43","136","4","6","2","",".234",".307",".413",".720",".310","94","","0.7","","471.6","15117"
"Garrett Hampson","COL","96","357","325","84","16","4","9","49","35","26","85","2","14","3","",".257",".314",".416",".731",".314","82","","0.7","","350.4","19262"
"Eddie Rosario","ATL","120","501","463","120","23","1","20","64","63","32","79","1","8","2","",".260",".307",".447",".753",".320","97","","0.7","","181.4","12155"
"Anthony Santander","BAL","125","527","484","119","28","1","22","59","68","33","111","5","2","1","",".246",".298",".446",".744",".316","98","","0.7","","325.2","14551"
"Victor Caratini","SDP","56","191","170","40","8","0","4","19","20","17","42","3","1","0","",".237",".314",".358",".673",".293","85","","0.7","","588.8","14968"
"Brandon Marsh","LAA","108","422","377","90","19","2","9","49","41","39","130","3","7","2","",".238",".313",".375",".688",".300","88","","0.7","","429.5","20202"
"Kevin Newman","PIT","115","453","421","110","20","2","4","44","41","24","45","3","7","2","",".262",".305",".351",".655",".285","77","","0.7","","595.9","17696"
"Adam Engel","CHW","76","287","261","62","13","2","9","36","31","19","72","6","6","2","",".238",".303",".409",".713",".308","95","","0.7","","598.6","15082"
"Leury García","CHW","101","404","367","93","15","2","5","45","33","27","85","5","6","2","",".255",".314",".349",".663",".292","84","","0.7","","560.0","5913"
"Patrick Wisdom","CHC","119","467","418","88","17","1","26","56","66","41","173","5","5","1","",".210",".286",".440",".726",".309","91","","0.7","","368.3","13602"
"Ben Rortvedt","NYY","78","274","247","53","10","1","8","27","28","21","73","3","0","0","",".213",".282",".351",".634",".277","74","","0.7","","999.0","20287"
"Carter Kieboom","WSN","85","346","305","74","14","1","9","39","36","34","81","5","1","1","",".242",".325",".380",".705",".309","90","","0.7","","576.2","19958"
"Thairo Estrada","SFG","65","229","211","55","10","1","6","27","24","14","45","3","3","1","",".259",".311",".397",".708",".306","93","","0.6","","599.3","16426"
"Bryson Stott","PHI","79","324","290","68","14","2","8","38","32","30","84","2","4","1","",".236",".310",".377",".686",".299","84","","0.6","","459.3","sa3011443"
"Bobby Dalbec","BOS","126","492","441","102","21","2","25","64","69","40","169","8","2","1","",".230",".304",".461",".764",".325","101","","0.6","","219.5","19966"
"Darin Ruf","SFG","101","346","301","74","15","1","14","44","43","39","92","4","1","0","",".245",".337",".439",".775",".334","111","","0.6","","469.0","9929"
"Jo Adell","LAA","127","505","464","110","23","2","19","61","60","32","154","5","7","2","",".238",".293",".419",".712",".305","92","","0.6","","210.8","20220"
"Nick Solak","TEX","90","371","334","84","15","1","8","43","35","28","77","6","6","2","",".251",".318",".380",".698",".305","94","","0.6","","522.9","19294"
"Robinson Canó","NYM","81","331","303","78","17","0","11","37","42","23","56","2","0","0","",".259",".313",".423",".736",".315","102","","0.6","","537.7","3269"
"Dominic Smith","NYM","110","416","374","95","21","1","13","48","51","32","92","6","2","1","",".255",".321",".419",".739",".319","104","","0.6","","458.2","15653"
"Matt Vierling","PHI","66","234","214","53","11","1","6","28","24","15","55","3","4","1","",".247",".303",".387",".690",".299","84","","0.6","","575.2","21558"
"Daniel Vogelbach","PIT","90","338","283","66","12","0","13","40","41","50","74","3","0","0","",".234",".352",".413",".765",".335","110","","0.6","","587.8","14130"
"Jurickson Profar","SDP","122","451","396","92","20","2","9","51","41","44","70","7","9","2","",".233",".319",".360",".679",".300","89","","0.6","","559.0","10815"
"Spencer Torkelson","DET","109","447","396","94","20","2","15","50","52","42","102","5","2","1","",".238",".317",".414",".731",".316","99","","0.6","","239.5","sa3014504"
"Kevin Pillar","LAD","62","231","215","54","12","1","9","30","31","10","46","3","4","1","",".251",".294",".437",".731",".311","96","","0.6","","595.5","12434"
"Mike Brosseau","MIL","64","242","217","52","11","1","9","29","29","19","62","5","2","1","",".240",".312",".420",".732",".315","95","","0.6","","599.3","19683"
"Jorge Alfaro","SDP","85","318","294","71","12","1","9","36","33","16","100","7","5","2","",".242",".295",".379",".674",".292","85","","0.6","","446.7","12180"
"Austin Allen","OAK","46","162","149","34","7","0","5","15","17","10","42","2","0","0","",".225",".278",".374",".652",".281","80","","0.6","","600.0","18083"
"Luis Campusano","SDP","34","123","112","28","5","0","3","13","14","9","25","1","0","0","",".250",".310",".392",".703",".304","93","","0.5","","999.0","22217"
"Niko Goodrum","HOU","70","282","253","55","12","1","8","35","28","24","91","2","9","2","",".217",".289",".371",".661",".288","83","","0.5","","580.1","12092"
"Steven Kwan","CLE","68","274","248","66","14","2","4","30","27","21","34","2","3","1","",".266",".325",".391",".716",".311","96","","0.5","","538.4","sa3008536"
"Tyrone Taylor","MIL","81","289","263","62","12","1","11","34","35","19","63","4","4","1","",".236",".296",".414",".710",".305","88","","0.5","","544.8","13675"
"Jed Lowrie","OAK","99","398","351","83","20","1","11","40","42","39","87","1","0","0","",".237",".314",".390",".704",".306","97","","0.5","","586.0","4418"
"Kyle Isbel","KCR","78","298","272","65","14","2","6","33","28","21","71","3","7","2","",".241",".301",".374",".675",".293","82","","0.5","","559.6","21614"
"Jarren Duran","","67","273","249","63","14","2","6","36","27","19","74","3","7","2","",".254",".314",".405",".719",".311","92","","0.5","","533.7","24617"
"Christian Walker","ARI","124","510","456","113","26","2","17","59","63","43","121","6","3","1","",".248",".319",".422",".741",".319","96","","0.5","","524.8","13419"
"Nolan Gorman","STL","57","235","216","51","11","1","8","26","27","15","64","2","1","0","",".236",".292",".400",".692",".297","88","","0.5","","547.0","sa3007017"
"Bryan De La Cruz","","67","263","242","60","12","1","6","28","26","18","63","1","3","1","",".250",".304",".379",".683",".296","87","","0.5","","566.9","19600"
"Luis Torrens","SEA","72","273","248","58","11","1","9","30","31","22","67","2","0","0","",".233",".298",".396",".694",".299","93","","0.5","","471.9","15905"
"Brett Gardner","","68","255","223","51","10","3","5","30","23","28","53","2","3","1","",".229",".318",".368",".686",".302","89","","0.5","","598.6","9927"
"Raimel Tapia","TOR","105","423","388","102","21","2","5","50","36","30","69","2","12","4","",".263",".317",".363",".680",".297","83","","0.5","","317.9","14350"
"Kevin Smith","OAK","83","304","276","59","14","1","9","31","30","22","92","2","6","1","",".214",".277",".376",".653",".282","80","","0.5","","529.4","20242"
"Victor Reyes","DET","63","238","223","57","10","3","4","26","21","13","53","1","5","2","",".255",".297",".371",".668",".289","81","","0.5","","593.5","15487"
"Dylan Moore","SEA","65","220","195","40","8","1","7","27","20","20","62","4","11","3","",".203",".287",".361",".648",".284","83","","0.5","","538.3","18042"
"Bradley Zimmer","CLE","90","340","300","65","13","2","9","41","31","31","119","8","10","3","",".217",".304",".362",".666",".294","84","","0.5","","536.6","16221"
"Chad Pinder","OAK","108","385","348","80","17","1","12","38","41","28","101","5","1","0","",".229",".295",".383",".678",".294","89","","0.5","","578.7","15191"
"Jorge Mateo","BAL","114","391","365","82","18","4","7","44","32","20","115","3","14","3","",".224",".270",".357",".627",".271","68","","0.5","","408.9","17273"
"Zack Collins","TOR","40","147","126","25","6","0","4","16","15","19","48","1","0","0","",".198",".307",".353",".660",".292","80","","0.4","","599.6","19181"
"Donovan Solano","CIN","61","237","217","59","12","0","5","26","26","14","44","3","0","0","",".273",".324",".404",".728",".315","91","","0.4","","596.2","8623"
"Hoy Park","PIT","38","146","127","30","6","1","3","17","12","17","33","2","3","1","",".238",".332",".361",".693",".306","91","","0.4","","600.5","18027"
"Santiago Espinal","TOR","88","314","288","72","14","1","4","34","28","21","52","2","4","2","",".250",".304",".352",".656",".287","76","","0.4","","575.9","19997"
"Pedro Severino","MIL","80","298","269","63","11","1","9","32","33","23","71","3","1","0","",".233",".299",".381",".680",".295","82","","0.4","","542.8","14523"
"Wilson Ramos","","24","92","84","22","3","0","3","11","11","6","17","1","0","0","",".263",".317",".420",".737",".317","99","","0.4","","600.9","1433"
"Kurt Suzuki","LAA","46","174","155","36","7","0","5","18","20","11","31","4","1","0","",".235",".300",".383",".683",".297","87","","0.4","","598.8","8259"
"Isaac Paredes","","27","104","92","23","5","0","3","11","11","10","16","1","0","0","",".253",".333",".399",".732",".319","101","","0.4","","600.9","20036"
"Eric Hosmer","SDP","125","509","462","120","19","1","13","59","55","41","97","3","6","2","",".260",".323",".392",".715",".310","96","","0.4","","503.3","3516"
"Leody Taveras","","56","221","200","45","9","2","5","26","19","18","60","1","7","2","",".225",".291",".365",".656",".284","79","","0.4","","588.5","18900"
"Oscar Mercado","CLE","78","301","271","64","14","1","7","34","28","23","59","3","9","3","",".235",".301",".370",".671",".293","84","","0.4","","594.0","16375"
"Taylor Ward","LAA","51","199","175","42","8","0","6","23","22","20","49","2","2","1","",".240",".323",".399",".723",".314","98","","0.4","","600.7","17548"
"Reese McGuire","CHW","25","88","79","17","3","0","2","8","8","7","18","1","0","0","",".216",".284",".323",".607",".268","68","","0.4","","600.2","15674"
"Riley Adams","WSN","67","239","211","44","9","1","7","26","25","22","85","6","0","0","",".210",".299",".361",".660",".291","79","","0.4","","591.7","19864"
"Luke Maile","CLE","22","77","69","14","3","0","1","7","6","6","22","1","0","0","",".204",".278",".311",".589",".262","63","","0.4","","999.0","13355"
"Jason Heyward","CHC","83","324","287","68","12","2","8","35","31","31","62","3","3","1","",".236",".315",".371",".686",".300","85","","0.4","","596.3","4940"
"Pavin Smith","ARI","123","502","453","117","25","3","11","57","55","43","86","3","1","0","",".259",".325",".402",".726",".315","94","","0.4","","507.1","19892"
"Dom Nuñez","COL","68","249","218","45","9","1","10","29","30","26","75","3","1","0","",".204",".296",".388",".684",".296","70","","0.4","","590.8","15055"
"Danny Santana","","33","128","116","28","6","1","5","17","15","9","33","1","4","1","",".239",".300",".422",".722",".309","94","","0.4","","999.0","10322"
"Cam Gallagher","KCR","31","109","99","23","5","0","2","10","10","8","20","1","0","0","",".232",".293",".339",".632",".277","72","","0.4","","600.3","12981"
"Brett Phillips","TBR","59","186","162","31","6","1","7","23","19","20","69","1","7","2","",".193",".286",".369",".655",".286","85","","0.4","","595.0","14735"
"Stephen Vogt","OAK","56","195","174","36","8","1","6","18","20","18","49","1","1","0","",".207",".283",".363",".646",".281","80","","0.4","","600.4","5000"
"Jose Siri","HOU","62","210","195","42","9","1","6","25","21","12","76","2","6","1","",".215",".266",".367",".633",".273","73","","0.4","","582.0","17452"
"Jon Berti","MIA","45","170","150","35","6","1","2","20","12","16","40","2","6","2","",".236",".319",".337",".657",".293","85","","0.4","","585.6","12037"
"Carlos Santana","KCR","126","533","455","103","19","2","16","58","57","70","85","3","2","1","",".226",".330",".380",".710",".312","95","","0.4","","537.8","2396"
"Starlin Castro","","34","138","126","34","6","0","3","15","15","9","25","1","0","0","",".268",".318",".401",".719",".311","95","","0.4","","600.3","4579"
"Rowdy Tellez","MIL","110","414","371","93","20","1","17","49","56","34","85","6","1","0","",".250",".319",".446",".765",".326","102","","0.4","","363.3","15679"
"Edward Olivares","KCR","36","137","126","32","6","1","4","16","15","8","27","2","3","1","",".254",".307",".412",".719",".309","93","","0.4","","574.8","19698"
"Josh Lowe","","58","224","201","45","10","1","6","25","24","20","69","1","5","1","",".222",".295",".377",".672",".292","89","","0.3","","503.0","19953"
"Jacob Nottingham","BAL","25","91","82","17","3","0","3","9","10","6","31","2","1","0","",".206",".279",".372",".651",".283","76","","0.3","","600.5","16448"
"Andrelton Simmons","CHC","112","434","396","97","17","1","5","40","36","27","61","3","3","1","",".244",".296",".325",".621",".274","68","","0.3","","591.9","10847"
"Tomás Nido","NYM","56","186","173","39","8","0","4","18","20","9","46","2","0","0","",".224",".268",".349",".617",".267","71","","0.3","","600.8","13755"
"Jose Miranda","","75","308","284","74","16","1","8","34","35","18","45","4","1","0","",".259",".310",".407",".716",".307","94","","0.3","","487.7","sa917952"
"Gabriel Arias","CLE","28","107","99","25","5","0","3","11","11","6","28","1","1","0","",".254",".303",".393",".696",".300","89","","0.3","","600.8","sa3004047"
"Tim Locastro","NYY","35","119","105","25","5","1","2","14","10","7","24","5","4","1","",".240",".319",".364",".683",".302","91","","0.3","","600.4","15124"
"Nolan Jones","","35","141","123","29","6","1","4","16","15","16","45","1","1","0","",".234",".326",".392",".718",".313","98","","0.3","","598.5","sa917941"
"Mauricio Dubón","SFG","43","157","145","36","7","1","3","17","15","9","30","1","3","1","",".248",".297",".370",".667",".289","82","","0.3","","596.6","16530"
"Yonny Hernandez","","26","104","89","21","3","0","0","12","6","12","19","1","5","1","",".240",".337",".301",".638",".291","84","","0.3","","600.8","19432"
"David Bote","CHC","41","155","138","32","6","1","5","17","17","14","37","2","1","0","",".236",".314",".398",".712",".309","91","","0.3","","600.2","14593"
"Jace Peterson","MIL","61","224","196","45","9","1","5","26","21","25","52","2","4","1","",".231",".321",".360",".681",".301","85","","0.3","","584.1","12325"
"CJ Abrams","SDP","36","146","134","33","8","1","2","16","14","9","31","1","3","1","",".244",".297",".367",".664",".288","82","","0.3","","485.8","sa3010152"
"Nick Fortes","","24","86","78","19","4","0","2","9","9","6","16","1","1","0","",".237",".299",".369",".668",".290","84","","0.3","","598.7","21538"
"Johan Camargo","PHI","54","172","157","38","8","0","5","19","20","13","37","1","0","0","",".243",".304",".395",".699",".301","86","","0.3","","600.9","14950"
"Josh Naylor","CLE","97","375","341","87","18","1","11","41","43","28","65","3","1","0","",".254",".315",".406",".721",".310","96","","0.3","","584.7","18839"
"Greg Allen","PIT","66","234","206","49","10","1","3","26","18","17","51","8","9","2","",".236",".316",".339",".655",".291","81","","0.3","","597.3","16623"
"Alex Dickerson","ATL","74","263","235","59","12","1","11","34","34","22","58","5","1","0","",".251",".325",".457",".782",".333","105","","0.3","","598.8","12649"
"Luis Rengifo","","34","131","118","28","5","1","3","15","13","10","27","1","3","1","",".236",".303",".369",".672",".293","84","","0.3","","600.3","19858"
"Trevor Larnach","","83","334","295","69","14","1","9","39","34","32","102","5","1","0","",".235",".318",".384",".702",".307","93","","0.3","","581.6","21501"
"Brian Goodwin","","44","166","147","35","8","1","5","20","19","17","43","1","2","1","",".236",".318",".404",".722",".313","96","","0.3","","600.6","12858"
"Michael Hermosillo","CHC","35","127","112","25","5","1","4","15","13","11","39","3","2","1","",".220",".304",".384",".688",".301","85","","0.3","","599.0","16285"
"Adam Eaton","","43","172","151","38","7","1","3","20","15","16","36","3","3","1","",".249",".330",".377",".707",".311","95","","0.3","","999.0","11205"
"Nick Gordon","MIN","47","174","160","38","8","1","3","20","15","11","42","2","5","1","",".237",".290",".358",".648",".282","77","","0.3","","591.6","16337"
"Derek Hill","DET","42","151","138","32","6","2","3","17","13","10","46","1","4","1","",".228",".287",".359",".645",".281","76","","0.3","","999.0","16947"
"Yoshi Tsutsugo","PIT","118","458","398","90","21","1","16","51","55","54","118","3","1","0","",".225",".320",".405",".725",".315","97","","0.3","","462.9","27459"
"Luis Guillorme","NYM","36","120","105","25","4","0","1","12","10","13","21","1","1","0","",".241",".326",".315",".641",".287","84","","0.3","","999.0","16451"
"Colin Moran","CIN","93","357","320","82","14","0","13","43","44","32","84","3","0","0","",".258",".328",".429",".757",".326","98","","0.3","","580.6","16909"
"DJ Stewart","BAL","72","280","240","52","11","1","11","32","31","33","74","5","1","0","",".215",".319",".398",".718",".313","96","","0.3","","600.9","17766"
"Zach McKinstry","","36","121","109","25","6","1","3","15","14","9","30","1","1","0","",".232",".300",".386",".686",".297","87","","0.3","","599.4","19392"
"Andrew Knapp","CIN","50","165","146","31","6","1","4","17","15","16","54","2","1","0","",".211",".293",".340",".633",".279","68","","0.2","","600.9","14942"
"Tyler Freeman","","14","48","44","13","3","0","1","5","5","2","6","1","1","0","",".291",".336",".413",".749",".324","105","","0.2","","999.0","sa3004755"
