"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Nick Sogard","BOS","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".250",".310",".384",".693",".301","85","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa1169919"
"Canaan Smith-Njigba","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".331",".399",".730",".319","99","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004279"
"Renato Núñez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".306",".449",".755",".323","103","","0.0","0.0","","0.0","0.0","0.0","","599.6","14503"
"Austin Listi","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".303",".378",".681",".298","86","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004170"
"Brandon Lewis","LAD","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".267",".434",".701",".296","86","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3010035"
"Brian McCann","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".288",".349",".637",".279","74","","0.0","0.0","","0.0","0.0","0.0","","999.0","4810"
"Erik Kratz","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".281",".354",".635",".277","72","","0.0","0.0","","0.0","0.0","0.0","","999.0","4403"
"Cristian Santana","CIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".262",".292",".430",".723",".308","86","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829387"
"Matt Koperniak","STL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".260",".320",".404",".724",".314","99","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3014834"
"Jacob Wilson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".300",".383",".682",".297","86","","0.0","0.0","","0.0","0.0","0.0","","999.0","13254"
"John Hicks","CHC","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".275",".403",".678",".291","79","","0.0","0.0","","0.0","0.0","0.0","","999.0","12547"
"Jason Lopez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".203",".278",".344",".622",".272","71","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa872552"
"Derek Fisher","MIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".316",".418",".734",".318","101","","0.0","0.0","","0.0","0.0","0.0","","999.0","16192"
"Eddy Alvarez","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".319",".368",".687",".301","91","","0.0","0.0","","0.0","0.0","0.0","","999.0","16959"
"Curtis Mead","TBR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".235",".282",".381",".663",".286","85","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3008392"
"Marty Costes","HOU","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".327",".375",".702",".310","98","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3006783"
"Jodd Carter","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".308",".425",".733",".316","98","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829534"
"Brian Rey","CIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".253",".310",".399",".709",".308","86","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3007307"
"Brice Turang","MIL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".316",".343",".659",".291","79","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3008294"
"Carlos Rincon","NYM","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".289",".435",".724",".309","98","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa917319"
"Devlin Granberg","BOS","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".259",".313",".429",".742",".319","97","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3006671"
"Abraham Almonte","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".337",".402",".738",".324","103","","0.0","0.0","","0.0","0.0","0.0","","999.0","5486"
"Francisco Diaz","NYY","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".301",".301",".602",".273","71","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa505229"
"Brady Policelli","DET","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".272",".352",".624",".272","70","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa918279"
"Wendell Rijo","PHI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".292",".407",".698",".301","85","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa739597"
"Kungkuan Giljegiljaw","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".273",".359",".632",".275","71","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa830277"
"Taylor Motter","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".309",".386",".695",".302","89","","0.0","0.0","","0.0","0.0","0.0","","999.0","12399"
"DJ Peters","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".289",".418",".706",".301","88","","0.0","0.0","","0.0","0.0","0.0","","600.5","19348"
"Chad Wallach","LAA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".195",".277",".339",".616",".271","69","","0.0","0.0","","0.0","0.0","0.0","","999.0","17161"
"C.J. Chatham","ARI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".259",".305",".369",".674",".292","79","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa873984"
"Domingo Leyba","SDP","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".293",".399",".692",".298","89","","0.0","0.0","","0.0","0.0","0.0","","999.0","16404"
"Joe Rizzo","SEA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".287",".375",".662",".286","84","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa917934"
"Bo Naylor","CLE","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".203",".272",".353",".625",".272","70","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3008247"
"Bryan Torres","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".294",".326",".620",".274","71","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa885119"
"Francisco Peña","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".277",".376",".653",".281","75","","0.0","0.0","","0.0","0.0","0.0","","999.0","8298"
"Orelvis Martinez","TOR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".263",".413",".676",".288","77","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3010692"
"Andrew Navigato","DET","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".291",".355",".646",".283","77","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3010703"
"Dane Myers","DET","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".291",".385",".676",".293","84","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa915708"
"David Hensley","HOU","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".296",".370",".666",".289","84","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3006733"
"Francisco Urbaez","CIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".260",".322",".378",".700",".306","85","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3014944"
"Jakson Reetz","MIL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".283",".354",".637",".280","72","","0.0","0.0","","0.0","0.0","0.0","","999.0","17837"
"Ryan Costello","MIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".312",".439",".751",".322","104","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004071"
"Johnny Rizer","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".286",".398",".684",".294","83","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa1169761"
"Jack Suwinski","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".313",".420",".733",".316","97","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa918314"
"Chris Williams","MIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".189",".276",".339",".615",".272","70","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3007028"
"Andrew Young","WSN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".294",".417",".711",".307","89","","0.0","0.0","","0.0","0.0","0.0","","999.0","19521"
"Jake Smolinski","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".231",".302",".409",".712",".308","93","","0.0","0.0","","0.0","0.0","0.0","","999.0","5408"
"Cal Mitchell","PIT","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".259",".308",".430",".738",".316","97","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004258"
"Luis Liberato","SDP","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".290",".384",".675",".292","85","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa737020"
"Corban Joseph","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".255",".313",".387",".699",".304","90","","0.0","0.0","","0.0","0.0","0.0","","999.0","5503"
"Kyle Mottice","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".246",".322",".338",".660",".294","84","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3007655"
"Patrick Dorrian","BAL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".294",".384",".678",".294","83","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3007629"
"Colby Fitch","PHI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".194",".298",".326",".624",".279","71","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa915614"
"Bruce Caldwell","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".290",".364",".653",".286","78","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa658271"
"Brian Dozier","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".310",".374",".684",".300","88","","0.0","0.0","","0.0","0.0","0.0","","999.0","9810"
"Andres Angulo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".279",".341",".619",".272","71","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa872806"
"Armando Alvarez","NYY","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".288",".381",".669",".290","83","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa913279"
"L.T. Tolbert","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".255",".305",".370",".675",".294","84","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa876146"
"JJ Schwarz","OAK","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".203",".275",".324",".599",".265","69","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3008391"
"Drew Ferguson","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".316",".339",".655",".293","83","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa875766"
"Jake Anchia","SEA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".200",".255",".357",".612",".264","69","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3006674"
"Yariel Gonzalez","ATL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".296",".403",".699",".301","84","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa920278"
"Joseph Ortiz","BAL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".295",".352",".647",".284","76","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3009889"
"Justin Yurchak","LAD","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".265",".331",".414",".746",".323","104","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa915590"
"Max Schuemann","OAK","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".291",".328",".619",".274","75","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3007511"
"Hayden Senger","NYM","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".274",".333",".607",".267","71","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3007009"
"Chavez Young","TOR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".299",".377",".676",".295","82","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa918963"
"Davis Wendzel","TEX","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".287",".350",".637",".280","76","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3011890"
"Jack Kruger","TEX","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".278",".334",".612",".269","69","","0.0","0.0","","0.0","0.0","0.0","","999.0","19634"
"Franklin Torres","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".287",".332",".620",".273","70","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa830300"
"Izzy Wilson","BOS","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".304",".427",".732",".315","94","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa877504"
"Eliezer Alfonzo","DET","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".279",".340",".618",".270","68","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3003262"
"Jhailyn Ortiz","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".295",".451",".747",".318","96","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa920180"
"Domingo Santana","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".242",".328",".427",".755",".327","105","","0.0","0.0","","0.0","0.0","0.0","","999.0","10348"
"Alex Isola","MIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".270",".347",".617",".270","68","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa1170516"
"Cameron Cannon","BOS","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".255",".297",".390",".686",".297","82","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3011467"
"Jordan Procyshen","TEX","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".271",".340",".610",".268","68","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829345"
"Carson Taylor","LAD","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".278",".341",".618",".271","70","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3014468"
"Mike Ford","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".306",".435",".741",".317","101","","0.0","0.0","","0.0","0.0","0.0","","999.0","15585"
"Matt Winn","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".202",".274",".348",".621",".272","69","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa858059"
"Isan Díaz","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".224",".311",".382",".693",".299","90","","0.0","0.0","","0.0","0.0","0.0","","600.5","17922"
"Matt Kroon","PHI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".295",".391",".687",".297","83","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3007502"
"Wynston Sawyer","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".212",".282",".337",".619",".273","70","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa548430"
"Tim Federowicz","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".277",".354",".632",".276","72","","0.0","0.0","","0.0","0.0","0.0","","999.0","8609"
"José Devers","MIA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".252",".302",".353",".654",".286","81","","0.0","0.0","","0.0","0.0","0.0","","999.0","20540"
"Will Benson","CLE","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".306",".407",".713",".308","94","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa917927"
"Jacob Amaya","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".289",".353",".641",".281","77","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3005081"
"Michael Reed","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".321",".406",".727",".317","99","","0.0","0.0","","0.0","0.0","0.0","","999.0","13228"
"Andre Lipcius","DET","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".297",".365",".662",".289","81","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3010401"
"Kramer Robertson","STL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".218",".311",".336",".647",".289","83","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa857820"
"Jermaine Palacios","MIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".221",".281",".358",".639",".279","75","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa828886"
"Justin Dean","ATL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".304",".374",".678",".297","82","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3007070"
"Aaron Antonini","STL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".196",".278",".325",".603",".268","69","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3010906"
"Nick Plummer","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".222",".320",".379",".699",".308","95","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa874684"
"Dairon Blanco","KCR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".293",".373",".666",".289","80","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3005386"
"Robbie Podorsky","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".238",".297",".361",".658",".287","82","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004066"
"Griffin Conine","MIA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".281",".443",".724",".307","95","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa876060"
"Luis González","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".304",".394",".698",".304","92","","0.0","0.0","","0.0","0.0","0.0","","999.0","20332"
"Anthony García","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".308",".413",".721",".312","95","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa502038"
"Johan Mieses","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".293",".443",".736",".314","94","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa747574"
"Jhonny Santos","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".287",".387",".674",".291","82","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa828314"
"Nick Yorke","BOS","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".242",".300",".380",".680",".295","81","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3014546"
"Blake Hunt","TBR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".199",".264",".327",".591",".260","67","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004153"
"Jonny Deluca","LAD","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".220",".275",".400",".675",".290","82","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3011644"
"Yasiel Puig","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".241",".310",".422",".733",".316","98","","0.0","0.0","","0.0","0.0","0.0","","600.3","14225"
"Jesus Bastidas","NYY","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".292",".363",".655",".287","81","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa916969"
"Zach Watson","BAL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".227",".271",".406",".677",".290","80","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3011258"
"Delino DeShields","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".321",".330",".650",".292","85","","0.0","0.0","","0.0","0.0","0.0","","999.0","11379"
"Christian Lopes","OAK","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".205",".297",".336",".633",".282","81","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa601044"
"C.J. Hinojosa","SDP","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".247",".294",".372",".666",".288","82","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa658616"
"Bryce Johnson","SFG","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".229",".306",".346",".651",".287","81","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3004753"
"Mark Payton","CHW","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".243",".314",".409",".722",".312","98","","0.0","0.0","","0.0","0.0","0.0","","999.0","16042"
"Mike Tauchman","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".226",".319",".375",".694",".305","91","","0.0","0.0","","0.0","0.0","0.0","","999.0","15274"
"Willie MacIver","COL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".228",".288",".389",".677",".293","68","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3007828"
"Everson Pereira","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".210",".267",".400",".667",".286","80","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3007034"
"Justin Toerner","STL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".299",".352",".651",".288","82","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3006735"
"Chris Shaw","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".232",".297",".450",".747",".318","100","","0.0","0.0","","0.0","0.0","0.0","","999.0","17738"
"Riley Unroe","SEA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".223",".292",".345",".637",".281","80","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa737614"
"Joey Roach","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".216",".276",".339",".615",".270","68","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa918726"
"Alec Burleson","STL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".248",".300",".414",".713",".307","95","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3014466"
"Richie Martin","BAL","28","107","97","22","4","1","2","11","10","7","27","2","3","1","",".223",".285",".339",".624",".274","70","","-0.2","-0.9","","-4.1","0.5","0.0","","999.0","17736"
"David MacKinnon","LAA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".242",".331",".395",".726",".318","101","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa873706"
"Jeter Downs","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".214",".279",".373",".652",".283","73","","0.0","0.0","","0.0","0.0","0.0","","600.2","sa3004615"
"José Briceño","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".206",".259",".365",".624",".270","67","","0.0","0.0","","0.0","0.0","0.0","","999.0","13151"
"Austin Wells","NYY","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".196",".273",".332",".605",".265","66","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3014440"
"Ronald Guzmán","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".306",".411",".717",".310","96","","0.0","0.0","","0.0","0.0","0.0","","999.0","14388"
"Blaine Crim","TEX","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".252",".300",".441",".741",".316","101","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3010170"
"Robert Neustrom","BAL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".239",".306",".410",".716",".309","93","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3006667"
"Spencer Kieboom","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".208",".287",".320",".607",".270","68","","0.0","0.0","","0.0","0.0","0.0","","999.0","13300"
"Brock Holt","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".240",".314",".341",".655",".291","81","","0.0","0.0","","0.0","0.0","0.0","","999.0","9345"
"Weston Wilson","MIL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".236",".306",".454",".760",".324","101","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa873690"
"Daniel Brito","PHI","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".244",".302",".379",".681",".295","81","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa872732"
"Nelson Velazquez","CHC","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".296",".444",".740",".313","93","","0.0","0.0","","0.0","0.0","0.0","","600.7","sa3005129"
"Alexander Palma","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".250",".294",".430",".724",".309","93","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa739541"
"David Masters","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".287",".377",".664",".289","80","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa602586"
"Henry Ramos","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".252",".313",".408",".721",".312","96","","0.0","0.0","","0.0","0.0","0.0","","999.0","11481"
"Kellin Deglan","TOR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".271",".352",".623",".272","66","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa548189"
"Mike Rivera","CLE","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".207",".273",".330",".604",".266","66","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829667"
"Ray-Patrick Didder","MIA","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".215",".293",".327",".620",".275","74","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa736824"
"Joe McCarthy","TEX","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".233",".312",".400",".711",".309","96","","0.0","0.0","","0.0","0.0","0.0","","999.0","18399"
"Martin Cervenka","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".204",".273",".342",".615",".268","67","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa492636"
"Kean Wong","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".245",".301",".365",".665",".289","81","","0.0","0.0","","0.0","0.0","0.0","","999.0","15994"
"Cody Roberts","BAL","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".280",".325",".606",".268","66","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3007869"
"Niko Hulsizer","TBR","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".209",".285",".405",".691",".297","92","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3007053"
"Yohel Pozo","TEX","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".270",".302",".466",".768",".326","107","","0.0","0.0","","0.0","0.0","0.0","","600.8","18848"
"Bryan Arias","HOU","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".211",".274",".377",".651",".282","79","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa3011265"
"Daniel Robertson","MIN","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".217",".314",".333",".646",".289","81","","0.0","0.0","","0.0","0.0","0.0","","999.0","14145"
"J.J. Matijevic","HOU","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".225",".294",".436",".730",".312","100","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa829488"
"Kevan Smith","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".230",".301",".346",".647",".281","75","","0.0","0.0","","0.0","0.0","0.0","","999.0","12284"
"Rangel Ravelo","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".254",".333",".429",".761",".330","107","","0.0","0.0","","0.0","0.0","0.0","","999.0","10839"
"Corey Julks","HOU","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".237",".303",".396",".699",".301","92","","0.0","0.0","","0.0","0.0","0.0","","999.0","sa913274"
"Braden Bishop","","0","1","1","0","0","0","0","0","0","0","0","0","0","0","",".235",".299",".380",".679",".295","90","","0.0","0.0","","0.0","0.0","0.0","","999.0","17806"
