"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","wRC+","-1","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Yoán Moncada","CHW","149","651","559","144","31","2","21","85","79","77","168","8","4","2","",".258",".353",".435",".788",".343","118","","0.0","0.5","","14.7","2.4","3.9","","158.5","17232"
"Seiya Suzuki","CHC","130","545","461","132","25","1","29","80","86","72","101","6","9","5","",".287",".387",".534",".922",".388","142","","-0.9","0.0","","28.1","-7.0","3.9","","999.0","sa3018052"
"George Springer","TOR","147","667","577","149","27","2","36","103","91","72","140","9","8","3","",".258",".346",".498",".845",".359","125","","0.0","-4.4","","20.8","-4.3","3.9","","57.3","12856"
"Ketel Marte","ARI","146","652","582","169","39","3","23","93","83","55","96","7","5","2","",".291",".356",".486",".842",".358","122","","-0.2","-1.7","","18.1","-0.8","3.9","","78.4","13613"
"Brandon Nimmo","NYM","134","619","510","132","27","4","17","90","60","89","131","10","9","4","",".259",".377",".431",".808",".354","127","","0.1","-4.5","","21.6","-3.4","3.9","","333.3","12927"
"Trevor Story","BOS","150","659","585","147","35","4","27","89","90","59","165","9","20","7","",".251",".326",".460",".786",".336","108","","1.6","4.7","","8.5","7.4","3.8","","33.5","12564"
"Bryan Reynolds","PIT","150","669","580","162","33","6","24","92","86","74","133","7","5","2","",".279",".365",".479",".844",".359","125","","-0.3","-4.5","","21.2","-5.1","3.8","","93.0","19326"
"Fernando Tatis Jr.","SDP","83","370","321","91","18","1","26","64","64","40","92","4","14","5","",".283",".367",".590",".956",".397","153","","1.5","-1.7","","26.4","-0.8","3.8","","62.8","19709"
"Trent Grisham","SDP","139","629","539","133","28","3","23","90","70","73","136","7","17","5","",".247",".342",".442",".784",".338","115","","0.7","1.8","","12.4","4.1","3.7","","146.9","18564"
"Paul Goldschmidt","STL","150","675","587","161","31","2","31","98","92","75","142","5","7","3","",".274",".358",".490",".848",".362","131","","-0.1","0.5","","26.2","-12.0","3.7","","47.4","9218"
"Jonathan India","CIN","149","679","577","149","33","2","24","98","73","74","148","17","12","4","",".258",".356",".447",".804",".348","112","","-0.2","0.9","","10.6","3.4","3.6","","92.1","21523"
"Will Smith","LAD","117","484","414","103","20","1","26","68","73","55","101","10","2","1","",".248",".347",".494",".841",".357","126","","-1.1","0.1","","14.7","5.7","3.6","","53.7","19197"
"Joey Gallo","NYY","147","633","519","108","18","1","41","92","101","101","217","7","4","2","",".209",".343",".486",".829",".352","125","","0.8","1.9","","20.0","-5.5","3.6","","181.6","14128"
"Shohei Ohtani","LAA","146","650","548","141","25","5","40","106","99","88","180","5","24","9","",".257",".363",".538",".901",".373","138","","0.2","0.0","","30.4","-16.9","3.6","","8.5","19755"
"Gleyber Torres","NYY","146","614","540","145","28","1","23","80","82","63","115","4","13","6","",".268",".346",".449",".795",".343","118","","-0.3","-2.0","","13.6","1.1","3.6","","161.3","16997"
"Tyler O'Neill","STL","144","624","560","141","24","2","38","86","102","49","188","9","12","5","",".252",".320",".508",".828",".350","122","","1.0","3.4","","18.8","-4.0","3.6","","46.9","15711"
"Josh Donaldson","NYY","131","577","486","121","23","1","30","86","84","78","129","6","1","1","",".249",".358",".486",".844",".361","131","","-1.6","-3.7","","20.1","-4.4","3.5","","181.1","5038"
"Max Muncy","LAD","139","605","499","125","22","1","33","91","95","91","131","8","3","1","",".251",".373",".501",".874",".372","136","","-0.2","-1.1","","27.3","-12.0","3.5","","121.9","13301"
"Austin Riley","ATL","150","638","573","157","30","2","35","90","105","51","159","9","1","1","",".274",".340",".513",".854",".361","123","","-1.5","-6.1","","17.4","-3.6","3.5","","52.4","18360"
"Jake Cronenworth","SDP","143","623","550","147","32","5","17","77","78","58","93","9","6","3","",".268",".345",".438",".783",".336","113","","-0.2","0.9","","10.4","3.3","3.4","","128.3","18036"
"Giancarlo Stanton","NYY","138","597","520","139","24","1","39","91","104","65","162","5","1","1","",".267",".353",".542",".895",".377","142","","-1.8","-0.1","","28.7","-15.1","3.4","","95.4","4949"
"Sean Murphy","OAK","113","450","393","89","20","1","20","52","56","44","110","7","1","1","",".228",".315",".434",".748",".323","108","","-0.5","0.4","","4.0","6.6","3.3","","245.5","19352"
"Tim Anderson","CHW","150","692","645","183","35","2","23","96","76","31","144","5","19","6","",".284",".320",".450",".769",".329","109","","2.5","-8.2","","10.2","-0.7","3.3","","30.0","15172"
"Matt Chapman","TOR","150","631","545","122","25","3","30","82","87","71","188","7","3","2","",".223",".318",".446",".764",".328","104","","0.5","4.8","","3.9","7.3","3.3","","170.6","16505"
"Jorge Polanco","MIN","147","647","583","156","34","2","24","85","83","50","112","6","11","5","",".267",".329",".456",".785",".337","114","","0.5","-4.7","","11.2","-1.9","3.1","","79.3","13152"
"Willy Adames","MIL","143","600","530","134","29","1","24","75","79","60","161","4","7","3","",".253",".330",".446",".776",".334","107","","0.5","-1.4","","5.6","5.7","3.1","","124.9","15986"
"Enrique Hernández","BOS","146","647","567","139","33","3","24","89","74","61","124","9","3","1","",".246",".326",".442",".768",".331","105","","0.5","1.8","","4.7","4.0","3.1","","226.5","10472"
"J.P. Crawford","SEA","150","664","586","150","33","1","13","81","60","63","113","6","8","3","",".257",".333",".385",".718",".315","104","","-0.2","-2.1","","2.7","5.4","3.1","","491.1","15491"
"Oneil Cruz","","113","457","414","115","23","4","22","62","68","34","103","4","11","4","",".278",".336",".513",".848",".359","125","","0.1","0.1","","14.7","0.3","3.0","","218.0","21711"
"Cedric Mullins","BAL","150","677","602","155","31","4","25","94","74","57","128","7","26","8","",".257",".327",".450",".777",".333","109","","1.9","-5.1","","9.6","-2.6","3.0","","33.6","17929"
"Randy Arozarena","TBR","144","638","558","143","29","3","26","88","81","58","169","15","19","8","",".256",".339",".459",".799",".342","122","","0.3","-1.6","","17.8","-9.5","3.0","","66.6","19290"
"Ty France","SEA","143","620","549","149","30","1","23","79","82","46","114","19","1","0","",".272",".346",".458",".804",".346","125","","-1.4","3.2","","17.4","-8.6","3.0","","160.5","17982"
"Christian Yelich","MIL","146","644","539","140","27","2","26","88","87","92","156","6","12","4","",".259",".370",".463",".833",".357","122","","1.4","-1.4","","19.1","-10.6","3.0","","98.7","11477"
"Julio Rodríguez","SEA","126","512","455","124","25","2","19","65","66","43","115","7","10","4","",".273",".342",".461",".803",".344","123","","-0.2","0.0","","14.4","-2.2","3.0","","221.7","sa3005720"
"Harrison Bader","STL","138","528","464","114","23","2","19","66","64","46","127","9","13","4","",".246",".325",".427",".752",".322","104","","1.1","5.9","","3.9","8.2","3.0","","241.6","18030"
"Ke'Bryan Hayes","PIT","139","618","553","146","33","3","17","75","74","53","129","5","10","4","",".263",".331",".429",".760",".327","105","","0.1","2.8","","3.8","5.1","2.9","","151.9","18577"
"Anthony Rizzo","NYY","136","600","513","132","22","2","29","87","87","61","96","19","6","2","",".257",".356",".477",".833",".357","128","","-2.4","1.8","","18.3","-9.5","2.9","","186.8","3473"
"Justin Turner","LAD","134","573","501","137","26","1","22","77","81","54","98","11","2","1","",".274",".355",".462",".817",".353","123","","-1.7","-4.1","","15.1","-5.1","2.9","","148.3","5235"
"Luis Urías","MIL","130","539","465","118","24","2","19","68","64","58","107","9","5","2","",".254",".346",".435",".780",".338","109","","-0.6","2.7","","5.7","5.3","2.9","","211.3","16622"
"Yandy Díaz","TBR","130","561","477","130","24","2","15","71","64","73","93","4","2","1","",".273",".371",".424",".795",".346","126","","-1.0","-1.5","","16.6","-7.2","2.9","","498.5","16578"
"Starling Marte","NYM","134","607","545","147","28","2","18","83","70","40","116","14","30","9","",".269",".333",".429",".762",".329","111","","2.8","1.5","","11.2","-3.0","2.8","","31.8","9241"
"Jesse Winker","SEA","130","576","493","133","27","1","23","81","71","65","102","10","2","1","",".269",".364",".466",".830",".358","133","","-2.2","-3.2","","20.9","-12.3","2.8","","120.3","13590"
"Ramón Laureano","OAK","122","533","472","116","25","2","22","67","67","43","134","12","13","5","",".247",".323",".451",".773",".332","115","","0.8","4.3","","10.3","-0.4","2.8","","258.7","17128"
