"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"J.T. Realmuto","PHI","143","570","509","131","26","3","21","77","78","47","133","9","10","3","",".258",".329",".447",".775",".332","","3.4","1.7","","4.0","","50.2","11739"
"Jose Altuve","HOU","147","637","568","157","29","2","25","99","76","57","93","5","7","3","",".277",".346",".468",".814",".348","","-3.5","0.3","","4.0","","74.8","5417"
"Tyler O'Neill","STL","144","623","559","145","26","2","39","94","101","47","192","11","15","5","",".259",".327",".522",".848",".358","","1.6","1.3","","3.9","","46.9","15711"
"Yoán Moncada","CHW","149","644","559","145","31","3","21","83","76","73","170","7","5","2","",".259",".350",".440",".790",".342","","0.6","0.0","","3.9","","158.5","17232"
"Jonathan India","CIN","149","644","545","142","33","2","22","97","72","72","144","20","12","4","",".260",".364",".449",".813",".353","","1.8","0.1","","3.8","","92.1","21523"
"Bryan Reynolds","PIT","154","665","580","162","33","7","23","92","86","72","135","7","5","3","",".279",".363",".480",".843",".359","","-4.2","-0.5","","3.8","","93.0","19326"
"Ketel Marte","ARI","146","630","568","165","38","5","21","85","76","50","95","5","5","1","",".290",".352",".485",".837",".356","","-0.4","0.1","","3.8","","78.4","13613"
"Shohei Ohtani","LAA","146","630","535","139","25","6","40","100","103","85","179","4","23","9","",".259",".363",".550",".914",".378","","0.0","0.3","","3.8","","8.5","19755"
"Max Muncy","LAD","139","602","500","124","23","2","34","93","103","89","137","9","3","1","",".249",".370",".508",".878",".373","","0.0","-0.2","","3.8","","121.9","13301"
"Brandon Nimmo","NYM","134","581","480","124","25","5","16","80","52","83","125","12","8","4","",".258",".379",".430",".809",".355","","-3.3","-0.7","","3.7","","333.3","12927"
"Trent Grisham","SDP","139","602","519","128","27","4","21","81","69","70","135","6","15","5","",".247",".341",".435",".775",".335","","4.0","0.7","","3.6","","146.9","18564"
"Jake Cronenworth","SDP","143","616","547","149","32","6","17","82","72","54","91","9","7","3","",".272",".345",".445",".790",".339","","1.8","-0.5","","3.6","","128.3","18036"
"Austin Riley","ATL","154","665","597","163","31","2","34","90","105","53","173","9","1","1","",".273",".339",".504",".843",".356","","-4.6","-1.5","","3.6","","52.4","18360"
