"Name","Team","GS","G","IP","W","L","QS","SV","HLD","H","ER","HR","SO","BB","WHIP","K/9","BB/9","ERA","FIP","-1","WAR","RA9-WAR","-1","ADP","playerid"
"Kenley Jansen","ATL","0","64","63.0","3","2","0","27","12","49","25","8","78","24","1.15","11.08","3.40","3.60","3.75","","0.8","0.7","","79.3","3096"
"Paul Blackburn","OAK","13","29","81.0","4","7","3","0","1","84","40","10","53","26","1.37","5.95","2.88","4.51","4.54","","0.8","0.7","","999.0","14739"
"Andrew Kittredge","TBR","0","63","68.0","3","2","0","17","7","62","27","8","72","19","1.18","9.45","2.46","3.61","3.61","","0.8","0.7","","209.9","12828"
"Daniel Lynch","KCR","16","19","88.0","4","7","7","0","0","98","50","13","68","34","1.50","7.00","3.49","5.19","4.84","","0.8","0.3","","576.0","21537"
"Luis Gil","NYY","12","34","85.0","5","5","3","0","1","73","42","13","99","45","1.38","10.38","4.74","4.41","4.64","","0.8","0.8","","555.0","21052"
"Carlos Carrasco","NYM","24","25","131.0","8","10","9","0","0","137","74","24","121","53","1.44","8.26","3.64","5.10","5.07","","0.8","0.4","","277.3","6632"
"Michael King","NYY","3","32","54.0","3","2","1","0","3","49","22","6","53","16","1.22","8.88","2.75","3.77","3.79","","0.8","0.7","","600.6","19853"
"Reid Detmers","LAA","20","20","105.0","6","7","8","0","0","101","57","21","108","42","1.36","9.30","3.59","4.90","5.01","","0.8","0.6","","357.1","27468"
"Matt Wisler","TBR","0","60","63.0","3","2","0","2","14","55","27","10","76","18","1.14","10.81","2.51","3.86","3.81","","0.8","0.4","","599.8","12804"
"Brent Suter","MIL","1","61","69.0","3","2","0","0","16","66","29","9","63","17","1.22","8.23","2.29","3.83","3.87","","0.8","0.6","","588.1","13942"
"David Peterson","NYM","15","17","82.0","5","6","6","0","0","82","42","11","73","36","1.45","8.02","4.02","4.65","4.69","","0.8","0.7","","596.3","20302"
"MacKenzie Gore","SDP","11","12","59.0","4","4","3","0","0","55","29","9","55","23","1.33","8.43","3.50","4.40","4.55","","0.8","0.7","","999.0","sa3005068"
"Andrew Chafin","DET","0","63","59.0","3","2","0","2","10","51","23","5","58","21","1.23","8.91","3.25","3.48","3.56","","0.8","0.7","","594.4","12988"
"Brusdar Graterol","LAD","0","54","55.0","2","1","0","2","16","49","20","4","47","16","1.19","7.76","2.69","3.24","3.49","","0.8","0.8","","572.0","20367"
"Tyler Alexander","DET","14","48","108.0","5","8","4","0","3","118","60","18","86","30","1.38","7.19","2.55","5.04","4.76","","0.8","0.1","","589.9","17735"
"Domingo Acevedo","OAK","0","57","61.0","2","2","0","4","11","50","25","9","72","21","1.17","10.65","3.06","3.73","3.78","","0.8","0.6","","596.1","17092"
"Scott Barlow","KCR","0","67","70.0","3","3","0","22","5","63","31","9","81","28","1.30","10.46","3.58","3.97","3.81","","0.8","0.5","","149.1","14993"
"A.J. Minter","ATL","0","59","55.0","3","1","0","0","13","48","22","6","61","21","1.26","9.98","3.49","3.63","3.55","","0.8","0.6","","600.0","18655"
"Wade Miley","CHC","25","25","140.0","7","11","10","0","0","157","82","22","96","58","1.53","6.17","3.71","5.27","5.19","","0.7","0.2","","540.7","8779"
"Richard Bleier","MIA","0","64","60.0","2","2","0","1","11","60","23","5","45","12","1.22","6.78","1.83","3.50","3.50","","0.7","0.8","","600.7","7803"
"Cody Morris","CLE","6","20","48.0","2","3","2","0","0","43","22","7","53","17","1.26","9.93","3.14","4.11","4.08","","0.7","0.5","","591.5","sa3008653"
"Josh Winder","MIN","8","23","60.0","3","4","2","0","0","58","30","10","54","17","1.26","8.14","2.58","4.46","4.44","","0.7","0.5","","999.0","sa3007993"
"Camilo Doval","SFG","0","60","60.0","3","2","0","10","6","48","23","5","72","32","1.33","10.78","4.82","3.48","3.61","","0.7","0.8","","163.4","21992"
"Ken Giles","SEA","0","46","44.0","2","1","0","11","1","36","17","6","56","14","1.14","11.54","2.82","3.44","3.31","","0.7","0.6","","377.4","12910"
"Zach Thompson","PIT","21","26","129.0","6","10","9","0","1","135","73","22","99","50","1.44","6.95","3.49","5.14","5.13","","0.7","0.4","","562.4","16094"
"Craig Kimbrel","LAD","0","63","60.0","3","1","0","28","3","41","24","9","93","28","1.16","13.87","4.24","3.59","3.68","","0.7","0.7","","159.4","6655"
"Jonathan Loáisiga","NYY","0","62","69.0","3","2","0","6","13","61","28","9","71","21","1.19","9.22","2.72","3.68","3.84","","0.7","0.7","","398.0","19753"
"Pierce Johnson","SDP","0","60","59.0","3","2","0","6","13","49","25","8","74","24","1.26","11.35","3.77","3.85","3.74","","0.7","0.5","","476.6","13435"
"Jovani Moran","MIN","0","38","43.0","2","1","0","0","1","31","15","4","58","21","1.21","12.05","4.39","3.05","3.21","","0.7","0.8","","999.0","20422"
"Caleb Thielbar","MIN","0","61","64.0","3","2","0","1","12","58","28","9","71","21","1.22","9.92","2.89","3.97","3.82","","0.7","0.4","","601.0","10078"
"Collin McHugh","ATL","2","53","63.0","3","2","0","0","14","60","29","9","68","20","1.26","9.60","2.82","4.14","3.98","","0.7","0.3","","552.0","7531"
"Nate Pearson","TOR","9","33","68.0","4","4","2","1","1","58","32","11","72","28","1.27","9.54","3.71","4.20","4.55","","0.7","0.7","","513.7","20160"
"Austin Gomber","COL","26","26","133.0","7","11","8","0","0","148","82","25","116","53","1.52","7.88","3.60","5.55","5.20","","0.7","-0.1","","558.1","16561"
"Rowan Wick","CHC","0","58","58.0","2","2","0","17","8","49","24","6","64","25","1.28","9.93","3.95","3.71","3.75","","0.7","0.6","","314.8","14646"
"Will Smith","ATL","0","66","64.0","3","2","0","6","5","56","28","10","77","22","1.22","10.90","3.04","3.90","3.86","","0.7","0.5","","248.7","8048"
"Matt Barnes","BOS","0","63","60.0","2","2","0","21","8","48","25","8","84","28","1.27","12.55","4.21","3.77","3.66","","0.7","0.5","","204.9","12863"
"Cody Stashak","MIN","0","40","42.0","2","1","0","0","4","37","17","6","49","11","1.12","10.45","2.29","3.69","3.47","","0.7","0.4","","599.9","18088"
"Edward Cabrera","MIA","12","28","76.0","4","6","3","0","1","73","40","11","78","35","1.42","9.23","4.09","4.67","4.64","","0.7","0.4","","536.2","21690"
"Tyler Rogers","SFG","0","70","70.0","3","2","0","5","17","69","30","5","52","22","1.30","6.69","2.79","3.82","3.82","","0.7","0.6","","546.5","15541"
"Zac Lowther","BAL","17","23","97.0","5","8","5","0","0","98","53","16","87","45","1.47","8.05","4.15","4.91","5.01","","0.7","0.5","","999.0","20243"
"James Karinchak","CLE","0","59","57.0","2","2","0","5","8","42","22","7","79","30","1.26","12.46","4.71","3.55","3.74","","0.7","0.7","","540.2","20151"
"Michael Fulmer","DET","0","56","60.0","2","2","0","11","12","57","26","7","57","17","1.23","8.53","2.48","3.83","3.78","","0.7","0.5","","417.5","13218"
"Kirby Snead","OAK","0","38","39.0","1","1","0","0","8","31","12","2","45","16","1.19","10.26","3.72","2.82","3.04","","0.7","0.8","","999.0","19179"
"Héctor Neris","HOU","0","70","70.0","3","2","0","4","16","57","29","10","86","27","1.20","11.05","3.50","3.71","3.97","","0.7","0.6","","499.2","11804"
"George Kirby","SEA","8","8","46.0","3","3","3","0","0","45","22","7","39","14","1.28","7.72","2.69","4.24","4.35","","0.7","0.7","","582.4","sa3011526"
"Matthew Liberatore","STL","10","14","65.0","4","4","4","0","0","66","34","10","52","23","1.36","7.21","3.12","4.62","4.69","","0.6","0.5","","590.7","sa3008163"
"Tyler Anderson","LAD","16","21","95.0","6","5","6","0","1","100","54","19","75","29","1.36","7.11","2.73","5.10","5.20","","0.6","0.3","","561.3","12880"
"Colin Poche","TBR","0","39","40.0","2","1","0","1","1","28","14","5","57","16","1.10","12.75","3.67","3.21","3.41","","0.6","0.6","","600.8","19403"
"James Paxton","BOS","9","9","50.0","3","3","4","0","0","51","27","9","50","18","1.37","8.95","3.28","4.77","4.60","","0.6","0.3","","586.8","11828"
"Tanner Scott","MIA","0","57","55.0","2","2","0","1","10","47","21","4","63","28","1.37","10.31","4.64","3.47","3.54","","0.6","0.7","","597.6","17586"
"Justus Sheffield","SEA","10","34","79.0","4","5","3","0","3","77","39","10","68","35","1.42","7.76","3.99","4.49","4.57","","0.6","0.6","","600.4","17285"
"Erick Fedde","WSN","18","23","110.0","6","8","7","0","1","121","64","19","86","41","1.47","7.07","3.32","5.21","5.04","","0.6","0.2","","593.7","17425"
"Grayson Rodriguez","BAL","9","10","48.0","3","4","3","0","0","46","24","8","49","18","1.32","9.15","3.32","4.37","4.47","","0.6","0.5","","530.8","sa3008130"
"Phil Maton","HOU","0","62","63.0","3","2","0","0","12","56","28","8","74","24","1.26","10.49","3.45","3.94","3.88","","0.6","0.4","","600.9","18064"
"John King","TEX","0","36","42.0","1","1","0","0","1","39","15","3","36","11","1.20","7.62","2.42","3.26","3.36","","0.6","0.6","","999.0","22051"
"Phil Bickford","LAD","0","55","52.0","2","1","0","0","10","43","22","7","62","20","1.20","10.82","3.41","3.76","3.80","","0.6","0.5","","600.4","18519"
"Zack Littell","SFG","0","56","57.0","2","2","0","0","10","54","26","6","56","23","1.34","8.78","3.61","4.04","3.84","","0.6","0.3","","600.8","15823"
"Yonny Chirinos","TBR","9","18","57.0","4","4","4","0","1","57","28","9","46","16","1.28","7.26","2.52","4.40","4.64","","0.6","0.6","","600.9","16401"
"Justin Steele","CHC","11","38","83.0","4","6","3","0","1","81","43","11","79","40","1.47","8.65","4.36","4.73","4.67","","0.6","0.4","","598.2","17312"
"Tucker Davidson","ATL","12","22","65.0","5","4","4","0","1","66","34","9","58","29","1.46","8.11","4.06","4.66","4.68","","0.6","0.4","","574.9","19871"
"Bailey Falter","PHI","3","33","47.0","2","2","1","0","1","46","20","7","47","12","1.22","8.88","2.33","3.89","3.90","","0.6","0.5","","600.3","20070"
"Joely Rodríguez","NYM","0","57","56.0","2","2","0","3","12","51","23","5","56","22","1.32","9.01","3.54","3.65","3.71","","0.6","0.6","","600.9","11487"
"Mark Melancon","ARI","0","63","63.0","2","2","0","23","2","64","27","6","53","21","1.35","7.50","2.98","3.92","3.80","","0.6","0.4","","134.0","4264"
"Art Warren","CIN","0","54","50.0","2","2","0","6","12","41","21","5","64","25","1.33","11.61","4.54","3.75","3.68","","0.6","0.4","","380.9","18251"
"Brett Martin","TEX","0","63","62.0","2","2","0","2","13","66","28","6","47","18","1.34","6.87","2.60","4.06","3.84","","0.6","0.3","","999.0","17369"
"Keegan Akin","BAL","21","24","113.0","7","10","8","0","0","121","67","22","96","45","1.47","7.66","3.57","5.31","5.30","","0.6","0.1","","600.5","19362"
"Lou Trivino","OAK","0","66","67.0","2","2","0","21","3","60","29","7","65","27","1.30","8.71","3.66","3.91","4.02","","0.6","0.5","","220.3","15043"
"Jackson Kowar","KCR","9","24","64.0","3","5","2","0","1","66","34","9","59","27","1.44","8.28","3.70","4.81","4.62","","0.6","0.3","","595.7","21549"
"Reynaldo López","CHW","6","47","75.0","4","4","2","0","13","71","39","13","75","27","1.31","8.98","3.28","4.61","4.69","","0.6","0.2","","570.3","16400"
"Dinelson Lamet","SDP","1","46","58.0","2","2","0","6","7","49","26","8","70","25","1.28","10.91","3.93","4.08","4.13","","0.5","0.4","","373.7","17186"
"Trevor May","NYM","0","66","65.0","3","2","0","3","13","55","29","10","81","27","1.26","11.23","3.69","4.05","4.09","","0.5","0.3","","575.5","6398"
"A.J. Alexy","TEX","14","15","76.0","4","5","6","0","1","71","41","12","66","39","1.45","7.77","4.67","4.84","5.22","","0.5","0.5","","596.3","22343"
"Jorge Alcala","MIN","0","60","64.0","3","2","0","7","13","57","29","8","69","25","1.28","9.68","3.54","4.06","4.07","","0.5","0.4","","519.1","19459"
"Jake Diekman","BOS","0","57","61.0","2","1","0","5","12","48","25","7","78","35","1.36","11.66","5.18","3.78","3.93","","0.5","0.5","","585.8","5003"
"Corey Knebel","PHI","0","62","58.0","2","2","0","27","5","47","24","8","72","25","1.24","11.23","3.89","3.79","3.97","","0.5","0.5","","130.2","15010"
"Alex Vesia","LAD","0","54","55.0","2","1","0","1","14","43","23","9","73","23","1.19","11.99","3.71","3.70","3.89","","0.5","0.5","","599.9","25007"
"Cade Cavalli","WSN","8","8","46.0","2","3","3","0","0","45","24","6","42","21","1.44","8.22","4.05","4.72","4.71","","0.5","0.4","","579.4","sa3014421"
"Génesis Cabrera","STL","1","60","64.0","3","2","0","3","12","53","26","7","68","32","1.32","9.54","4.46","3.72","4.06","","0.5","0.6","","592.6","17490"
"Ryan Thompson","TBR","0","49","48.0","2","2","0","0","1","44","20","6","48","14","1.20","9.08","2.61","3.69","3.72","","0.5","0.5","","999.0","16647"
"Dillon Peters","PIT","13","44","98.0","4","7","4","0","6","104","54","15","79","38","1.45","7.29","3.49","5.00","4.87","","0.5","0.1","","600.8","18790"
"Drew Smith","NYM","0","51","54.0","2","2","0","0","10","46","23","7","53","19","1.21","8.86","3.14","3.79","4.10","","0.5","0.4","","999.0","17755"
"Rich Hill","BOS","22","31","121.0","7","9","7","0","1","125","72","23","108","51","1.45","8.03","3.77","5.38","5.34","","0.5","0.0","","514.5","4806"
"Bruce Zimmermann","BAL","23","24","120.0","6","11","7","0","0","135","73","22","98","49","1.53","7.34","3.64","5.47","5.30","","0.5","-0.1","","598.0","20370"
"Michael Lorenzen","LAA","14","34","96.0","5","6","4","0","1","97","51","15","78","39","1.42","7.31","3.67","4.79","4.96","","0.5","0.5","","559.4","14843"
"Taylor Hearn","TEX","21","28","119.0","7","9","8","0","1","121","69","22","102","53","1.46","7.69","4.02","5.24","5.33","","0.5","0.2","","586.2","18325"
"Jordan Hicks","STL","2","44","55.0","2","2","1","2","8","48","21","4","47","26","1.35","7.71","4.30","3.52","4.01","","0.5","0.8","","496.9","19618"
"Alec Mills","CHC","19","24","115.0","5","9","7","0","1","129","68","20","75","38","1.46","5.88","2.95","5.34","5.28","","0.5","0.1","","595.5","13834"
"Josh Sborz","TEX","0","56","55.0","2","2","0","3","11","47","25","7","63","26","1.33","10.21","4.24","4.01","4.00","","0.5","0.3","","600.9","18323"
"Anthony Bender","MIA","0","63","64.0","2","2","0","12","9","60","29","8","64","22","1.29","9.08","3.13","4.06","4.04","","0.5","0.3","","325.2","19742"
"Mike Mayers","LAA","0","63","63.0","2","2","0","2","13","61","31","11","75","21","1.30","10.59","3.02","4.39","4.12","","0.5","0.0","","596.2","15451"
"Jake McGee","SFG","0","59","57.0","3","2","0","22","11","53","26","8","57","17","1.22","9.00","2.68","4.06","4.06","","0.5","0.3","","217.8","7550"
"José Quijada","LAA","0","48","49.0","2","1","0","0","6","39","20","7","60","21","1.23","11.18","3.90","3.61","3.89","","0.5","0.6","","999.0","19200"
"JT Chargois","TBR","0","61","60.0","3","2","0","1","12","52","26","7","63","25","1.28","9.46","3.77","3.85","3.99","","0.5","0.5","","600.2","13767"
"Josh Taylor","BOS","0","58","52.0","2","2","0","0","1","51","25","6","59","23","1.41","10.20","3.90","4.31","3.87","","0.5","0.1","","600.8","17359"
"Gregory Soto","DET","0","63","65.0","2","2","0","18","5","56","28","5","72","38","1.44","9.90","5.27","3.88","3.93","","0.5","0.5","","180.2","19677"
"Ryan Tepera","LAA","0","64","61.0","3","2","0","2","14","49","26","9","70","22","1.17","10.33","3.27","3.76","4.13","","0.5","0.5","","589.4","10291"
"Daniel Hudson","LAD","0","59","58.0","2","1","0","3","13","47","26","9","73","23","1.22","11.37","3.60","4.02","4.07","","0.5","0.4","","531.1","7146"
"Sammy Long","SFG","4","25","44.0","2","2","1","0","1","41","21","5","42","17","1.34","8.57","3.59","4.26","4.21","","0.5","0.4","","599.4","25379"
"Tony Santillan","CIN","3","49","65.0","3","3","1","5","8","59","32","10","72","30","1.36","9.94","4.12","4.37","4.49","","0.5","0.3","","597.6","19926"
"Austin Adams","SDP","0","52","47.0","2","2","0","1","6","36","20","5","66","28","1.35","12.44","5.29","3.75","3.81","","0.5","0.5","","600.8","13801"
"Austin Warren","LAA","0","49","55.0","2","1","0","0","9","48","23","7","58","22","1.27","9.56","3.60","3.79","3.98","","0.5","0.5","","999.0","24937"
"Cole Sulser","MIA","0","61","64.0","2","2","0","8","10","61","32","9","70","27","1.38","9.86","3.84","4.41","4.20","","0.5","0.1","","391.3","15256"
"Drew Smyly","CHC","20","27","109.0","5","10","7","0","1","116","65","23","101","41","1.44","8.32","3.35","5.39","5.30","","0.5","-0.1","","572.3","11760"
"Seth Lugo","NYM","1","56","62.0","2","2","0","2","17","59","28","10","66","18","1.25","9.68","2.67","4.14","4.11","","0.5","0.3","","596.6","12447"
"Adbert Alzolay","CHC","11","15","61.0","3","5","3","0","1","60","33","11","58","24","1.37","8.56","3.50","4.86","4.99","","0.5","0.3","","544.1","17859"
"José Alvarado","PHI","0","60","56.0","2","1","0","4","13","46","22","4","62","32","1.40","10.05","5.16","3.52","3.87","","0.4","0.7","","595.0","17780"
"Tim Mayza","TOR","0","64","59.0","3","2","0","2","14","56","27","7","60","22","1.33","9.19","3.44","4.07","3.99","","0.4","0.3","","600.2","15042"
"José Leclerc","TEX","0","32","31.0","1","1","0","2","0","21","12","3","42","18","1.26","12.32","5.19","3.42","3.70","","0.4","0.4","","600.1","14524"
"Cionel Pérez","BAL","0","49","50.0","3","2","0","0","10","43","20","4","52","24","1.36","9.33","4.41","3.54","3.82","","0.4","0.6","","999.0","19614"
"Joe Kelly","CHW","0","51","49.0","2","2","0","0","9","43","21","5","54","21","1.30","9.89","3.91","3.77","3.89","","0.4","0.5","","600.7","9761"
"Mychal Givens","CHC","0","59","59.0","2","2","0","8","14","51","27","8","66","24","1.29","10.10","3.73","4.21","4.16","","0.4","0.2","","533.8","10430"
"Ethan Small","MIL","8","9","40.0","3","3","2","0","0","39","21","6","37","18","1.42","8.24","4.01","4.73","4.79","","0.4","0.3","","601.0","sa3011621"
"Connor Brogdon","PHI","0","56","57.0","2","1","0","1","11","50","24","8","56","19","1.20","8.73","3.01","3.84","4.27","","0.4","0.4","","600.9","21205"
"Jarlín García","SFG","0","59","62.0","3","2","0","0","13","58","28","8","59","22","1.28","8.53","3.13","4.13","4.15","","0.4","0.3","","600.9","18282"
"Jeffrey Springs","TBR","0","39","41.0","2","1","0","1","4","34","17","6","54","17","1.23","11.85","3.66","3.84","3.83","","0.4","0.3","","999.0","17677"
"Trevor Williams","NYM","3","36","57.0","2","2","1","0","6","55","27","8","51","18","1.30","8.05","2.93","4.34","4.43","","0.4","0.3","","601.0","16977"
"Dylan Floro","MIA","0","60","59.0","2","2","0","13","8","60","27","7","52","19","1.34","8.04","2.85","4.17","4.01","","0.4","0.2","","261.5","13394"
"Patrick Murphy","WSN","0","44","49.0","2","1","0","0","10","47","22","5","48","22","1.39","8.82","3.96","4.06","3.92","","0.4","0.3","","999.0","19712"
"Ross Stripling","TOR","8","42","77.0","4","4","2","0","9","78","41","14","68","23","1.32","7.97","2.69","4.74","4.81","","0.4","0.2","","591.5","13273"
"Joe Ross","WSN","10","10","53.0","3","4","4","0","0","56","30","9","46","19","1.42","7.75","3.24","5.04","4.94","","0.4","0.2","","600.7","12972"
"Brett Anderson","","13","13","66.0","4","6","4","0","0","77","38","9","37","23","1.50","5.07","3.08","5.09","4.99","","0.4","0.2","","600.9","8223"
"Trevor Richards","TOR","1","50","57.0","2","2","0","2","10","51","27","9","62","20","1.27","9.91","3.26","4.23","4.28","","0.4","0.3","","600.0","19309"
"Joe Jiménez","DET","0","55","53.0","2","2","0","0","6","46","25","8","58","20","1.26","10.00","3.48","4.21","4.18","","0.4","0.2","","999.0","15761"
"Tyler Duffey","MIN","0","65","65.0","3","2","0","4","12","64","31","9","65","22","1.32","9.04","3.00","4.29","4.10","","0.4","0.1","","586.0","13758"
"Drew Steckenrider","SEA","0","63","64.0","2","2","0","10","7","57","29","10","63","22","1.24","8.93","3.07","4.09","4.31","","0.4","0.4","","375.0","18806"
"Scott Effross","CHC","0","38","42.0","1","1","0","1","6","41","19","5","41","13","1.28","8.68","2.83","4.03","3.81","","0.4","0.2","","600.4","18384"
"Joel Payamps","KCR","0","39","45.0","2","2","0","0","1","46","21","5","38","13","1.31","7.65","2.68","4.28","4.10","","0.4","0.2","","999.0","14332"
"Kolby Allard","TEX","4","34","53.0","2","3","1","0","1","53","26","7","46","18","1.33","7.79","3.07","4.30","4.35","","0.4","0.3","","600.4","18694"
"Max Meyer","MIA","6","17","42.0","2","3","1","0","0","41","21","6","38","17","1.38","8.14","3.64","4.43","4.48","","0.4","0.4","","569.6","sa3014430"
"Sam Howard","PIT","0","52","49.0","2","2","0","0","9","40","21","6","57","25","1.32","10.35","4.53","3.82","4.01","","0.4","0.4","","999.0","16265"
"Kendall Graveman","CHW","0","57","60.0","3","2","0","3","15","57","27","8","61","20","1.27","9.07","2.98","4.06","4.07","","0.4","0.3","","548.5","15514"
"Gabe Speier","KCR","0","35","35.0","1","1","0","0","1","33","14","3","35","13","1.31","8.91","3.32","3.70","3.61","","0.4","0.3","","999.0","17170"
"Anthony Misiewicz","SEA","0","54","54.0","2","2","0","0","12","51","24","7","52","17","1.26","8.76","2.76","4.00","3.97","","0.4","0.3","","999.0","18152"
"Garrett Richards","TEX","3","46","61.0","3","3","1","1","9","60","30","8","53","24","1.39","7.79","3.62","4.41","4.48","","0.4","0.3","","598.6","9784"
"David Price","LAD","6","43","72.0","4","3","2","0","7","73","38","12","64","25","1.38","8.00","3.17","4.74","4.74","","0.4","0.1","","587.7","3184"
"Johnny Cueto","","18","18","97.0","6","7","7","0","0","106","59","20","77","34","1.44","7.16","3.13","5.44","5.44","","0.4","0.0","","583.7","6893"
"Pete Fairbanks","TBR","0","33","32.0","1","1","0","3","1","27","13","4","38","13","1.24","10.72","3.65","3.71","3.71","","0.4","0.3","","562.7","17998"
"Zach Davies","ARI","21","22","108.0","6","10","7","0","0","123","68","17","72","49","1.58","6.00","4.04","5.62","5.39","","0.4","-0.3","","593.3","13183"
"Emilio Pagán","SDP","0","60","59.0","3","2","0","7","13","51","28","11","65","17","1.16","9.89","2.65","4.21","4.51","","0.4","0.2","","542.6","14771"
"Amir Garrett","KCR","0","64","58.0","3","2","0","4","12","51","26","7","64","26","1.33","9.95","4.04","3.96","4.12","","0.4","0.4","","591.0","14375"
"Alex Reyes","STL","0","31","32.0","1","1","0","3","1","24","12","3","38","18","1.33","10.83","5.16","3.55","3.86","","0.4","0.4","","515.1","15015"
"Nick Martínez","SDP","13","33","92.0","4","6","4","0","1","96","53","17","77","37","1.45","7.55","3.64","5.22","5.22","","0.4","-0.1","","511.4","12730"
"Joe Barlow","TEX","0","58","57.0","2","2","0","13","6","41","24","7","70","37","1.35","10.95","5.75","3.78","4.35","","0.4","0.5","","213.9","22296"
"J.P. Feyereisen","TBR","0","60","61.0","3","2","0","4","10","48","27","8","62","30","1.29","9.17","4.48","3.94","4.52","","0.4","0.4","","596.5","16610"
"Ryan Helsley","STL","0","51","52.0","2","2","0","1","15","45","23","6","50","25","1.34","8.66","4.25","3.98","4.27","","0.4","0.3","","600.9","18138"
"Brent Honeywell Jr.","OAK","3","22","32.0","2","2","1","0","1","30","15","5","30","9","1.22","8.28","2.58","4.15","4.31","","0.4","0.3","","598.2","16466"
"Mike Foltynewicz","","15","17","83.0","5","7","6","0","0","89","49","16","61","29","1.43","6.67","3.11","5.32","5.37","","0.4","0.1","","601.0","10811"
"Alex Lange","DET","0","45","49.0","2","2","0","0","11","45","24","5","49","23","1.40","9.08","4.23","4.34","4.17","","0.4","0.1","","999.0","19883"
"Joe Mantiply","ARI","0","53","48.0","2","2","0","0","9","49","23","6","44","17","1.37","8.23","3.17","4.35","4.03","","0.4","0.1","","999.0","14857"
"J.C. Mejía","MIL","1","30","37.0","2","1","0","0","1","34","16","4","35","13","1.26","8.47","3.17","3.90","4.05","","0.4","0.4","","999.0","20617"
"Lucas Sims","CIN","0","52","55.0","2","2","0","14","6","45","26","10","76","27","1.31","12.45","4.45","4.25","4.35","","0.4","0.2","","304.8","13470"
"Nick Margevicius","SEA","3","14","32.0","1","2","1","0","1","31","15","5","29","9","1.26","8.15","2.66","4.27","4.35","","0.3","0.3","","999.0","20395"
"Griffin Canning","LAA","6","17","45.0","2","3","2","0","1","42","23","8","45","18","1.34","8.91","3.65","4.62","4.81","","0.3","0.3","","599.8","19867"
"Sean Newcomb","ATL","0","37","39.0","2","1","0","0","4","34","17","4","44","20","1.37","10.15","4.56","3.82","3.89","","0.3","0.3","","600.2","16943"
"Adam Ottavino","NYM","0","64","61.0","3","2","0","2","14","48","28","8","72","33","1.34","10.68","4.93","4.09","4.24","","0.3","0.3","","598.2","1247"
"Adam Oller","OAK","10","17","59.0","3","5","3","0","0","59","32","10","49","24","1.42","7.48","3.63","4.96","5.06","","0.3","0.2","","999.0","sa913099"
"D.L. Hall","BAL","6","7","35.0","2","3","2","0","0","33","18","5","38","19","1.47","9.73","4.93","4.56","4.71","","0.3","0.3","","600.3","sa3005282"
"Erik Swanson","SEA","1","41","44.0","2","2","0","0","6","39","20","7","45","14","1.21","9.38","2.78","4.16","4.36","","0.3","0.2","","600.7","16587"
"Adam Cimber","TOR","0","63","61.0","3","2","0","1","14","61","28","8","48","17","1.26","6.99","2.43","4.16","4.31","","0.3","0.2","","600.8","15288"
"Tony Watson","","0","50","49.0","3","3","0","0","0","46","21","7","42","14","1.22","7.66","2.58","3.87","4.18","","0.3","0.4","","999.0","3132"
"J.A. Happ","","18","18","98.0","6","8","7","0","0","105","59","20","77","37","1.44","7.06","3.37","5.40","5.51","","0.3","0.1","","598.1","7410"
"Keegan Thompson","CHC","5","35","60.0","2","3","1","0","1","58","31","10","54","23","1.36","8.21","3.49","4.65","4.76","","0.3","0.2","","999.0","19795"
"Trevor Rosenthal","","0","39","39.0","2","2","0","0","0","31","17","4","51","23","1.41","11.96","5.43","3.88","3.93","","0.3","0.3","","582.5","10745"
"Craig Stammen","SDP","0","58","63.0","3","2","0","1","13","64","29","9","57","14","1.24","8.11","1.99","4.19","4.11","","0.3","0.2","","600.2","7274"
"Carlos Martínez","SFG","4","29","55.0","2","3","1","1","1","56","28","6","42","24","1.45","6.80","3.86","4.62","4.60","","0.3","0.1","","598.9","11682"
"Miguel Yajure","PIT","2","17","31.0","1","2","1","0","1","30","14","4","26","10","1.27","7.64","2.85","4.12","4.17","","0.3","0.3","","599.4","21111"
"Aaron Loup","LAA","0","63","57.0","2","2","0","1","12","54","26","7","59","23","1.34","9.22","3.60","4.05","4.07","","0.3","0.3","","597.7","10343"
"Sam Moll","OAK","0","46","49.0","2","2","0","0","11","43","21","5","47","20","1.31","8.76","3.74","3.81","4.04","","0.3","0.5","","999.0","14874"
"Peter Lambert","COL","13","18","69.0","4","6","5","0","1","83","42","11","42","20","1.49","5.48","2.57","5.55","5.13","","0.3","-0.2","","600.8","17969"
"Clay Holmes","NYY","0","58","62.0","3","2","0","1","12","52","26","5","68","35","1.42","9.86","5.17","3.79","4.10","","0.3","0.6","","600.5","13649"
"Jeurys Familia","PHI","0","58","57.0","2","1","0","1","16","51","25","6","60","28","1.39","9.50","4.39","4.00","4.14","","0.3","0.4","","597.8","5114"
"Trevor Gott","MIL","0","44","42.0","2","1","0","0","6","39","19","5","44","17","1.31","9.43","3.54","4.12","4.07","","0.3","0.2","","599.3","15046"
"Steven Okert","MIA","0","50","50.0","2","2","0","0","7","46","24","8","59","18","1.28","10.48","3.26","4.28","4.25","","0.3","0.1","","999.0","13580"
"Dan Straily","ARI","15","16","86.0","4","7","6","0","0","92","53","17","72","35","1.48","7.57","3.65","5.58","5.48","","0.3","-0.1","","597.7","9460"
"Mitch White","LAD","4","24","39.0","2","2","1","0","1","37","19","6","38","15","1.34","8.77","3.49","4.44","4.45","","0.3","0.2","","582.9","19225"
