"Name","Team","W","L","SV","HLD","ERA","GS","G","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","ADP","playerid"
"Hector Rondon","","1","1","0","1","4.59","0","20","20.0","20","10","3","20","7","1.36","8.88","3.31","4.49","0.0","999.0","2391"
"Drew Smith","NYM","2","2","0","1","4.30","0","26","26.0","25","12","4","24","10","1.36","8.28","3.59","4.50","0.0","999.0","17755"
"Nick Sandlin","CLE","1","1","0","1","4.50","0","32","32.0","28","16","5","38","16","1.38","10.65","4.44","4.59","0.0","999.0","sa3006820"
"Enoli Paredes","HOU","4","4","2","13","4.47","0","61","61.0","53","30","9","70","34","1.42","10.33","5.01","4.70","0.0","596.3","20447"
"Aaron Fletcher","","1","1","0","1","4.21","0","10","10.0","9","5","1","10","5","1.41","8.89","4.21","4.50","0.0","999.0","22052"
"Ian Krol","DET","1","2","0","1","4.64","0","28","28.0","27","14","4","27","13","1.45","8.62","4.31","4.75","0.0","999.0","10066"
"Chasen Shreve","PIT","1","2","0","1","4.34","0","28","28.0","25","14","4","32","14","1.39","10.41","4.51","4.39","0.0","999.0","10855"
"Hunter Harvey","BAL","2","2","8","0","4.75","0","38","38.0","37","20","7","36","15","1.38","8.58","3.52","4.86","0.0","497.3","15507"
"Humberto Mejia","ARI","1","1","0","1","5.12","2","7","11.0","12","7","2","10","5","1.43","7.88","3.67","5.17","0.0","999.0","20739"
"Noe Ramirez","","1","1","0","1","4.58","0","20","20.0","19","10","4","21","8","1.33","9.37","3.40","4.81","0.0","599.3","12800"
"Chad Sobotka","ATL","1","1","0","1","4.47","0","25","25.0","22","12","3","28","14","1.45","10.18","4.95","4.35","0.0","999.0","17470"
"Shawn Armstrong","BAL","2","2","1","6","4.65","0","50","50.0","47","26","8","51","22","1.38","9.17","4.05","4.89","0.0","599.7","12857"
"Trevor Gott","SFG","1","1","0","1","4.15","0","10","10.0","9","5","1","10","4","1.34","9.21","3.77","4.28","0.0","600.4","15046"
"Jeff Brigham","MIA","0","0","0","1","4.11","0","8","8.0","7","4","1","8","3","1.33","9.25","3.79","4.28","0.0","999.0","16631"
"Stephen Tarpley","NYM","1","1","0","1","4.11","0","14","14.0","13","6","2","15","8","1.44","9.50","4.86","4.33","0.0","999.0","15859"
"Jay Jackson","SFG","0","0","0","1","3.82","0","6","6.0","5","3","1","7","3","1.28","10.61","3.77","3.91","0.0","999.0","7432"
"Zack Littell","SFG","1","1","0","1","4.01","0","14","14.0","13","6","2","14","5","1.33","8.82","3.50","4.10","0.0","999.0","15823"
"Shun Yamaguchi","SFG","1","1","0","1","4.19","0","12","12.0","11","6","2","13","5","1.34","10.07","3.90","4.23","0.0","999.0","27460"
"Isaac Mattson","","2","2","0","1","4.82","0","32","32.0","31","17","5","29","15","1.45","8.23","4.32","4.97","0.0","999.0","sa915667"
"Thomas Hatch","TOR","1","1","0","1","4.83","0","15","15.0","15","8","2","14","6","1.43","8.15","3.84","4.84","0.0","999.0","19264"
"Conner Menez","","1","1","0","1","4.27","0","12","12.0","11","6","2","13","6","1.38","10.07","4.36","4.40","0.0","999.0","19199"
"Edgar Santana","","1","1","0","1","4.51","0","25","25.0","26","13","3","21","9","1.38","7.57","3.13","4.53","0.0","999.0","17355"
"Taylor Williams","SDP","1","1","0","1","4.18","0","14","14.0","13","7","2","14","7","1.40","9.23","4.21","4.32","0.0","601.0","14899"
"Heath Hembree","CIN","1","1","0","1","4.69","0","16","16.0","15","8","3","19","7","1.36","10.41","3.77","4.66","0.0","999.0","11632"
