"Name","Team","W","L","SV","HLD","ERA","GS","G","IP","H","ER","HR","SO","BB","WHIP","K/9","BB/9","FIP","WAR","ADP","playerid"
"Samuel Long","SFG","0","0","0","1","5.14","0","3","3.0","3","2","0","2","2","1.58","7.01","4.91","5.24","0.0","999.0","sa918455"
"Alexander Vizcaino","NYY","0","0","0","1","5.78","0","3","3.0","3","2","1","2","2","1.62","7.34","4.82","5.87","0.0","999.0","sa920272"
"Dakota Bacus","","0","0","0","1","5.06","0","8","8.0","8","4","1","7","4","1.55","7.87","4.62","5.11","0.0","999.0","14545"
"Jake Newberry","","1","1","0","1","4.79","0","25","25.0","25","13","4","23","13","1.49","8.14","4.51","4.92","0.0","999.0","15136"
"Vladimir Gutierrez","CIN","1","1","0","1","5.13","0","12","12.0","12","7","2","11","4","1.39","8.61","3.16","5.09","0.0","999.0","sa952977"
"Kyle Muller","ATL","1","1","0","1","4.74","0","12","12.0","11","6","2","12","7","1.55","9.23","5.53","4.87","0.0","999.0","sa917931"
"Wily Peralta","DET","0","1","0","1","5.14","0","10","10.0","11","6","2","8","5","1.55","7.49","4.47","5.26","0.0","999.0","7738"
"Albert Abreu","NYY","0","0","0","1","5.76","0","3","3.0","3","2","1","3","2","1.67","8.10","5.59","5.98","0.0","999.0","17485"
"Mason Thompson","SDP","0","0","0","1","5.41","0","3","3.0","3","2","0","3","2","1.68","7.61","6.08","5.71","0.0","999.0","sa917969"
"Brett de Geus","TEX","3","3","1","5","4.95","0","44","44.0","45","24","6","36","24","1.57","7.40","4.86","5.08","0.0","999.0","sa3006813"
"Travis Bergen","TOR","1","1","0","1","4.87","0","12","12.0","12","6","2","12","7","1.52","9.19","5.08","5.20","0.0","999.0","18581"
"Nivaldo Rodriguez","HOU","0","0","0","1","4.79","0","8","8.0","8","4","1","7","4","1.44","7.90","3.96","5.03","0.0","999.0","22449"
"Edwar Colina","MIN","0","0","0","1","5.15","0","8","8.0","8","5","1","8","4","1.51","8.48","4.56","5.16","0.0","999.0","20589"
"Kyle Barraclough","NYY","1","1","0","1","5.00","0","12","12.0","12","7","2","12","7","1.52","8.92","4.94","5.24","0.0","999.0","13713"
"Jose Mujica","COL","0","0","0","1","6.22","0","4","4.0","5","3","1","3","2","1.65","5.98","3.70","5.89","0.0","999.0","17821"
"James Greene","BAL","0","0","0","1","5.79","0","4","4.0","4","3","1","3","3","1.71","6.80","5.90","6.09","0.0","999.0","sa737829"
"James Kaprielian","OAK","0","1","0","1","4.79","0","10","10.0","10","5","2","9","4","1.36","8.52","3.22","4.96","0.0","600.4","18331"
"Kodi Whitley","","2","2","0","4","4.41","0","44","44.0","42","22","6","41","19","1.39","8.46","3.84","4.58","0.0","999.0","19731"
"Joey Gerber","","2","2","0","1","4.54","0","34","34.0","32","17","5","33","17","1.44","8.65","4.41","4.80","0.0","999.0","24591"
"Edgar Garcia","","0","0","0","1","5.31","0","7","7.0","7","4","1","8","4","1.52","9.83","5.10","5.38","0.0","999.0","19276"
"Angel Perdomo","MIL","3","3","0","6","4.47","0","52","52.0","43","26","7","65","35","1.51","11.18","6.06","4.64","0.0","999.0","17759"
"Alexander Wells","BAL","0","0","0","1","5.63","0","6","6.0","7","4","1","4","2","1.49","6.15","3.06","5.88","0.0","999.0","sa919319"
"Luis Romero","OAK","1","1","0","1","4.65","0","22","22.0","21","11","3","20","10","1.43","8.38","4.17","4.85","0.0","999.0","sa3003109"
"Erasmo Ramirez","","1","1","0","1","5.27","0","20","20.0","22","12","4","14","6","1.42","6.24","2.75","5.35","0.0","600.6","10314"
"Scott Blewett","","0","0","0","1","5.57","0","5","5.0","6","3","1","3","2","1.57","6.28","3.95","5.61","0.0","999.0","16427"
"Jesus Tinoco","COL","0","0","0","1","5.91","0","7","7.0","8","5","1","6","4","1.68","7.63","4.86","5.62","0.0","999.0","16300"
"Sam Hentges","CLE","2","2","0","1","5.64","6","11","34.0","36","21","6","28","18","1.61","7.37","4.86","5.79","0.0","999.0","sa828881"
"Dakota Chalmers","MIN","0","0","0","1","6.05","0","4","4.0","4","3","1","3","3","1.79","7.82","7.09","6.15","0.0","999.0","sa875017"
"Wandisson Charles","OAK","0","0","0","1","5.30","0","6","6.0","5","4","1","7","5","1.77","10.50","8.21","5.55","0.0","999.0","sa874818"
"Zachery Pop","MIA","2","3","0","4","4.42","0","42","42.0","41","21","6","39","18","1.42","8.26","3.95","4.62","0.0","999.0","sa829370"
"Tom Eshelman","BAL","1","1","0","1","5.35","0","14","14.0","16","8","3","9","4","1.42","6.11","2.59","5.51","0.0","999.0","18361"
"Brandon Waddell","MIN","1","2","0","1","5.07","0","25","25.0","25","14","4","22","13","1.53","7.97","4.68","5.22","0.0","999.0","18347"
"Carlos Sanabria","KCR","0","0","0","1","5.56","0","6","6.0","6","4","1","6","4","1.68","8.68","6.30","5.64","0.0","999.0","16634"
"Cameron Hill","CLE","1","1","0","1","5.02","0","18","18.0","18","10","3","19","8","1.41","9.51","3.92","4.98","0.0","999.0","16840"
"Anthony Castro","TOR","1","1","0","1","5.14","0","14","14.0","14","8","2","12","8","1.59","7.91","5.25","5.23","0.0","999.0","19789"
"Jose Ruiz","CHW","1","1","0","1","4.77","0","23","23.0","22","12","4","23","12","1.49","9.06","4.78","5.01","0.0","999.0","14552"
"Tony Watson","LAA","2","3","0","6","4.70","0","44","44.0","46","23","8","35","14","1.36","7.08","2.83","5.00","0.0","599.6","3132"
"Tyler Bashlor","","1","1","0","1","5.07","0","12","12.0","12","7","2","11","6","1.49","8.37","4.66","5.11","0.0","999.0","15203"
"Samuel McWilliams","NYM","1","1","0","1","4.70","0","21","21.0","21","11","3","18","8","1.40","7.52","3.42","4.91","0.0","999.0","sa829124"
"Dan Winkler","CHC","2","2","0","6","4.73","0","44","44.0","41","23","6","45","24","1.49","9.23","4.98","4.93","0.0","601.0","12237"
"Rex Brothers","CHC","2","3","0","4","4.56","0","40","40.0","32","20","5","53","30","1.55","11.97","6.74","4.68","0.0","999.0","9794"
"Jordan Holloway","","1","1","0","1","4.71","0","14","14.0","13","7","2","13","9","1.61","8.55","6.06","4.93","0.0","999.0","20631"
"Bryan Abreu","HOU","1","1","0","1","4.52","0","30","30.0","26","15","4","35","19","1.51","10.37","5.83","4.82","0.0","600.9","16609"
"Carson Fulmer","CIN","1","2","0","1","5.25","0","27","27.0","26","16","4","27","16","1.57","8.93","5.37","5.35","0.0","999.0","18311"
"Neftali Feliz","PHI","1","1","0","1","5.36","0","14","14.0","14","8","2","14","8","1.57","8.77","5.28","5.45","0.0","999.0","18"
"Caleb Baragar","SFG","1","2","0","1","4.81","0","28","28.0","27","15","5","26","12","1.40","8.25","3.76","4.89","0.0","999.0","19231"
"Jordan Weems","OAK","1","1","0","1","5.06","0","15","15.0","14","8","2","15","9","1.57","9.04","5.62","5.19","0.0","600.9","13190"
"Ryan Sherriff","TBR","2","2","0","1","4.51","0","34","34.0","35","17","5","25","12","1.40","6.54","3.23","4.78","0.0","999.0","12249"
"Phillips Valdez","BOS","2","2","0","1","5.00","0","40","40.0","43","22","6","34","18","1.53","7.68","4.01","4.87","0.0","999.0","15605"
"AJ Ramos","","1","1","0","1","5.77","0","10","10.0","10","6","2","10","6","1.64","8.95","5.58","5.68","0.0","999.0","8350"
"Trevor Stephan","CLE","3","3","0","6","4.97","0","46","46.0","47","25","8","45","19","1.43","8.81","3.72","4.94","0.0","999.0","sa918441"
"Camilo Doval","","1","1","0","1","5.12","0","10","10.0","9","6","1","10","8","1.70","8.77","6.93","5.32","0.0","999.0","sa916835"
"Kyle Funkhouser","DET","1","1","0","1","5.35","0","16","16.0","17","10","3","14","9","1.60","7.85","5.00","5.43","0.0","999.0","19456"
"Derek Holland","DET","2","3","1","8","5.05","0","50","50.0","49","28","9","50","22","1.43","8.99","4.01","5.09","0.0","597.1","4141"
"William Vest","SEA","2","3","0","8","4.67","0","42","42.0","42","22","6","37","18","1.44","7.90","3.96","4.89","0.0","999.0","sa3004101"
"Johan Quezada","","1","1","0","1","5.10","0","12","12.0","12","7","2","10","7","1.64","7.40","5.60","5.31","0.0","999.0","20643"
"Jacob Bukauskas","","2","2","0","6","4.78","0","46","46.0","43","24","6","46","29","1.56","9.09","5.61","4.86","0.0","999.0","sa829263"
"Jason Foley","DET","1","1","0","1","5.61","0","14","14.0","15","9","2","10","8","1.66","6.23","5.00","5.67","0.0","999.0","sa915677"
"Domingo Tapia","SEA","1","2","0","1","4.70","0","28","28.0","28","15","4","24","13","1.47","7.71","4.28","5.01","0.0","999.0","12178"
"Aaron Ashby","MIL","1","1","0","1","4.73","0","22","22.0","21","12","3","20","14","1.59","8.27","5.64","5.15","0.0","999.0","sa3007225"
"Lucas Gilbreath","COL","1","1","0","1","6.08","0","14","14.0","16","9","3","11","8","1.73","7.25","5.24","5.89","0.0","999.0","sa829720"
"Tyler Wells","BAL","2","2","0","1","5.27","0","34","34.0","35","20","7","31","14","1.44","8.12","3.74","5.45","0.0","999.0","sa918346"
"Javy Guerra","WSN","2","2","0","6","4.93","0","42","42.0","44","23","7","36","16","1.42","7.73","3.38","5.00","0.0","999.0","7407"
"Ross Detwiler","MIA","2","3","0","6","4.65","0","48","48.0","51","25","7","36","17","1.41","6.76","3.12","4.78","0.0","999.0","2859"
"Paul Campbell","MIA","2","2","0","1","4.80","0","36","36.0","38","19","6","27","12","1.41","6.80","3.11","4.87","0.0","999.0","sa3005052"
"Kyle Crick","PIT","3","4","2","11","4.82","0","59","59.0","56","32","8","58","33","1.50","8.85","5.00","4.94","0.0","572.3","13182"
"Kyle Nelson","CLE","3","3","0","4","4.68","0","42","42.0","40","22","8","46","16","1.33","9.93","3.49","4.87","0.0","999.0","20515"
"Joseph Sceroler","BAL","1","1","0","1","5.53","0","24","24.0","26","15","5","19","12","1.55","7.00","4.33","5.71","0.0","999.0","sa915799"
"Beau Burrows","DET","1","2","0","1","5.48","0","25","25.0","27","15","5","20","11","1.54","7.26","4.09","5.65","0.0","999.0","18873"
"Phil Bickford","MIL","1","1","0","1","5.08","0","24","24.0","23","14","4","23","13","1.53","8.68","4.95","5.21","-0.1","999.0","18519"
"Josh Tomlin","ATL","3","2","0","12","4.95","0","54","54.0","60","30","11","45","8","1.27","7.42","1.42","4.81","-0.1","600.7","9388"
"Junior Guerra","LAA","3","3","0","12","4.62","0","56","56.0","53","29","9","54","26","1.41","8.73","4.15","4.89","-0.1","999.0","5702"
"Aaron Slegers","LAA","2","2","0","3","4.94","0","36","36.0","39","20","7","25","9","1.35","6.31","2.29","5.09","-0.1","999.0","15231"
"Casey Sadler","SEA","3","3","0","12","4.45","0","58","58.0","57","29","9","52","21","1.34","8.00","3.24","4.79","-0.1","999.0","11209"
"Justin Lawrence","COL","1","2","0","1","6.00","0","26","26.0","28","17","3","23","20","1.83","7.86","6.79","5.65","-0.1","999.0","sa875567"
"Andre Scrubb","HOU","2","2","0","1","4.81","0","35","35.0","32","19","5","36","24","1.59","9.26","6.05","5.05","-0.1","999.0","20329"
"Patrick Weigel","ATL","1","1","0","1","5.14","0","22","22.0","22","13","4","21","12","1.55","8.44","4.92","5.27","-0.1","999.0","17792"
"Jacob Brentz","KCR","2","3","0","6","4.81","0","48","48.0","46","26","6","44","31","1.60","8.33","5.73","5.09","-0.1","999.0","sa737925"
"Brandon Finnegan","CIN","1","2","0","1","5.40","0","28","28.0","28","17","5","27","16","1.58","8.83","5.11","5.47","-0.1","999.0","16208"
"Anthony Bender","MIA","1","2","0","1","4.93","0","28","28.0","30","15","4","21","13","1.50","6.67","4.05","5.15","-0.1","999.0","sa918438"
"Bryan Shaw","CLE","3","3","0","12","4.86","0","56","56.0","57","30","8","49","26","1.48","7.85","4.10","4.82","-0.1","999.0","8110"
"Blake Taylor","HOU","3","3","3","16","4.55","0","64","64.0","60","32","7","61","38","1.54","8.52","5.39","4.82","-0.1","600.7","16418"
"Yency Almonte","COL","3","3","1","12","5.36","0","58","58.0","63","35","9","54","29","1.57","8.33","4.46","5.13","-0.1","600.8","15068"
"Jose Soriano","PIT","1","2","0","1","6.00","0","18","18.0","18","12","3","15","16","1.89","7.70","7.87","6.22","-0.1","999.0","sa916702"
"Jason Adam","CHC","4","4","0","13","4.60","0","58","58.0","51","30","10","68","31","1.41","10.57","4.78","4.80","-0.1","599.6","11861"
"Jorge Guzman","MIA","1","2","0","1","5.45","2","20","25.0","24","15","4","24","17","1.65","8.41","6.13","5.67","-0.1","999.0","17505"
"Brad Boxberger","MIL","3","3","0","3","4.82","0","44","44.0","39","24","8","52","26","1.49","10.60","5.33","5.01","-0.1","999.0","10133"
"Jarlin Garcia","SFG","3","3","2","11","4.53","0","55","55.0","54","28","8","46","21","1.37","7.57","3.41","4.71","-0.1","600.6","18282"
"Wes Benjamin","TEX","2","3","0","9","5.42","0","50","50.0","55","30","10","41","19","1.49","7.35","3.50","5.44","-0.1","999.0","19243"
"Ryan Castellani","COL","1","2","0","0","7.12","5","5","24.0","29","19","5","19","16","1.84","6.91","5.79","6.68","-0.1","999.0","16377"
"Matt Foster","CHW","4","4","0","12","4.73","0","56","56.0","56","29","9","49","24","1.43","7.94","3.92","5.04","-0.1","999.0","19647"
"Jordan Sheffield","COL","2","3","0","1","6.55","0","37","37.0","40","27","7","39","29","1.86","9.38","7.14","6.20","-0.1","999.0","sa738245"
"Anthony Gose","CLE","0","1","0","0","8.88","0","10","10.0","11","10","3","10","15","2.56","9.28","13.32","9.36","-0.1","999.0","5097"
"Luis Oviedo","PIT","2","3","0","1","5.95","0","33","33.0","36","22","5","24","22","1.75","6.45","5.94","6.06","-0.2","999.0","sa917344"
"Tyler Kinley","COL","3","3","1","11","5.51","0","56","56.0","55","34","9","62","37","1.64","9.89","5.92","5.27","-0.2","999.0","18297"
