"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"Ketel Marte","ARI","149","644","580","168","38","5","21","86","77","52","97","6","5","1","",".290",".352",".483",".834",".355","","-0.5","0.0","","3.8","","78.3","13613"
"Shohei Ohtani","LAA","147","637","541","140","25","6","40","100","103","86","181","4","23","9","",".259",".363",".549",".913",".378","","0.0","0.3","","3.8","","9.6","19755"
"J.T. Realmuto","PHI","151","609","544","140","28","3","23","79","86","50","142","10","11","3","",".258",".329",".445",".774",".331","","3.1","1.7","","3.8","","50.0","11739"
"Yoán Moncada","CHW","149","644","559","145","31","3","21","83","76","73","171","7","5","2","",".259",".350",".439",".789",".342","","0.6","0.0","","3.8","","158.5","17232"
"Tyler O'Neill","STL","146","630","566","146","27","2","38","93","100","48","194","12","15","5","",".258",".326",".514",".840",".355","","1.6","1.3","","3.8","","46.8","15711"
"Fernando Tatis Jr.","SDP","79","343","299","86","17","1","25","61","63","38","85","3","16","4","",".289",".372",".606",".978",".405","","-0.6","2.0","","3.7","","2.1","19709"
"Jonathan India","CIN","149","644","546","142","33","2","21","96","71","71","143","19","12","4","",".260",".363",".445",".807",".351","","1.8","0.1","","3.7","","88.4","21523"
"Bryan Reynolds","PIT","154","665","581","162","33","6","23","89","87","72","135","7","5","3","",".279",".363",".475",".837",".357","","-3.9","-0.5","","3.6","","94.0","19326"
"Jorge Polanco","MIN","149","644","584","160","34","3","25","88","86","48","112","5","11","5","",".273",".331",".473",".804",".343","","-5.8","0.0","","3.6","","76.4","13152"
"Josh Donaldson","NYY","134","581","490","120","25","0","28","80","80","79","130","6","1","1","",".246",".354",".466",".821",".353","","-1.2","-1.5","","3.5","","196.0","5038"
"Max Muncy","LAD","131","567","471","117","22","2","32","87","95","84","129","8","3","1","",".249",".370",".505",".875",".372","","1.2","-0.2","","3.5","","147.6","13301"
"Trent Grisham","SDP","139","602","520","128","27","4","20","80","68","69","134","6","15","5","",".247",".340",".429",".768",".332","","4.0","0.6","","3.5","","143.3","18564"
"Cedric Mullins","BAL","152","658","590","154","30","5","24","86","66","52","124","7","26","8","",".262",".327",".451",".777",".332","","0.8","2.0","","3.5","","33.1","17929"
"Tim Anderson","CHW","154","665","627","182","33","2","22","98","71","28","139","4","20","7","",".290",".322",".456",".778",".332","","-6.5","1.9","","3.5","","32.3","15172"
"Austin Riley","ATL","154","665","597","163","31","2","33","88","102","53","173","9","1","1","",".273",".339",".497",".836",".354","","-4.6","-1.5","","3.4","","51.8","18360"
"Jake Cronenworth","SDP","147","637","566","155","32","6","17","86","71","55","94","9","7","4","",".273",".345",".442",".787",".338","","2.7","-0.5","","3.4","","123.4","18036"
"Harrison Bader","STL","139","602","532","131","27","2","21","76","70","51","148","12","14","5","",".246",".323",".426",".749",".320","","8.8","1.0","","3.4","","235.2","18030"
"Jesse Winker","SEA","128","553","476","133","28","1","23","78","72","64","96","10","2","1","",".280",".375",".486",".861",".371","","-4.0","-1.9","","3.4","","108.3","13590"
"Paul Goldschmidt","STL","156","672","589","160","30","2","28","93","90","73","146","4","7","2","",".271",".353",".474",".827",".354","","1.8","0.3","","3.4","","47.9","9218"
"Enrique Hernández","BOS","146","630","554","141","32","3","25","86","75","59","122","8","3","1","",".255",".333",".457",".790",".338","","1.7","0.5","","3.4","","223.1","10472"
"Oneil Cruz","PIT","112","483","444","122","22","5","22","58","67","33","108","3","18","5","",".275",".327",".498",".826",".350","","-0.2","1.0","","3.3","","214.2","21711"
"Brandon Nimmo","NYM","134","581","480","124","25","5","16","79","52","83","125","12","8","5","",".259",".379",".429",".808",".355","","-1.0","-0.7","","3.3","","317.4","12927"
