"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","Fld","BsR","-1","WAR","-1","ADP","playerid"
"Roberto Pérez","PIT","110","435","381","78","12","1","14","41","46","43","129","4","2","0","",".205",".290",".352",".642",".283","","6.7","-1.2","","1.7","","527.2","2900"
"Jesús Sánchez","MIA","125","539","488","122","18","5","24","62","71","40","140","6","3","2","",".250",".313",".451",".763",".324","","2.8","-1.3","","1.7","","225.3","19913"
"Alejandro Kirk","TOR","87","359","318","85","19","0","14","45","47","32","50","4","1","0","",".266",".338",".465",".803",".344","","-0.5","-0.4","","1.7","","237.1","22581"
"Trey Mancini","BAL","149","644","577","152","32","2","26","82","84","54","143","8","1","0","",".264",".334",".462",".795",".340","","-0.8","-0.7","","1.7","","200.8","15149"
"Andy Ibáñez","TEX","112","483","442","118","23","2","14","57","54","32","75","4","2","2","",".268",".321",".424",".745",".321","","1.7","-1.1","","1.7","","583.0","18819"
"Cavan Biggio","TOR","123","532","449","102","21","2","17","67","57","73","140","4","8","2","",".227",".337",".398",".736",".322","","-0.4","-0.1","","1.7","","318.4","19252"
"Manuel Margot","TBR","115","497","450","114","23","3","12","59","56","40","88","2","16","8","",".254",".315",".401",".716",".309","","2.8","0.0","","1.7","","386.8","14712"
"Ramón Urías","BAL","113","490","438","110","25","1","13","54","54","40","118","8","3","2","",".251",".323",".402",".725",".316","","-3.5","-0.9","","1.6","","494.3","18795"
"Eddie Rosario","","139","602","560","150","27","3","26","77","92","34","91","2","10","3","",".268",".310",".468",".778",".329","","-1.1","0.1","","1.6","","185.2","12155"
"Paul DeJong","STL","113","490","433","99","20","1","20","59","62","43","123","9","5","2","",".229",".309",".417",".726",".313","","2.3","-0.2","","1.6","","447.3","18015"
"Ryan Mountcastle","BAL","146","630","578","152","28","2","31","79","94","40","162","5","4","2","",".263",".314",".475",".789",".334","","-0.1","-0.7","","1.6","","117.6","18373"
"Riley Greene","DET","73","315","283","75","12","3","12","41","39","25","83","3","6","1","",".266",".331",".456",".787",".337","","-1.6","0.4","","1.6","","300.6","sa3010694"
"Josh Rojas","ARI","130","560","495","123","27","3","13","68","51","56","128","3","14","6","",".248",".325",".391",".717",".313","","-0.4","0.5","","1.6","","242.1","19734"
"Hunter Renfroe","MIL","133","574","516","121","25","0","33","76","87","48","150","3","3","1","",".234",".300",".477",".777",".329","","1.3","-1.0","","1.6","","160.7","15464"
"Brandon Marsh","LAA","120","518","464","114","21","4","10","53","44","46","152","4","10","3","",".246",".318",".373",".690",".302","","1.6","0.8","","1.6","","397.4","20202"
"Christian Vázquez","BOS","94","371","341","87","17","1","9","40","39","24","68","2","5","3","",".256",".307",".386",".694",".301","","2.3","-1.2","","1.6","","200.3","9774"
"Jake Meyers","HOU","97","420","380","94","19","1","14","49","51","28","106","6","8","4","",".246",".306",".414",".721",".311","","1.6","-0.2","","1.6","","591.2","20308"
"Jazz Chisholm Jr.","MIA","126","546","494","116","19","5","21","71","61","41","157","5","21","9","",".235",".299",".420",".719",".309","","-3.0","0.5","","1.5","","76.6","20454"
"Bryan De La Cruz","MIA","122","525","479","128","22","3","13","57","54","35","117","4","4","3","",".268",".321",".409",".729",".315","","-2.5","-1.0","","1.5","","501.8","19600"
"Gavin Lux","LAD","110","476","423","107","19","4","14","62","60","46","103","3","6","2","",".252",".328",".418",".746",".322","","-0.5","0.3","","1.5","","245.7","19955"
"Travis d'Arnaud","ATL","115","465","419","103","21","0","16","52","61","37","111","4","1","0","",".247",".311",".413",".724",".313","","-1.5","-0.9","","1.5","","218.5","7739"
"Adam Duvall","ATL","144","623","567","129","23","3","37","78","113","44","183","7","4","1","",".227",".289",".474",".763",".322","","4.6","-0.8","","1.5","","211.3","10950"
"Tommy La Stella","SFG","118","511","460","124","23","2","12","64","52","42","52","4","2","1","",".270",".335",".407",".742",".322","","-3.8","-0.9","","1.5","","540.5","12371"
"Edmundo Sosa","STL","99","427","389","99","15","4","9","47","42","20","86","13","5","3","",".255",".311",".387",".698",".303","","1.6","-0.8","","1.5","","452.2","17022"
"Ben Rortvedt","NYY","83","326","295","64","12","1","10","35","35","23","86","4","1","0","",".216",".280",".367",".647",".281","","3.6","-0.2","","1.5","","999.0","20287"
"Taylor Walls","TBR","104","448","392","87","19","2","8","49","42","47","117","3","15","8","",".223",".308",".345",".652",".288","","5.9","-0.7","","1.5","","574.8","22458"
"Manny Piña","ATL","76","304","269","61","11","0","12","33","41","26","66","7","1","0","",".228",".309",".404",".713",".309","","2.4","-0.8","","1.5","","555.4","2829"
"Austin Nola","SDP","87","355","316","82","17","1","8","38","40","29","60","6","1","1","",".260",".331",".399",".730",".319","","-1.0","-0.4","","1.5","","380.3","15941"
"Adolis García","TEX","143","616","575","133","26","3","28","73","87","29","189","7","13","6","",".231",".275",".431",".706",".301","","4.0","-0.9","","1.4","","165.8","19287"
"Jose Miranda","MIN","104","448","414","115","24","1","15","57","57","23","59","6","2","1","",".277",".323",".446",".768",".329","","0.5","-0.5","","1.4","","421.4","sa917952"
"Andrew Vaughn","CHW","115","497","440","111","24","0","19","60","58","45","106","8","2","2","",".251",".329",".440",".769",".332","","-0.3","-1.0","","1.4","","246.4","26197"
"Miguel Sanó","MIN","151","651","568","129","28","1","39","89","100","73","225","5","2","1","",".228",".319",".485",".804",".341","","-8.3","-1.0","","1.4","","275.7","12164"
"Jarred Kelenic","SEA","118","511","458","106","21","2","22","61","68","44","127","4","11","5","",".231",".302",".428",".730",".313","","-5.2","0.0","","1.4","","140.4","22558"
"Evan Longoria","SFG","120","518","466","115","22","1","18","60","67","42","115","5","3","1","",".246",".312",".416",".728",".312","","-0.1","-0.8","","1.4","","403.5","9368"
"Mike Moustakas","CIN","149","644","575","140","31","1","30","76","95","55","127","8","3","0","",".244",".316",".459",".774",".330","","-5.3","-1.4","","1.4","","358.8","4892"
"Adalberto Mondesi","KCR","136","588","548","136","28","7","19","73","70","29","165","3","50","11","",".248",".288",".430",".717",".305","","2.0","5.3","","1.4","","61.4","13769"
"Austin Hedges","CLE","99","390","355","71","13","0","14","39","45","24","112","4","2","1","",".200",".256",".360",".616",".265","","4.3","-0.4","","1.4","","584.6","12976"
"Kyle Higashioka","NYY","75","294","270","58","12","0","14","33","41","19","79","2","1","0","",".214",".268",".414",".682",".291","","0.0","-0.4","","1.4","","573.5","5517"
"Bryson Stott","PHI","86","371","331","83","15","2","10","42","38","34","86","2","6","3","",".251",".322",".397",".720",".313","","1.4","-0.5","","1.4","","480.8","sa3011443"
"César Hernández","WSN","123","532","473","120","21","2","13","67","54","49","104","5","3","1","",".254",".328",".391",".718",".313","","-0.7","-0.2","","1.4","","395.2","10556"
"Anthony Santander","BAL","128","553","513","131","30","1","24","66","75","30","117","5","2","2","",".255",".300",".459",".758",".321","","0.8","-0.7","","1.4","","290.7","14551"
"Jesús Aguilar","MIA","120","518","457","118","22","0","22","60","79","51","103","4","0","0","",".258",".333",".449",".782",".334","","0.1","-1.3","","1.4","","299.8","11342"
"Carter Kieboom","WSN","120","518","449","109","20","2","15","63","58","53","116","10","2","2","",".242",".333",".392",".725",".317","","-1.9","-0.8","","1.4","","502.4","19958"
"Andrelton Simmons","","118","511","469","121","21","1","6","51","46","32","63","4","4","1","",".257",".309",".346",".656",".288","","5.6","0.2","","1.3","","593.9","10847"
"Didi Gregorius","PHI","133","574","523","129","24","3","21","67","80","37","88","8","4","2","",".247",".303",".426",".730",".311","","-1.4","-0.3","","1.3","","477.8","6012"
"Joey Wendle","MIA","100","434","397","104","23","3","8","50","42","24","87","9","9","4","",".262",".315",".398",".714",".307","","1.1","-0.2","","1.3","","372.5","13853"
"Garrett Cooper","MIA","115","497","438","115","20","2","17","59","61","48","130","7","2","1","",".263",".344",".432",".775",".337","","-0.8","-1.7","","1.3","","507.3","15279"
"Wilmer Flores","SFG","97","420","380","103","20","1","15","51","53","32","56","4","1","0","",".271",".332",".447",".779",".335","","-1.1","-1.0","","1.3","","429.9","5827"
"LaMonte Wade Jr.","SFG","133","574","500","121","24","3","20","71","68","59","129","8","8","3","",".242",".329",".422",".752",".325","","-3.4","-0.6","","1.3","","328.2","18126"
"Victor Robles","WSN","117","504","442","105","25","2","10","59","46","37","119","17","16","6","",".238",".319",".375",".695",".304","","3.0","0.1","","1.3","","471.7","18363"
"Steven Kwan","CLE","84","364","330","94","16","3","9","45","38","27","42","3","5","3","",".285",".342",".433",".775",".335","","-0.7","-0.4","","1.3","","526.3","sa3008536"
"Tucker Barnhart","DET","94","371","330","76","16","1","7","34","35","33","86","4","1","1","",".229",".305",".343",".648",".285","","3.1","-1.1","","1.3","","430.7","10200"
"Rafael Ortega","CHC","113","490","439","110","21","3","14","60","50","44","104","3","14","6","",".250",".321",".405",".727",".315","","-1.4","-0.3","","1.3","","322.4","10323"
"Nelson Cruz","","130","560","497","131","19","1","31","75","90","50","133","7","2","0","",".263",".336",".492",".828",".347","","0.0","-1.9","","1.3","","175.2","2434"
"Nick Solak","TEX","130","560","503","130","22","2","15","66","62","41","116","10","8","4","",".259",".326",".399",".725",".316","","-3.2","-0.1","","1.3","","458.0","19294"
"David Peralta","ARI","120","518","470","127","25","5","13","57","63","40","97","4","2","1","",".270",".331",".426",".757",".325","","1.4","-0.3","","1.3","","488.2","2136"
"Yadier Molina","STL","112","444","413","103","18","0","10","42","52","21","74","6","3","0","",".249",".293",".368",".661",".287","","3.3","-1.6","","1.3","","300.9","7007"
"Nick Senzel","CIN","122","525","473","123","27","4","14","67","56","42","105","3","14","8","",".260",".323",".421",".743",".321","","-0.5","-0.9","","1.3","","476.8","19293"
"Francisco Mejía","TBR","66","262","239","60","13","2","8","29","30","15","51","5","1","0","",".250",".306",".415",".721",".310","","0.4","-0.2","","1.3","","449.9","16403"
"Wil Myers","SDP","146","630","560","134","29","3","23","73","79","63","182","3","11","5","",".240",".318",".423",".741",".319","","-3.0","-0.2","","1.2","","287.1","10047"
"Christian Arroyo","BOS","91","392","357","89","21","1","13","46","48","22","92","8","4","1","",".249",".307",".420",".727",".314","","0.9","0.2","","1.2","","595.3","16434"
"Gary Sánchez","MIN","97","384","334","70","13","1","20","47","55","42","107","6","0","0","",".209",".305",".431",".735",".316","","-5.4","-0.7","","1.2","","252.3","11442"
"Ji-Man Choi","TBR","109","469","395","91","20","1","16","54","57","64","127","4","1","1","",".231",".341",".407",".748",".327","","-1.3","-0.8","","1.2","","561.2","5452"
"Nick Ahmed","ARI","117","504","457","110","27","3","10","55","52","38","104","3","7","2","",".241",".300",".381",".681",".294","","2.4","0.3","","1.2","","571.7","12147"
"Jonathan Villar","","109","469","420","104","17","2","13","56","45","41","119","3","18","6","",".247",".317",".392",".709",".309","","-3.3","1.3","","1.2","","278.3","10071"
"Kole Calhoun","TEX","109","469","414","95","18","1","20","59","56","46","112","5","3","1","",".229",".311",".424",".735",".316","","1.0","-0.6","","1.2","","498.9","11200"
"Brad Miller","","89","385","337","79","13","2","18","49","52","42","111","3","3","1","",".233",".322",".444",".766",".328","","-0.6","-0.7","","1.2","","557.3","12775"
"Martín Maldonado","HOU","115","454","400","78","15","1","13","46","46","43","133","6","1","0","",".195",".281",".336",".618",".273","","3.2","-1.6","","1.2","","552.8","6887"
"Cristian Pache","OAK","120","518","476","108","24","2","15","57","53","33","143","4","8","6","",".227",".281",".380",".661",".286","","4.3","-1.3","","1.2","","589.3","19948"
"Alex Kirilloff","MIN","112","483","446","120","23","2","18","55","63","30","106","4","4","3","",".269",".319",".447",".766",".327","","0.3","-0.9","","1.2","","176.3","20325"
"Rowdy Tellez","MIL","105","455","408","105","21","1","22","57","64","37","101","6","1","1","",".258",".326",".476",".802",".339","","-0.4","-0.8","","1.2","","324.2","15679"
"Cal Raleigh","SEA","65","256","236","54","13","0","10","27","32","15","63","2","2","1","",".228",".279",".408",".687",".294","","-1.1","-0.1","","1.2","","537.2","21534"
"José Iglesias","","113","490","460","133","30","3","8","56","54","20","64","6","6","3","",".289",".324",".418",".742",".320","","-1.0","-0.1","","1.2","","586.1","10231"
"Michael A. Taylor","KCR","125","539","493","116","24","2","14","58","54","35","151","4","14","6","",".235",".290",".375",".665",".288","","4.9","0.3","","1.2","","476.5","11489"
"Jose Barrero","CIN","79","343","310","78","16","1","11","41","42","22","82","6","9","3","",".252",".312",".417",".728",".314","","0.6","0.4","","1.1","","440.5","23378"
"Chad Pinder","OAK","105","455","413","102","23","1","15","54","55","31","111","5","2","1","",".246",".306",".422",".728",".313","","-0.4","-0.9","","1.1","","566.0","15191"
"Frank Schwindel","CHC","128","553","513","138","28","1","25","72","79","30","97","4","3","1","",".269",".312",".477",".788",".334","","-0.1","-0.9","","1.1","","232.9","15351"
"Santiago Espinal","TOR","113","490","447","116","23","1","7","53","44","35","77","3","8","5","",".259",".315",".362",".678",".297","","3.3","-0.4","","1.1","","519.6","19997"
"Elvis Andrus","OAK","113","490","450","113","22","2","7","52","42","29","75","4","11","4","",".251",".300",".355",".655",".285","","-1.5","1.3","","1.1","","551.6","8709"
"Gavin Sheets","CHW","102","441","399","102","19","0","20","54","65","34","99","3","2","1","",".256",".316",".455",".772",".330","","0.0","-0.8","","1.1","","491.8","19901"
"Odúbel Herrera","","94","406","371","98","21","2","12","47","48","26","69","5","5","1","",".264",".317",".427",".744",".320","","-2.3","0.1","","1.1","","587.8","11476"
"Luis García","WSN","96","413","386","104","21","2","13","49","50","21","69","2","3","3","",".270",".309",".439",".748",".319","","-3.3","-0.8","","1.1","","526.3","20391"
"Kyle Farmer","CIN","113","490","448","114","22","2","13","52","55","23","96","12","3","2","",".255",".307",".399",".706",".305","","0.6","-0.6","","1.1","","505.9","14813"
"Alec Bohm","PHI","126","546","492","129","23","2","16","61","63","44","127","4","6","2","",".263",".325",".412",".736",".319","","-0.3","-0.6","","1.1","","293.4","21618"
"Luke Voit","NYY","73","315","275","69","11","1","16","42","47","32","87","5","0","0","",".250",".339",".465",".804",".345","","-1.5","-0.5","","1.1","","256.9","14811"
"Tom Murphy","SEA","71","282","250","54","10","1","11","30","33","27","88","2","1","1","",".214",".294",".387",".681",".296","","-0.4","-0.4","","1.1","","514.8","13499"
"Willie Calhoun","TEX","122","525","476","125","23","3","20","63","62","39","76","4","2","1","",".262",".322",".445",".768",".329","","-1.7","-1.4","","1.1","","441.4","17838"
"Lane Thomas","WSN","100","434","382","91","20","3","14","57","50","44","114","4","10","5","",".239",".321",".418",".738",".319","","0.8","-0.4","","1.1","","252.8","16939"
"Austin Allen","OAK","63","255","237","59","13","1","10","28","32","13","58","2","1","0","",".248",".292",".432",".724",".309","","0.1","-0.3","","1.1","","599.6","18083"
"Kevin Plawecki","BOS","63","250","224","59","13","1","5","26","27","19","43","4","1","0","",".261",".330",".399",".730",".319","","-1.6","-0.6","","1.0","","577.8","13807"
"Ryan Jeffers","MIN","62","243","218","47","8","1","10","26","28","20","76","3","1","1","",".216",".290",".393",".683",".297","","0.2","-0.5","","1.0","","476.9","24618"
"Austin Barnes","LAD","58","230","201","44","9","0","6","27","25","22","56","4","2","1","",".219",".307",".356",".663",".292","","0.5","-0.1","","1.0","","590.4","12158"
"Elias Díaz","COL","91","358","325","86","17","1","12","43","44","27","60","2","0","0","",".264",".324",".434",".758",".326","","-1.5","-0.6","","1.0","","234.7","11680"
"Josh Naylor","CLE","102","441","402","107","22","1","15","52","53","33","77","3","2","1","",".266",".325",".441",".765",".328","","-2.5","-0.4","","1.0","","586.8","18839"
"Nico Hoerner","CHC","62","266","239","66","13","1","3","29","26","20","40","4","6","3","",".278",".342",".379",".721",".315","","1.7","-0.2","","1.0","","465.6","21479"
"James McCann","NYM","102","403","367","85","15","1","11","39","45","28","113","4","3","2","",".233",".293",".369",".662",".288","","-0.1","-0.9","","1.0","","338.0","12859"
"J.D. Davis","NYM","73","315","276","70","14","1","11","36","36","31","83","5","2","0","",".254",".338",".423",".761",".330","","-2.1","-0.4","","1.0","","476.4","16219"
"Donovan Solano","","94","406","372","103","20","1","7","42","39","23","73","6","2","0","",".278",".327",".392",".718",".311","","-2.1","-0.6","","1.0","","597.4","8623"
"Joey Bart","SFG","91","358","330","78","15","1","9","40","37","19","105","5","2","1","",".237",".288",".375",".663",".288","","-0.6","-0.4","","1.0","","273.3","21524"
"Kyle Isbel","KCR","100","434","393","100","20","4","11","53","45","31","97","5","13","4","",".253",".313",".406",".719",".311","","0.7","0.7","","1.0","","513.1","21614"
"Austin Slater","SFG","75","322","282","70","14","2","9","39","34","32","86","5","11","3","",".248",".335",".409",".744",".323","","0.6","1.0","","1.0","","555.3","16153"
"Jason Heyward","CHC","97","420","372","91","16","3","12","48","46","41","81","4","5","2","",".245",".324",".397",".721",".313","","3.1","0.5","","0.9","","596.7","4940"
"Kyle Lewis","SEA","104","448","401","96","17","1","15","50","51","42","129","2","4","1","",".239",".313",".398",".711",".310","","0.0","-0.1","","0.9","","326.8","19508"
"Bobby Dalbec","BOS","115","497","444","103","20","3","26","60","72","40","166","8","3","1","",".231",".304",".464",".769",".326","","0.2","-0.6","","0.9","","234.1","19966"
"Yan Gomes","CHC","71","284","260","65","12","1","10","32","36","17","63","4","1","0","",".248",".303",".415",".718",".306","","0.7","-0.4","","0.9","","386.2","9627"
"Tyrone Taylor","MIL","75","322","292","70","14","2","12","38","43","21","75","5","5","1","",".242",".303",".428",".731",".313","","1.9","0.1","","0.9","","481.0","13675"
"Thairo Estrada","SFG","66","287","264","69","13","1","9","37","34","16","53","4","4","2","",".263",".314",".417",".731",".315","","-1.7","0.0","","0.9","","600.4","16426"
"Josh Harrison","","92","399","363","94","19","1","7","43","40","22","59","10","6","3","",".259",".317",".376",".693",".303","","-0.8","-0.6","","0.9","","430.9","8202"
"Andrew McCutchen","","138","595","508","118","24","1","24","77","77","77","137","5","6","2","",".233",".337",".424",".761",".331","","-0.7","-1.1","","0.9","","380.4","9847"
"Jordan Luplow","ARI","87","378","325","76","18","1","15","48","47","45","96","4","4","3","",".234",".333",".433",".766",".333","","0.6","-0.7","","0.9","","600.6","16424"
"Yonny Hernandez","TEX","62","266","227","55","9","1","2","30","17","31","48","5","15","7","",".243",".345",".312",".656",".300","","1.4","0.0","","0.9","","600.2","19432"
"Steven Duggar","SFG","84","364","327","78","17","4","7","42","37","31","107","3","8","3","",".240",".309",".381",".690",".299","","0.6","0.3","","0.8","","598.5","17719"
"Nick Pratto","KCR","53","231","203","50","10","2","11","29","30","22","65","3","4","1","",".247",".325",".474",".799",".340","","1.0","-0.1","","0.8","","535.1","sa3004138"
"Chas McCormick","HOU","65","280","248","59","9","1","9","33","33","25","75","3","5","2","",".237",".310",".391",".701",".305","","2.4","-0.2","","0.8","","467.8","19599"
"Connor Joe","COL","81","350","302","79","17","1","12","44","44","40","73","5","1","1","",".262",".354",".442",".796",".346","","0.9","-0.4","","0.8","","323.8","16572"
"Jo Adell","LAA","126","546","504","122","23","4","23","62","79","32","153","5","9","3","",".242",".293",".441",".734",".313","","-2.9","-0.2","","0.8","","231.0","20220"
"Aristides Aquino","CIN","134","581","514","115","20","2","32","73","88","55","179","6","8","3","",".225",".305",".458",".763",".324","","-0.3","-0.1","","0.8","","593.0","15482"
"Charlie Blackmon","COL","138","595","533","148","28","4","18","80","77","48","101","8","3","2","",".278",".345",".450",".796",".342","","-1.9","-0.8","","0.8","","238.6","7859"
"Matt Duffy","","62","266","237","65","11","1","4","29","24","22","50","4","4","2","",".272",".342",".371",".713",".315","","-1.3","-0.3","","0.7","","589.0","13836"
"Rougned Odor","BAL","87","378","338","72","16","1","18","46","51","30","106","6","3","3","",".212",".286",".423",".709",".303","","-1.3","-0.5","","0.7","","469.2","12282"
"Christian Walker","ARI","115","497","445","110","25","2","17","61","61","43","123","5","2","1","",".248",".320",".427",".747",".322","","1.5","0.0","","0.7","","473.7","13419"
"Victor Caratini","SDP","60","237","209","51","9","0","6","25","26","23","53","3","1","0","",".244",".325",".373",".698",".302","","-0.8","-0.2","","0.7","","565.0","14968"
"Jurickson Profar","SDP","122","525","459","111","24","2","12","62","55","53","80","8","11","4","",".242",".328",".384",".712",".313","","-1.3","0.5","","0.7","","512.5","10815"
"Juan Yepez","STL","73","315","281","70","16","0","14","40","44","25","66","4","2","1","",".251",".319",".462",".781",".333","","0.1","-0.5","","0.7","","505.2","sa877505"
"Darin Ruf","SFG","87","378","330","81","16","1","15","44","47","40","103","4","2","1","",".244",".331",".434",".765",".330","","-0.2","-0.7","","0.7","","411.3","9929"
"Jason Castro","HOU","40","160","136","29","6","0","6","19","17","20","50","2","0","0","",".213",".318",".388",".706",".310","","-0.8","-0.4","","0.7","","598.1","8722"
"Ben Gamel","PIT","121","525","454","112","26","3","10","58","45","61","135","4","6","5","",".246",".339",".382",".721",".316","","-1.6","-1.1","","0.7","","576.6","12160"
"Corey Dickerson","","96","413","382","102","21","3","11","48","45","24","78","3","5","3","",".266",".313",".425",".738",".316","","-0.2","-0.8","","0.7","","594.6","10762"
"Leury García","CHW","89","385","351","91","16","2","6","44","37","24","82","3","6","2","",".259",".311",".370",".681",".297","","-1.3","0.4","","0.7","","504.9","5913"
"Kevin Smith","TOR","84","364","332","76","16","2","15","43","46","24","100","3","9","3","",".229",".286",".423",".709",".303","","-1.2","0.2","","0.7","","595.2","20242"
"Randal Grichuk","TOR","118","511","474","116","25","2","24","63","74","29","114","4","2","1","",".245",".292",".457",".748",".318","","-3.0","-0.8","","0.7","","405.0","10243"
"Victor Reyes","DET","55","238","223","61","11","3","5","28","23","11","51","1","6","2","",".274",".310",".414",".724",".311","","0.5","0.2","","0.7","","591.2","15487"
"Kevin Newman","PIT","94","406","375","100","18","3","5","42","36","22","39","3","6","3","",".266",".310",".370",".680",".295","","-0.6","-0.1","","0.7","","592.7","17696"
"Pavin Smith","ARI","112","483","435","115","22","4","11","56","48","40","89","3","2","1","",".264",".328",".409",".737",".319","","-0.3","-0.9","","0.7","","429.1","19892"
"Triston Casas","BOS","63","273","241","61","12","2","10","36","33","26","59","3","3","1","",".255",".332",".444",".776",".334","","0.2","-0.1","","0.7","","509.5","sa3007634"
"Jake Fraley","CIN","117","504","434","101","20","2","18","59","64","57","138","6","16","6","",".233",".328",".416",".745",".323","","-1.9","0.0","","0.7","","592.3","19260"
"Seth Brown","OAK","113","490","448","103","23","3","22","58","67","34","144","3","6","2","",".229",".285",".436",".721",".305","","1.2","-0.4","","0.7","","485.0","18171"
"Bobby Bradley","CLE","109","469","419","89","17","1","26","56","66","39","165","6","1","0","",".213",".288",".443",".731",".311","","2.2","-0.8","","0.7","","447.1","17278"
"Josh VanMeter","ARI","83","357","311","72","18","2","11","42","41","40","89","3","6","3","",".233",".323",".405",".728",".317","","-1.0","-0.5","","0.7","","592.2","15170"
"Luis Rengifo","LAA","50","217","195","48","8","1","6","25","22","17","41","2","5","3","",".246",".311",".390",".700",".304","","0.4","-0.2","","0.6","","600.3","19858"
"Brett Gardner","","89","385","331","75","14","3","9","43","37","45","87","3","4","1","",".226",".321",".371",".691",".305","","-0.5","0.3","","0.6","","598.6","9927"
"Oscar Mercado","CLE","63","273","245","60","13","1","7","32","28","21","52","3","8","2","",".244",".309",".390",".700",".305","","1.7","0.6","","0.6","","591.3","16375"
"Carlos Santana","KCR","99","427","362","85","15","0","14","50","48","58","69","2","1","0","",".235",".342",".393",".736",".322","","-0.3","-0.5","","0.6","","471.1","2396"
"Johan Camargo","PHI","41","175","158","41","8","1","6","22","21","14","35","1","0","0","",".259",".321",".440",".761",".326","","-0.3","-0.2","","0.6","","600.9","14950"
"Adam Engel","CHW","75","322","294","70","14","2","10","37","34","17","82","7","10","3","",".237",".294",".398",".692",".299","","1.9","0.6","","0.6","","596.0","15082"
"Tomás Nido","NYM","52","205","192","42","8","1","5","20","21","9","54","2","1","0","",".221",".260",".349",".609",".262","","1.0","-0.3","","0.6","","600.9","13755"
"Jose Trevino","TEX","45","179","168","40","9","0","4","17","18","8","34","1","1","1","",".240",".273",".363",".636",".273","","0.8","-0.4","","0.6","","589.0","16725"
"Alek Thomas","ARI","39","168","152","41","8","3","4","20","18","12","35","2","4","2","",".266",".326",".429",".756",".326","","0.1","-0.3","","0.6","","558.4","sa3006892"
"Seth Beer","ARI","89","385","340","88","18","0","14","47","46","27","80","14","1","1","",".259",".337",".436",".773",".334","","-0.5","-0.7","","0.6","","535.1","20493"
"Sam Hilliard","COL","102","441","398","91","17","3","20","54","58","37","143","2","10","3","",".230",".298",".444",".742",".315","","0.5","0.6","","0.6","","452.5","17954"
"Hunter Dozier","KCR","117","504","451","106","23","5","17","56","57","44","136","4","5","3","",".236",".308",".424",".733",".315","","-2.7","-0.8","","0.6","","404.8","15117"
"Curt Casali","SFG","63","250","219","48","9","0","6","24","25","25","69","3","1","0","",".218",".306",".351",".657",".287","","-0.8","-0.4","","0.6","","592.5","12510"
"Eric Hosmer","SDP","131","567","514","135","25","1","16","62","72","44","113","5","5","3","",".262",".324",".409",".733",".317","","-1.1","-1.7","","0.6","","423.6","3516"
"Aledmys Díaz","HOU","49","210","191","48","11","0","6","23","26","13","38","4","1","1","",".251",".309",".404",".713",".307","","-0.1","-0.4","","0.6","","551.1","15937"
"Starlin Castro","","57","245","226","62","12","1","5","25","28","15","43","1","1","1","",".272",".317",".406",".723",".311","","-1.3","-0.4","","0.6","","597.4","4579"
"Lewin Díaz","MIA","79","343","317","77","14","1","16","39","44","19","75","3","1","0","",".241",".290",".445",".734",".310","","2.1","-0.2","","0.6","","574.1","18365"
"Bradley Zimmer","CLE","71","308","267","59","10","1","7","37","30","26","107","11","11","3","",".221",".314",".349",".663",".296","","1.9","0.7","","0.6","","483.5","16221"
"Abraham Toro","SEA","36","154","137","34","7","1","5","19","17","13","26","3","2","1","",".250",".326",".406",".731",".319","","-0.1","-0.2","","0.6","","276.8","19844"
"MJ Melendez","KCR","29","119","106","27","5","1","6","15","16","11","28","1","1","1","",".250",".319",".468",".788",".336","","0.1","-0.2","","0.6","","385.1","sa3004139"
"Alex Dickerson","","71","308","277","70","13","2","12","39","39","23","70","5","1","0","",".252",".320",".440",".760",".325","","-1.4","-0.3","","0.6","","600.7","12649"
"Drew Waters","ATL","68","294","266","64","14","2","7","31","26","22","89","3","11","4","",".240",".303",".381",".684",".298","","2.4","0.2","","0.6","","600.5","sa3004378"
"Yu Chang","CLE","60","259","237","56","12","2","9","30","33","16","70","3","2","1","",".238",".293",".417",".710",".305","","1.0","-0.3","","0.5","","598.4","14773"
"Brett Phillips","TBR","52","224","193","37","6","3","7","28","24","26","82","1","9","2","",".191",".289",".361",".650",".286","","3.1","1.0","","0.5","","593.9","14735"
"Jonah Heim","TEX","23","90","82","20","4","0","2","9","10","6","16","1","1","0","",".242",".295",".377",".672",".292","","1.1","-0.1","","0.5","","466.5","16930"
"Yoshi Tsutsugo","PIT","123","532","459","105","23","1","19","63","61","62","129","3","1","1","",".230",".322",".410",".733",".318","","-0.1","-0.9","","0.5","","386.9","27459"
"Travis Swaggerty","PIT","49","210","188","46","7","1","5","23","19","18","50","1","6","2","",".243",".311",".374",".685",".300","","1.0","0.1","","0.5","","589.5","sa3007512"
"Hoy Park","PIT","42","182","156","37","7","1","4","22","17","22","40","2","4","2","",".240",".337",".376",".713",".313","","-0.4","-0.1","","0.5","","599.8","18027"
"Jed Lowrie","","109","469","419","102","24","0","12","51","58","43","100","3","0","0","",".244",".316",".392",".708",".308","","-1.8","-1.3","","0.5","","590.5","4418"
"Daniel Vogelbach","","45","196","163","38","7","0","8","25","25","31","46","1","0","0","",".230",".353",".425",".779",".340","","-0.1","-0.5","","0.5","","597.6","14130"
"Dom Nuñez","COL","66","262","227","46","10","2","10","31","31","30","84","2","1","1","",".204",".301",".398",".699",".300","","-0.5","-0.2","","0.5","","582.4","15055"
