tm,r_running_adj,ra_running_adj,year,g,w,l,w_l_percent,r_g,ra_g,baseruns,r_2020,h,ba,obp,slg,iso,baseruns_a_proj,ra_2020,ha_proj,ba_a_proj,obp_a_proj,slg_a_proj,iso_a_proj,r_2021,ra_2021,hits_per_run,hits_a_per_run,runs_exp,runs_a_exp,war_proj,war,baseruns_a,ra,ha,ba_a,obp_a,slg_a,iso_a,war_adj,war_diff,wp_diff,pyth_old,r_exponent,ra_exponent,r
HOU,699.91,766.06,2020,60,29,31,0.483,4.7,4.6,266,279,478,0.24,0.312,0.408,0.16799999999999998,271,275,472,0.239,0.322,0.407,0.16799999999999998,753.3,742.5,1.8934450029248464,1.8046370439325887,259.2249495659031,266.274219000691,12.799999999999999,6,271,36.37,472,0.239,0.322,0.407,0.16799999999999998,16.2,-3.4000000000000004,-0.020987654320987658,0.45877753274484084,147763.76733597557,206566.63117607392,-31.72
SFG,827.8199999999999,876.85,2020,60,29,31,0.483,5,5,310,299,532,0.263,0.335,0.451,0.188,277,297,474,0.241,0.322,0.41,0.16899999999999998,807.3,801.9,1.7546126330782448,1.8127601740674837,306.60041309707026,269.2398537271579,12.8,3.9,277,-26.49,474,0.241,0.322,0.41,0.16899999999999998,10.53,2.2700000000000014,0.014012345679012354,0.4736996547600737,231314.34677113203,229706.59522901772,25.79
MIL,654.1899999999999,781.73,2020,60,29,31,0.483,4.1,4.4,244,247,429,0.223,0.313,0.389,0.166,245,264,446,0.229,0.307,0.385,0.156,666.9,712.8,1.7831633207338071,1.9228855933041977,242.29184175442157,238.47153818018216,16.8,9.1,245,90.68,446,0.229,0.307,0.385,0.156,24.57,-7.77,-0.04796296296296296,0.419227788414546,116281.31993633819,240725.4968363683,-68
PHI,813,818.6500000000001,2020,60,28,32,0.467,5.1,5.2,306,306,500,0.257,0.342,0.439,0.182,323,311,550,0.279,0.348,0.468,0.189,826.2,839.7,1.6879358774353461,1.748282763665605,301.10989169793027,318.79720941903616,14.700000000000001,6.2,323,22.86,550,0.279,0.348,0.468,0.189,16.74,-2.0399999999999974,-0.012592592592592577,0.49683161127364567,201178.2955558399,225348.35967258067,-22.08
SEA,624.18,850.87,2020,60,27,33,0.45,4.2,5.1,239,254,435,0.226,0.309,0.37,0.144,297,303,482,0.245,0.333,0.425,0.18,685.8,818.1,1.947590476450334,1.6928666894371922,231.17645489641853,290.8620663716423,13.1,3.7,297,-37.39,482,0.245,0.333,0.425,0.18,9.99,3.1099999999999994,0.019197530864197527,0.36193589684416105,141621.6639371028,211805.3900570815,28.69
NYM,874.5300000000001,840.69,2020,60,26,34,0.433,4.8,5.1,326,286,551,0.272,0.348,0.459,0.187,312,308,511,0.255,0.336,0.438,0.183,772.2,831.6,1.7122331019953445,1.718978567484874,323.9009892864161,304.634779300265,20.8,5.3,312,-70.92,511,0.255,0.336,0.438,0.183,14.31,6.49,0.04006172839506173,0.5180467614130763,284110.0747111626,191445.31907412352,80.57
COL,701.45,967.88,2020,60,26,34,0.433,4.6,5.9,270,275,528,0.257,0.311,0.405,0.14800000000000002,349,353,579,0.28,0.353,0.477,0.19699999999999995,742.5,953.1,2.1154677093551015,1.6731473851463607,259.7950979504576,347.5271956733062,11.700000000000001,3.5,349,-31.23,579,0.28,0.353,0.477,0.19699999999999995,9.45,2.2500000000000018,0.0138888888888889,0.3568220954454331,171489.9514362012,274150.27973892516,23.39
KCR,681.85,731.36,2020,60,26,34,0.433,4.1,4.5,262,248,485,0.244,0.309,0.402,0.15800000000000003,277,272,500,0.254,0.332,0.415,0.16099999999999998,669.6,734.4,1.9953029603372934,1.857001188000773,252.53542836372424,273.1256543158959,11.8,4.1,277,-7.19,500,0.254,0.332,0.415,0.16099999999999998,11.07,0.7300000000000004,0.004506172839506176,0.4679749256213116,156137.246788838,171200.16235933712,6.77
LAA,800.3599999999999,973.02,2020,60,26,34,0.433,4.9,5.4,300,294,501,0.248,0.332,0.43,0.182,291,321,492,0.245,0.316,0.43,0.185,793.8,866.7,1.7107324984260348,1.807222604936669,296.42850371432905,281.6204753238579,13.8,4.9,291,-7.68,492,0.245,0.316,0.43,0.185,13.23,0.5700000000000003,0.00351851851851852,0.41157027824324466,208599.80874640032,289708.4517076275,6.37
WSN,778.4300000000001,731.82,2020,60,26,34,0.433,4.9,5,296,293,519,0.264,0.336,0.433,0.16899999999999998,336,301,548,0.271,0.346,0.466,0.195,791.1,812.7,1.8494966962021506,1.6814402335102567,288.3084420387829,330.955539268847,17.7,3,336,-90.14,548,0.271,0.346,0.466,0.195,8.1,9.6,0.059259259259259255,0.5282180875747563,248543.92038006373,137210.85836790552,109.35
BAL,754.5999999999999,849.4599999999999,2020,60,25,35,0.417,4.6,4.9,287,274,523,0.258,0.321,0.429,0.17099999999999999,281,294,489,0.246,0.319,0.421,0.175,739.8,793.8,1.9230418562585232,1.839953065833385,279.4824796059173,273.3838243432349,8.1,6,281,100.85,489,0.246,0.319,0.421,0.175,16.2,-8.1,-0.049999999999999996,0.4460370284648766,150333.94286295027,281511.58079944603,-80.08
ARI,676.39,724.23,2020,60,25,35,0.417,4.5,4.9,259,269,482,0.241,0.312,0.391,0.15000000000000002,322,295,506,0.253,0.336,0.462,0.20900000000000002,726.3,796.5,1.991470611102543,1.5737187257836691,250.51609667569966,321.76570473164634,12.4,1.8,322,-70.12,506,0.253,0.336,0.462,0.20900000000000002,4.86,7.54,0.04654320987654321,0.4687755069489834,182051.25719981996,142115.40871465197,72.51
BOS,822.76,880.8000000000001,2020,60,24,36,0.4,4.9,5.9,311,292,552,0.265,0.33,0.445,0.18,373,351,587,0.281,0.365,0.484,0.20299999999999996,788.4,947.7,1.8495514129979607,1.550625503923483,304.7253732772036,375.7784552152465,13.8,-0.1,373,-152.73,587,0.281,0.365,0.484,0.20299999999999996,-0.27,14.07,0.08685185185185185,0.4688544128392303,306408.3337273333,172891.95970753822,172.6
DET,641.59,907.99,2020,58,23,35,0.397,4.3,5.5,237,249,463,0.245,0.303,0.397,0.15200000000000002,316,318,511,0.265,0.34,0.464,0.199,695.48,888.21,2.0817030140452237,1.6708409759629004,229.70702542008752,310.9170062715012,10.5,1.9,316,-66.29,511,0.265,0.34,0.464,0.199,5.31,5.19,0.03203703703703704,0.3462577936840475,157592.04032917338,225442.32489163015,50.53
TEX,573.5799999999999,916.25,2020,60,22,38,0.367,3.7,5.2,222,224,420,0.217,0.285,0.364,0.147,291,312,479,0.242,0.329,0.419,0.177,604.8,842.4,2.0702392403137075,1.7211834305098188,212.43755171415756,284.64844621125565,13.3,2.4,291,-92.16,479,0.242,0.329,0.419,0.177,6.48,6.82,0.04209876543209877,0.29793366085831546,135669.84659975325,216884.88313883307,64.15
PIT,549.13,854.97,2020,60,19,41,0.317,3.7,5,209,219,425,0.22,0.284,0.357,0.13699999999999998,282,298,451,0.235,0.332,0.416,0.181,591.3,804.6,2.1490546988875776,1.6299968964894145,203.38068466102658,279.34382168804603,9.9,2.7,282,-34.14,451,0.235,0.332,0.416,0.181,7.29,2.6100000000000003,0.016111111111111114,0.3078482947946577,111170.08105708286,215321.6718522358,22.84
