tm,r_running_adj,ra_running_adj,year,g,w,l,w_l_percent,r_g,ra_g,baseruns_proj,r_2020,h_proj,ba_proj,obp_proj,slg_proj,iso_proj,baseruns_a,ra_2020,ha,ba_a,obp_a,slg_a,iso_a,r_2021,ra_2021,hits_per_run,hits_a_per_run,runs_exp,runs_a_exp,war_proj,war,baseruns,r,h,ba,obp,slg,iso,war_adj,war_diff,wp_diff,pyth_old,r_exponent,ra_exponent,ra
CIN,671.39,708.52,2020,60,31,29,0.517,4.1,4.1,252,243,390,0.212,0.312,0.403,0.19100000000000003,230,243,401,0.215,0.303,0.374,0.159,656.1,656.1,1.5897418022559995,1.846454603664,248.6614282415395,223.58647680919918,10.9,5,252,-23.24,390,0.212,0.312,0.403,0.19100000000000003,13.5,-2.5999999999999996,-0.01604938271604938,0.47539353933858897,139753.16861144133,175447.31015310943,25.41
HOU,700.0899999999999,765.91,2020,60,29,31,0.483,4.7,4.6,266,279,478,0.24,0.312,0.408,0.16799999999999998,271,275,472,0.239,0.322,0.407,0.16799999999999998,753.3,742.5,1.8924420670159998,1.8038974422959995,259.2918448948109,266.3278366976447,28.3,5.7,266,133.52,478,0.24,0.312,0.408,0.16799999999999998,15.39,12.91,0.07969135802469136,0.45898336455180094,221495.34786781,137819.99977312316,-122.68
SFG,827.87,876.71,2020,60,29,31,0.483,5,5,310,299,532,0.263,0.335,0.451,0.188,277,297,474,0.241,0.322,0.41,0.16899999999999998,807.3,801.9,1.75442278372,1.8120475097759994,306.6168180602315,269.29127270194886,12.3,9.3,310,-133.8,532,0.263,0.335,0.451,0.188,25.11,-12.809999999999999,-0.07907407407407406,0.47380006062517244,158405.44199401376,335372.1809984417,169.01
MIL,654.43,781.54,2020,60,29,31,0.483,4.1,4.4,244,247,429,0.223,0.313,0.389,0.166,245,264,446,0.229,0.307,0.385,0.156,666.9,712.8,1.7818420853039998,1.921709484616,242.38103812291772,238.54251411839198,15,4.4,244,28.73,429,0.223,0.313,0.389,0.166,11.88,3.119999999999999,0.019259259259259254,0.4194995509867447,153878.17569127775,181950.53716028633,-32.87
PHI,813,818.7700000000001,2020,60,28,32,0.467,5.1,5.2,306,306,500,0.257,0.342,0.439,0.182,323,311,550,0.279,0.348,0.468,0.189,826.2,839.7,1.687919751976,1.7488070390239998,301.11130665858497,318.7500532439966,18.6,6.9,306,-0.33,500,0.257,0.342,0.439,0.182,18.63,-0.029999999999997584,-1.8518518518517027e-4,0.49676455731239105,211418.9855208865,214490.4845790758,0.33
SEA,624.3299999999999,850.76,2020,60,27,33,0.45,4.2,5.1,239,254,435,0.226,0.309,0.37,0.144,297,303,482,0.245,0.333,0.425,0.18,685.8,818.1,1.946621621752,1.6923590877839993,231.23203747950024,290.90476606862967,11.9,5.1,239,-16.94,435,0.226,0.309,0.37,0.144,13.77,-1.8699999999999992,-0.011543209876543205,0.3620920998084781,124093.50670018196,241771.92059697397,23.72
NYM,874.4300000000001,840.63,2020,60,26,34,0.433,4.8,5.1,326,286,551,0.272,0.348,0.459,0.187,312,308,511,0.255,0.336,0.438,0.183,772.2,831.6,1.7126358844640004,1.7187276975679997,323.86314814443034,304.6564744150761,21.4,10,326,-63.66,551,0.272,0.348,0.459,0.187,27,-5.600000000000001,-0.03456790123456791,0.5180271231123006,210514.5778631242,258286.4382180107,66.01
COL,701.49,968.03,2020,60,26,34,0.433,4.6,5.9,270,275,528,0.257,0.311,0.405,0.14800000000000002,349,353,579,0.28,0.353,0.477,0.19699999999999995,742.5,953.1,2.1151821849679995,1.6736920051040003,259.8119438014244,347.4708925639583,5.3,2.6,270,-17.63,528,0.257,0.311,0.405,0.14800000000000002,7.02,-1.7199999999999998,-0.010617283950617283,0.3567809619897534,154166.1362820962,305075.1704776064,24.96
KCR,681.98,731.36,2020,60,26,34,0.433,4.1,4.5,262,248,485,0.244,0.309,0.402,0.15800000000000003,277,272,500,0.254,0.332,0.415,0.16099999999999998,669.6,734.4,1.9944858344719993,1.8570125412159997,252.5852205158414,273.12483125520316,15.1,7,262,-34.35,485,0.244,0.309,0.402,0.15800000000000003,18.9,-3.799999999999999,-0.023456790123456785,0.46806178640282897,139550.84593722413,191615.09919353912,38.79
LAA,800.4699999999999,972.8000000000001,2020,60,26,34,0.433,4.9,5.4,300,294,501,0.248,0.332,0.43,0.182,291,321,492,0.245,0.316,0.43,0.185,793.8,866.7,1.7102276446959999,1.8061383107679996,296.4717289402297,281.70219367109087,22.599999999999998,8.5,300,-3.9,501,0.248,0.332,0.43,0.182,22.95,-0.3500000000000014,-0.0021604938271605027,0.4117314113212659,203818.91630578748,296455.89463175513,4.76
WSN,778.39,731.87,2020,60,26,34,0.433,4.9,5,296,293,519,0.264,0.336,0.433,0.16899999999999998,336,301,548,0.271,0.346,0.466,0.195,791.1,812.7,1.8497026612479996,1.681618170208,288.29281864411365,330.9382964898083,17.7,3.3,296,99.41,519,0.264,0.336,0.433,0.16899999999999998,8.91,8.79,0.05425925925925926,0.5281634955896098,243453.27966299068,140084.2967648556,-82.88
BAL,754.68,849.31,2020,60,25,35,0.417,4.6,4.9,287,274,523,0.258,0.321,0.429,0.17099999999999999,281,294,489,0.246,0.319,0.421,0.175,739.8,793.8,1.922647491488,1.839158487712,279.5103717180192,273.4412346100578,10.1,4.4,287,-18.16,523,0.258,0.321,0.429,0.17099999999999999,11.88,-1.7800000000000011,-0.010987654320987661,0.44616481971230343,176581.4455671917,239636.04629484896,20.94
ARI,676.5,724.02,2020,60,25,35,0.417,4.5,4.9,259,269,482,0.241,0.312,0.391,0.15000000000000002,322,295,506,0.253,0.336,0.462,0.20900000000000002,726.3,796.5,1.9908167607759994,1.5729510992479994,250.55584238001933,321.8441610937269,12.6,4.9,259,-5.75,482,0.241,0.312,0.391,0.15000000000000002,13.23,-0.6300000000000008,-0.0038888888888888935,0.4689817783731392,148800.66064738712,173831.60770204,6.21
BOS,822.79,881.0600000000001,2020,60,24,36,0.4,4.9,5.9,311,292,552,0.265,0.33,0.445,0.18,373,351,587,0.281,0.365,0.484,0.20299999999999996,788.4,947.7,1.84940883724,1.55142686296,304.7368774510096,375.68068715145563,20.5,7.1,311,14.94,552,0.265,0.33,0.445,0.18,19.17,1.3299999999999983,0.008209876543209866,0.4687365273830982,223503.03429053212,237167.6729103146,-15.72
DET,641.72,907.94,2020,58,23,35,0.397,4.3,5.5,237,249,463,0.245,0.303,0.397,0.15200000000000002,316,318,511,0.265,0.34,0.464,0.199,695.48,888.21,2.0808457521039996,1.6706395862399992,229.75284022899058,310.93543987847033,10.200000000000001,5.2,237,-40.76,463,0.245,0.303,0.397,0.15200000000000002,14.52,-4.3199999999999985,-0.026666666666666658,0.34636453960973246,121697.73682952164,292014.5451163125,61.59
TEX,573.8299999999999,916.11,2020,60,22,38,0.367,3.7,5.2,222,224,420,0.217,0.285,0.364,0.147,291,312,479,0.242,0.329,0.419,0.177,604.8,842.4,2.06832700984,1.7205482855519993,212.53133377891004,284.6998132288172,4.1000000000000005,-0.2,222,43.39,420,0.217,0.285,0.364,0.147,-0.54,4.640000000000001,0.02864197530864198,0.29815900341637636,127792.10507164143,230374.00583601661,-64.4
PIT,549.3399999999999,854.79,2020,60,19,41,0.317,3.7,5,209,219,425,0.22,0.284,0.357,0.13699999999999998,282,298,451,0.235,0.332,0.416,0.181,591.3,804.6,2.147362913792,1.6292171720159994,203.45858712803653,279.41003143918834,6.7,0.9,209,37.53,425,0.22,0.284,0.357,0.13699999999999998,2.43,4.27,0.026358024691358024,0.3080795360915717,116527.65439863737,205486.45310825735,-54.66
