tm,r,ra
LAD,940.6800000000001,583.2
TBR,778.6800000000001,615.6
SDP,875.8800000000001,648
MIN,730.08,583.2
OAK,746.28,631.8
ATL,940.6800000000001,777.6
CHW,827.28,664.1999999999999
CLE,665.28,567
CHC,713.8800000000001,648
NYY,859.6800000000001,729
TOR,811.08,842.4
STL,665.28,631.8
MIA,713.8800000000001,826.1999999999999
CIN,665.28,664.1999999999999
HOU,762.48,745.1999999999999
SFG,811.08,810
MIL,665.28,712.8000000000001
PHI,827.28,842.4
SEA,681.48,826.1999999999999
NYM,778.6800000000001,826.1999999999999
COL,746.28,955.8000000000001
KCR,665.28,729
LAA,794.8800000000001,874.8000000000001
WSN,794.8800000000001,810
BAL,746.28,793.8000000000001
ARI,730.08,793.8000000000001
BOS,794.8800000000001,955.8000000000001
DET,697.6800000000001,891
TEX,600.48,842.4
PIT,600.48,810
